GOLDPOS	SID	TID	TOKEN	POS1	POS2
_	7	7	bist	VAFIN	VAFIN
_	7	8	/	$(	$(
_	7	9	so	ADV	ADV
_	7	10	verachte	VVFIN	VVFIN
_	7	11	dies	PDS	PDS
_	7	12	nicht	PTKNEG	PTKNEG
_	7	13	/	$(	$(
_	7	14	sondern	KON	KON
VVFIN	7	15	bitte	ADV	VVFIN
_	7	16	den	ART	ART
_	7	17	Herrn	NN	NN
_	7	18	/	$(	$(
_	7	19	so	ADV	ADV
_	7	20	wird	VAFIN	VAFIN
_	7	21	er	PPER	PPER
_	7	22	dich	PPER	PPER
_	7	23	gesund	ADJD	ADJD
_	7	24	machen	VVINF	VVINF
_	7	25	/	$(	$(
VVIMP	7	26	lass	VVFIN	ADJD
_	7	27	von	APPR	APPR
_	7	28	der	ART	ART
_	7	29	Sünde	NN	NN
_	7	30	/	$(	$(
_	7	31	und	KON	KON
VVIMP	7	32	mache	VVFIN	VVFIN
_	7	33	deine	PPOSAT	PPOSAT
_	7	34	Hände	NN	NN
_	7	35	unsträflich	ADJD	ADJD
_	7	36	/	$(	$(
_	7	37	und	KON	KON
VVIMP	7	38	reinige	VVFIN	VVFIN
_	7	39	das	ART	ART
_	7	40	Herz	NN	NN
_	7	41	von	APPR	APPR
_	7	42	aller	PIAT	PIAT
_	7	43	Missetat	NN	NN
_	7	44	/	$(	$(
VVIMP	7	45	opfer	NN	VVFIN
_	7	46	süßen	ADJA	ADJA
_	7	47	Geruch	NN	NN
_	7	48	/	$(	$(
_	7	49	und	KON	KON
_	7	50	Semmel	NN	NN
_	7	51	/	$(	$(
_	7	52	und	KON	KON
VVIMP	7	53	gedenk	VVIMP	VVFIN
_	7	54	Opfer	NN	NN
_	7	55	/	$(	$(
_	7	56	und	KON	KON
_	7	57	gib	VVIMP	VVIMP
_	7	58	ein	ART	ART
ADJA	7	59	fettes	ADJD	ADJA
_	7	60	Opfer	NN	NN
_	7	61	/	$(	$(
_	7	62	als	KOKOM	KOKOM
VMFIN	7	63	müssest	VVFIN	VMFIN
_	7	64	du	PPER	PPER
_	7	65	davon	PAV	PAV
_	7	66	/	$(	$(
PAV	7	67	Darnach	PAV	ADV
VVIMP	7	68	lass	VVFIN	ADJD
_	7	69	den	ART	ART
_	7	70	Arzt	NN	NN
APPR	7	71	zu	PTKZU	APPR
PPER	7	72	dir	PPER	PRF
_	7	73	/	$(	$(
_	7	74	denn	KON	KON
_	7	75	der	ART	ART
_	7	76	Herr	NN	NN
_	7	77	hat	VAFIN	VAFIN
_	7	78	ihn	PPER	PPER
_	7	79	geschaffen	VVPP	VVPP
_	7	80	/	$(	$(
_	7	81	und	KON	KON
VVIMP	7	82	lass	ART	ADJD
_	7	83	ihn	PPER	PPER
_	7	84	nicht	PTKNEG	PTKNEG
_	7	85	von	APPR	APPR
PRF	7	86	dir	PPER	PRF
_	7	87	/	$(	$(
_	7	88	weil	KOUS	KOUS
PPER	7	89	du	PTKZU	PPER
PPER	7	90	seiner	VAINF	PPOSAT
_	7	91	doch	ADV	ADV
VVFIN	7	92	bedarfst	ADJD	VVFIN
_	7	93	.	$.	$.
_	8	1	es	PPER	PPER
_	8	2	kann	VMFIN	VMFIN
_	8	3	die	ART	ART
NN	8	4	Stunde	VVFIN	NN
VVINF	8	5	kommen	VVFIN	VVINF
_	8	6	/	$(	$(
KOUS	8	7	dass	ART	KOUS
_	8	8	dem	ART	ART
_	8	9	Kranken	NN	NN
_	8	10	allein	ADV	ADV
_	8	11	durch	APPR	APPR
_	8	12	ihn	PPER	PPER
_	8	13	geholfen	VVPP	VVPP
_	8	14	werde	VAFIN	VAFIN
_	8	15	/	$(	$(
_	8	16	wenn	KOUS	KOUS
_	8	17	sie	PPER	PPER
_	8	18	den	ART	ART
_	8	19	Herrn	NN	NN
_	8	20	bitten	VVINF	VVINF
_	8	21	/	$(	$(
KOUS	8	22	dass	ART	KOUS
_	8	23	mit	APPR	APPR
_	8	24	ihm	PPER	PPER
_	8	25	besser	ADJD	ADJD
_	8	26	werde	VAFIN	VAFIN
_	8	27	/	$(	$(
_	8	28	und	KON	KON
_	8	29	Gesundheit	NN	NN
_	8	30	kriege	VVFIN	VVFIN
_	8	31	länger	ADJD	ADJD
_	8	32	zu	PTKZU	PTKZU
VVINF	8	33	leben	VVFIN	VVINF
_	8	34	.	$.	$.
PRELS	9	1	wer	PWS	PWS
_	9	2	für	APPR	APPR
_	9	3	seinem	PPOSAT	PPOSAT
_	9	4	Schöpfer	NN	NN
_	9	5	sündigt	VVFIN	VVFIN
_	9	6	/	$(	$(
PDS	9	7	der	ART	PRELS
_	9	8	muss	VMFIN	VMFIN
_	9	9	dem	ART	ART
_	9	10	Arzt	NN	NN
_	9	11	in	APPR	APPR
_	9	12	die	ART	ART
_	9	13	Hände	NN	NN
VVINF	9	14	kommen	VVFIN	VVINF
_	9	15	.	$.	$.
_	10	1	aus	APPR	APPR
_	10	2	diesen	PDAT	PDAT
_	10	3	Worten	NN	NN
_	10	4	kann	VMFIN	VMFIN
_	10	5	man	PIS	PIS
ADV	10	6	klärlich	ADV	ADJD
_	10	7	merken	VVINF	VVINF
_	10	8	/	$(	$(
KOUS	10	9	wie	KOKOM	KOUS
_	10	10	sich	PRF	PRF
_	10	11	ein	ART	ART
NN	10	12	Kranker	ADJA	NN
_	10	13	halten	VVINF	VVINF
_	10	14	soll	VMFIN	VMFIN
_	10	15	.	$.	$.
_	11	1	zum	APPRART	APPRART
CARD	11	2	Ersten	ADJA	NN
_	11	3	soll	VMFIN	VMFIN
_	11	4	er	PPER	PPER
_	11	5	fromm	ADJD	ADJD
_	11	6	werden	VAINF	VAINF
_	11	7	/	$(	$(
KOUS	11	8	so	ADV	ADV
_	11	9	er	PPER	PPER
_	11	10	im	APPRART	APPRART
ADJA	11	11	rechtschaffenem	NE	ADJA
NN	11	12	Glauben	VVFIN	NN
_	11	13	Gott	NN	NN
_	11	14	anruft	VVFIN	VVFIN
_	11	15	/	$(	$(
_	11	16	und	KON	KON
_	11	17	im	APPRART	APPRART
_	11	18	rechten	ADJA	ADJA
_	11	19	Wege	NN	NN
_	11	20	nach	APPR	APPR
_	11	21	Gottes	NN	NN
_	11	22	Willen	NN	NN
VVINF	11	23	leben	VVFIN	VVINF
_	11	24	will	VMFIN	VMFIN
_	11	25	/	$(	$(
_	11	26	und	KON	KON
_	11	27	ihm	PPER	PPER
_	11	28	mit	APPR	APPR
_	11	29	reinem	ADJA	ADJA
_	11	30	Herzen	NN	NN
_	11	31	dienen	VVINF	VVINF
_	11	32	/	$(	$(
_	11	33	und	KON	KON
_	11	34	dankbar	ADJD	ADJD
_	11	35	sein	VAINF	VAINF
_	11	36	.	$.	$.
_	12	1	zum	APPRART	APPRART
CARD	12	2	Anderen	ADJA	PIS
VVIMP	12	3	lass	VVFIN	ADJD
_	12	4	für	APPR	APPR
PRF	12	5	dich	PPER	PRF
VVINF	12	6	bitten	VVINF	VVFIN
_	12	7	in	APPR	APPR
_	12	8	der	ART	ART
NN	12	9	Gemeinde	ADJA	NN
_	12	10	Gottes	NN	NN
_	12	11	.	$.	$.
_	13	1	dann	ADV	ADV
_	13	2	bei	APPR	APPR
_	13	3	den	ART	ART
_	13	4	Christen	NN	NN
_	13	5	ist	VAFIN	VAFIN
_	13	6	Opfern	NN	NN
PIAT	13	7	nichts	PIS	PIAT
PIS	13	8	anderes	ADV	PIS
_	13	9	/	$(	$(
_	13	10	dann	ADV	ADV
NN	13	11	Beten	VVINF	NN
_	13	12	/	$(	$(
_	13	13	und	KON	KON
_	13	14	Gott	NN	NN
_	13	15	für	APPR	APPR
_	13	16	seine	PPOSAT	PPOSAT
NN	13	17	Wohltat	VVFIN	NN
_	13	18	danken	VVINF	VVINF
_	13	19	.	$.	$.
_	14	1	zum	APPRART	APPRART
ADV	14	2	Letzten	ADJA	NN
_	14	3	soll	VMFIN	VMFIN
_	14	4	er	PPER	PPER
_	14	5	zum	APPRART	APPRART
_	14	6	Arzt	NN	NN
_	14	7	Zuflucht	NN	NN
VAINF	14	8	haben	VAFIN	VAFIN
_	14	9	/	$(	$(
_	14	10	und	KON	KON
_	14	11	ihn	PPER	PPER
_	14	12	nicht	PTKNEG	PTKNEG
_	14	13	vorachten	VVINF	VVINF
_	14	14	/	$(	$(
_	14	15	dieweil	KOUS	KOUS
PPER	14	16	ihn	APPR	PPER
_	14	17	Gott	NN	NN
_	14	18	geschaffen	VVPP	VVPP
_	14	19	hat	VAFIN	VAFIN
_	14	20	.	$.	$.
_	15	1	darum	PAV	PAV
_	15	2	sagt	VVFIN	VVFIN
_	15	3	der	ART	ART
_	15	4	Jesus	NE	NE
_	15	5	Syrach	NE	NE
PTKA	15	6	kurz	ADJD	ADJD
_	15	7	zuvor	ADV	ADV
_	15	8	/	$(	$(
_	15	9	der	ART	ART
_	15	10	Herr	NN	NN
VVFIN	15	11	lässt	VVIMP	VVFIN
_	15	12	die	ART	ART
NN	15	13	Arznei	NE	NN
_	15	14	aus	APPR	APPR
_	15	15	der	ART	ART
_	15	16	Erde	NN	NN
_	15	17	wachsen	VVINF	VVINF
_	15	18	/	$(	$(
_	15	19	und	KON	KON
_	15	20	ein	ART	ART
NN	15	21	Vornünftiger	NE	NN
VVFIN	15	22	verachtet	NN	VVFIN
_	15	23	sie	PPER	PPER
_	15	24	nicht	PTKNEG	PTKNEG
_	15	25	.	$.	$.
_	16	1	ward	VAFIN	VAFIN
_	16	2	doch	ADV	ADV
_	16	3	das	ART	ART
ADJA	16	4	bittere	ADJD	ADJA
_	16	5	Wasser	NN	NN
ADJD	16	6	süß	ADJA	ADJD
_	16	7	/	$(	$(
_	16	8	durch	APPR	APPR
_	16	9	ein	ART	ART
_	16	10	Holz	NN	NN
_	16	11	/	$(	$(
_	16	12	auf	APPR	APPR
KOUS	16	13	dass	ART	KOUS
_	16	14	man	PIS	PIS
_	16	15	seine	PPOSAT	PPOSAT
_	16	16	Kraft	NN	NN
_	16	17	erkennen	VVINF	VVINF
_	16	18	solle	VMFIN	VMFIN
_	16	19	.	$.	$.
_	17	1	und	KON	KON
_	17	2	er	PPER	PPER
_	17	3	hat	VAFIN	VAFIN
_	17	4	solche	PIAT	PIAT
_	17	5	Kunst	NN	NN
_	17	6	den	ART	ART
_	17	7	Menschen	NN	NN
_	17	8	gegeben	VVPP	VVPP
_	17	9	/	$(	$(
KOUS	17	10	dass	ART	KOUS
_	17	11	er	PPER	PPER
_	17	12	gepriesen	VVPP	VVPP
_	17	13	werde	VAFIN	VAFIN
_	17	14	in	APPR	APPR
_	17	15	seinen	PPOSAT	PPOSAT
_	17	16	Wundertaten	NN	NN
_	17	17	/	$(	$(
FM	17	18	et cetera	ADV	FM
_	18	1	und	KON	KON
_	18	2	also	ADV	ADV
_	18	3	tat	VVFIN	VVFIN
_	18	4	auch	ADV	ADV
_	18	5	der	ART	ART
NN	18	6	König	NN	NE
_	18	7	Hiskia	NE	NE
_	18	8	/	$(	$(
PRELS	18	9	welcher	VVIMP	PWS
PTKA	18	10	sehr	NE	ADV
_	18	11	krank	ADJD	ADJD
_	18	12	war	VAFIN	VAFIN
_	18	13	/	$(	$(
_	18	14	und	KON	KON
_	18	15	der	ART	ART
_	18	16	Prophet	NN	NN
_	18	17	Jesaia	NE	NE
APPR	18	18	zu	PTKZU	APPR
PPER	18	19	ihm	APPRART	PPER
_	18	20	kam	VVFIN	VVFIN
_	18	21	/	$(	$(
_	18	22	und	KON	KON
_	18	23	sprach	VVFIN	VVFIN
APPR	18	24	zu	PTKZU	APPR
_	18	25	ihm	PPER	PPER
_	18	26	.	$.	$.
_	19	1	so	ADV	ADV
_	19	2	spricht	VVFIN	VVFIN
_	19	3	der	ART	ART
_	19	4	Herr	NN	NN
_	19	5	/	$(	$(
VVIMP	19	6	bestelle	VVFIN	VVFIN
_	19	7	dein	PPOSAT	PPOSAT
_	19	8	Haus	NN	NN
_	19	9	/	$(	$(
_	19	10	denn	KON	KON
PPER	19	11	du	PTKZU	PPER
_	19	12	wirst	VAFIN	VAFIN
_	19	13	sterben	VVINF	VVINF
_	19	14	/	$(	$(
_	19	15	und	KON	KON
_	19	16	nicht	PTKNEG	PTKNEG
_	19	17	lebendig	ADJD	ADJD
_	19	18	bleiben	VVINF	VVINF
_	19	19	.	$.	$.
_	20	1	da	ADV	ADV
VVFIN	20	2	wendet	PWS	VVFIN
_	20	3	Hiskia	NE	NE
PPOSAT	20	4	sein	VAINF	PPOSAT
_	20	5	Angesicht	NN	NN
_	20	6	zur	APPRART	APPRART
NN	20	7	Wand	VVFIN	NN
_	20	8	/	$(	$(
_	20	9	und	KON	KON
_	20	10	betet	VVFIN	VVFIN
_	20	11	zum	APPRART	APPRART
_	20	12	Herrn	NN	NN
_	20	13	/	$(	$(
_	20	14	und	KON	KON
_	20	15	sprach	VVFIN	VVFIN
_	20	16	.	$.	$.
VVIMP	21	1	gedenk	NE	VVIMP
_	21	2	doch	ADV	ADV
_	21	3	Herr	NN	NN
_	21	4	/	$(	$(
KOUS	21	5	wie	KOKOM	KOUS
_	21	6	ich	PPER	PPER
_	21	7	vor	APPR	APPR
PPER	21	8	dir	ART	PRF
_	21	9	gewandelt	VVPP	VVPP
VAFIN	21	10	hab	VAFIN	VAIMP
_	21	11	in	APPR	APPR
_	21	12	der	ART	ART
_	21	13	Wahrheit	NN	NN
_	21	14	/	$(	$(
_	21	15	mit	APPR	APPR
_	21	16	vollkommenem	ADJA	ADJA
_	21	17	Herzen	NN	NN
_	21	18	/	$(	$(
_	21	19	und	KON	KON
_	21	20	habe	VAFIN	VAFIN
_	21	21	getan	VVPP	VVPP
PRELS	21	22	was	PWS	PIS
_	21	23	dir	PPER	PPER
_	21	24	gefallen	VVPP	VVPP
_	21	25	hat	VAFIN	VAFIN
_	21	26	/	$(	$(
_	21	27	und	KON	KON
_	21	28	Hiskia	NE	NE
_	21	29	weint	VVFIN	VVFIN
ADV	21	30	sehr	NE	ADV
_	21	31	.	$.	$.
_	22	1	da	ADV	ADV
_	22	2	sprach	VVFIN	VVFIN
_	22	3	Gott	NN	NN
_	22	4	der	ART	ART
_	22	5	Herr	NN	NN
APPR	22	6	zu	PTKZU	APPR
_	22	7	Jesaia	NE	NE
_	22	8	/	$(	$(
VVIMP	22	9	gehe	NE	VVFIN
_	22	10	hin	PTKVZ	PTKVZ
_	22	11	und	KON	KON
VVIMP	22	12	sage	VVFIN	VVFIN
_	22	13	Hiskia	NE	NE
_	22	14	/	$(	$(
_	22	15	so	ADV	ADV
_	22	16	spricht	VVFIN	VVFIN
_	22	17	der	ART	ART
_	22	18	Herr	NN	NN
_	22	19	der	ART	ART
_	22	20	Gott	NN	NN
_	22	21	deines	PPOSAT	PPOSAT
_	22	22	Vaters	NN	NN
_	22	23	David	NE	NE
_	22	24	.	$.	$.
_	23	1	ich	PPER	PPER
_	23	2	habe	VAFIN	VAFIN
_	23	3	dein	PPOSAT	PPOSAT
_	23	4	Gebet	NN	NN
VVPP	23	5	gehört	VVFIN	VVPP
_	23	6	/	$(	$(
_	23	7	und	KON	KON
_	23	8	deinen	PPOSAT	PPOSAT
_	23	9	Tränen	NN	NN
_	23	10	gesehen	VVPP	VVPP
_	23	11	.	$.	$.
VVIMP	24	1	sieh	PRF	VVIMP
_	24	2	ich	PPER	PPER
_	24	3	will	VMFIN	VMFIN
_	24	4	deinen	PPOSAT	PPOSAT
_	24	5	Tagen	NN	NN
_	24	6	noch	ADV	ADV
_	24	7	fünfzehn	CARD	CARD
_	24	8	Jahr	NN	NN
_	24	9	zulegen	VVINF	VVINF
_	24	10	/	$(	$(
_	24	11	und	KON	KON
_	24	12	will	VMFIN	VMFIN
_	24	13	dich	PPER	PPER
_	24	14	samt	APPR	APPR
_	24	15	dieser	PDAT	PDAT
NN	24	16	stat	APPR	NN
VVINF	24	17	erretten	VVINF	VVFIN
_	24	18	von	APPR	APPR
_	24	19	der	ART	ART
_	24	20	Hand	NN	NN
_	24	21	des	ART	ART
_	24	22	Königs	NN	NN
APPR	24	23	zu	PTKZU	APPR
_	24	24	Assyrien	NE	NE
_	24	25	/	$(	$(
_	24	26	denn	KON	KON
_	24	27	ich	PPER	PPER
_	24	28	will	VMFIN	VMFIN
_	24	29	diese	PDAT	PDAT
NN	24	30	Stadt	APPR	NN
_	24	31	wohl	ADV	ADV
VVINF	24	32	verteidigen	NE	VVINF
_	24	33	.	$.	$.
_	25	1	bald	ADV	ADV
PAV	25	2	darnach	PAV	ADV
_	25	3	hat	VAFIN	VAFIN
_	25	4	der	ART	ART
_	25	5	Prophet	NN	NN
_	25	6	befohlen	VVPP	VVPP
_	25	7	man	PIS	PIS
_	25	8	soll	VMFIN	VMFIN
_	25	9	ihm	PPER	PPER
_	25	10	ein	ART	ART
_	25	11	Pflaster	NN	NN
_	25	12	von	APPR	APPR
NN	25	13	Feigen	ADJA	NN
_	25	14	gemacht	VVPP	VVPP
_	25	15	auf	APPR	APPR
_	25	16	das	ART	ART
NN	25	17	Geschwer	NE	NN
_	25	18	legen	VVINF	VVINF
_	25	19	/	$(	$(
_	25	20	dardurch	PAV	PAV
_	25	21	er	PPER	PPER
_	25	22	auch	ADV	ADV
_	25	23	gesund	ADJD	ADJD
_	25	24	ist	VAFIN	VAFIN
VAPP	25	25	worden	VAPP	VAPP
_	25	26	.	$.	$.
_	26	1	auf	APPR	APPR
_	26	2	diese	PDAT	PDAT
_	26	3	Art	NN	NN
VAFIN	26	4	werden	VAINF	VAFIN
_	26	5	in	APPR	APPR
_	26	6	dieser	PDAT	PDAT
_	26	7	fährlichen	ADJA	ADJA
_	26	8	Zeit	NN	NN
_	26	9	sich	PRF	PRF
_	26	10	alle	PIAT	PIAT
_	26	11	Christen	NN	NN
_	26	12	schicken	VVINF	VVINF
_	26	13	/	$(	$(
_	26	14	und	KON	KON
_	26	15	zubereiten	VVINF	VVINF
_	26	16	/	$(	$(
KOUS	26	17	dann	ADV	ADV
_	26	18	es	PPER	PPER
_	26	19	auch	ADV	ADV
_	26	20	die	ART	ART
_	26	21	große	ADJA	ADJA
_	26	22	Not	NN	NN
VVFIN	26	23	erfordert	VVFIN	VVPP
_	26	24	/	$(	$(
_	26	25	und	KON	KON
_	26	26	Gott	NN	NN
_	26	27	will	VMFIN	VMFIN
_	26	28	barmherzig	ADJD	ADJD
_	26	29	sein	VAINF	VAINF
_	26	30	/	$(	$(
PDS	26	31	denen	PRELS	PDS
PRELS	26	32	die	ART	PRELS
_	26	33	ihn	PPER	PPER
_	26	34	anrufen	VVINF	VVINF
_	26	35	/	$(	$(
_	26	36	mit	APPR	APPR
_	26	37	rechtschaffenem	ADJA	ADJA
NN	26	38	Glauben	VVFIN	NN
KON	26	39	dann	ADV	ADV
_	26	40	er	PPER	PPER
_	26	41	hat	VAFIN	VAFIN
_	26	42	es	PPER	PPER
_	26	43	zugesagt	VVPP	VVPP
_	26	44	/	$(	$(
KOUS	26	45	dass	ART	KOUS
_	26	46	er	PPER	PPER
_	26	47	uns	PPER	PPER
_	26	48	von	APPR	APPR
_	26	49	dem	ART	ART
NN	26	50	Übel	ADV	NN
_	26	51	erretten	VVINF	VVINF
_	26	52	will	VMFIN	VMFIN
_	26	53	.	$.	$.
PRELS	27	1	was	PWS	PWS
_	27	2	aber	ADV	ADV
_	27	3	die	ART	ART
NN	27	4	Arznei	NE	NN
_	27	5	betrifft	VVFIN	VVFIN
_	27	6	/	$(	$(
_	27	7	will	VMFIN	VMFIN
_	27	8	ich	PPER	PPER
ADV	27	9	kürzlich	ADV	ADJD
VVINF	27	10	anzeigen	VVINF	VVFIN
PTKA	27	11	so	ADV	ADV
_	27	12	weit	ADJD	ADJD
_	27	13	als	KOKOM	KOKOM
_	27	14	die	ART	ART
_	27	15	Not	NN	NN
VVFIN	27	16	erfordert	VVFIN	VVPP
_	27	17	.	$.	$.
_	28	1	zum	APPRART	APPRART
CARD	28	2	Ersten	ADJA	NN
_	28	3	soll	VMFIN	VMFIN
_	28	4	ein	ART	ART
PIS	28	5	jeder	PIAT	PIS
VVINF	28	6	merken	VVINF	VVFIN
_	28	7	die	ART	ART
_	28	8	Zeichen	NN	NN
_	28	9	/	$(	$(
_	28	10	dabei	PAV	PAV
_	28	11	man	PIS	PIS
_	28	12	erkennen	VVINF	VVINF
_	28	13	möchte	VMFIN	VMFIN
_	28	14	/	$(	$(
_	28	15	ob	KOUS	KOUS
PIS	28	16	einen	ART	PIS
_	28	17	die	ART	ART
_	28	18	Gift	NN	NN
_	28	19	begriffen	VVPP	VVPP
_	28	20	habe	VAFIN	VAFIN
_	28	21	/	$(	$(
_	28	22	oder	KON	KON
_	28	23	nicht	PTKNEG	PTKNEG
_	28	24	.	$.	$.
KOUS	29	1	wann	PWAV	PWAV
PIS	29	2	einer	ART	PIS
ADV	29	3	plötzlich	ADJD	ADJD
ADJD	29	4	las	VVFIN	VVFIN
KON	29	5	und	KON	KON
ADJD	29	6	matt	PTKVZ	ADJD
_	29	7	würde	VAFIN	VAFIN
_	29	8	in	APPR	APPR
_	29	9	allen	PIAT	PIAT
_	29	10	seinen	PPOSAT	PPOSAT
_	29	11	Gliedern	NN	NN
_	29	12	/	$(	$(
_	29	13	und	KON	KON
_	29	14	sich	PRF	PRF
ADV	29	15	heftig	ADJD	ADJD
_	29	16	renkt	VVFIN	VVFIN
_	29	17	/	$(	$(
FM	29	18	item	ADV	ADV
KOUS	29	19	wo	PWAV	PWAV
_	29	20	ein	ART	ART
NN	29	21	Schauer	VVIMP	NN
PIS	29	22	einen	ART	ART
_	29	23	bald	ADV	ADV
_	29	24	ankäme	VVFIN	VVFIN
_	29	25	/	$(	$(
_	29	26	oder	KON	KON
_	29	27	eine	ART	ART
ADJA	29	28	plötzliche	ADJD	ADJA
_	29	29	Hitze	NN	NN
_	29	30	/	$(	$(
_	29	31	oder	KON	KON
KOUS	29	32	so	ADV	ADV
_	29	33	er	PPER	PPER
_	29	34	sich	PRF	PRF
VVFIN	29	35	undäut	NE	VVFIN
_	29	36	über	APPR	APPR
_	29	37	die	ART	ART
_	29	38	Gewohnheit	NN	NN
_	29	39	/	$(	$(
_	29	40	oder	KON	KON
KOUS	29	41	so	ADV	ADV
_	29	42	ihn	PPER	PPER
_	29	43	ein	ART	ART
_	29	44	gewaltiger	ADJA	ADJA
NN	29	45	Schlaf	ADJD	NN
_	29	46	überfällt	VVFIN	VVFIN
_	29	47	/	$(	$(
_	29	48	oder	KON	KON
_	29	49	eine	ART	ART
_	29	50	große	ADJA	ADJA
_	29	51	Traurigkeit	NN	NN
PPER	29	52	ihn	APPR	PPER
_	29	53	ängstigt	VVFIN	VVFIN
_	29	54	/	$(	$(
_	29	55	und	KON	KON
_	29	56	der	ART	ART
_	29	57	Harn	NN	NN
PRELS	29	58	welcher	PWAT	PIS
_	29	59	doch	ADV	ADV
APPR	29	60	zu	PTKZU	APPR
_	29	61	dieser	PDAT	PDAT
_	29	62	Zeit	NN	NN
ADV	29	63	wenig	PIS	PIAT
NN	29	64	Gewisses	ADJA	NN
_	29	65	anzeigt	VVFIN	VVFIN
_	29	66	/	$(	$(
_	29	67	ist	VAFIN	VAFIN
ADV	29	68	gemeiniglich	ADV	ADJD
_	29	69	gelblich	ADJD	ADJD
_	29	70	und	KON	KON
_	29	71	trüb	ADJD	ADJD
_	29	72	.	$.	$.
FM	30	1	item	NN	ADV
KOUS	30	2	so	ADV	ADV
PIS	30	3	einem	ART	ART
_	30	4	braune	ADJA	ADJA
_	30	5	Flecken	NN	NN
VVFIN	30	6	ausführen	VVINF	VVINF
_	30	7	/	$(	$(
_	30	8	und	KON	KON
ADV	30	9	sonderlich	ADJD	ADJD
_	30	10	/	$(	$(
KOUS	30	11	wann	PWAV	PWAV
NN	30	12	Beulen	VVINF	NN
_	30	13	und	KON	KON
_	30	14	Blattern	NN	NN
_	30	15	aufgefaren	VVPP	VVPP
_	30	16	wären	VAFIN	VAFIN
