GOLDPOS	SID	TID	TOKEN	POS1	POS2
_	4	27	/	$(	$(
_	4	28	oder	KON	KON
PIAT	4	29	andere	ADJA	PIS
_	4	30	Person	NN	NN
_	4	31	wenigen	PIAT	PIAT
_	4	32	Mitteln	NN	NN
_	4	33	in	APPR	APPR
_	4	34	oder	KON	KON
_	4	35	außer	APPR	APPR
_	4	36	der	ART	ART
_	4	37	Stadt	NN	NN
_	4	39	versehe	VVFIN	VVFIN
_	4	40	;	$.	$.
_	4	41	und	KON	KON
_	4	42	dies	PDS	PDS
_	4	43	zu	PTKZU	PTKZU
_	4	44	thun	VVINF	VVINF
_	4	45	/	$(	$(
_	4	46	auch	ADV	ADV
_	4	47	dem	ART	ART
_	4	48	Gewissen	NN	NN
APPO	4	49	nach	APPR	APPO
_	4	50	/	$(	$(
_	4	51	wird	VAFIN	VAFIN
_	4	52	ein	ART	ART
PIAT	4	53	jeder	PIAT	PIS
_	4	54	schuldig	ADJD	ADJD
_	4	55	und	KON	KON
ADJD	4	56	verbunden	VVPP	ADJD
_	4	57	seyn	VVINF	VVINF
_	4	58	;	$.	$.
PWAT	4	59	welche	PWAT	PRELS
_	4	60	Arzneien	NN	NN
_	4	61	auch	ADV	ADV
_	4	62	jedermann	PIS	PIS
_	4	63	mehrenteils	ADV	ADV
_	4	64	in	APPR	APPR
_	4	65	seinem	PPOSAT	PPOSAT
_	4	66	Gärtlein	NN	NN
_	4	67	hat	VAFIN	VAFIN
_	4	68	/	$(	$(
_	4	69	oder	KON	KON
VAINF	4	70	haben	VAFIN	VAINF
_	4	71	kann	VMFIN	VMFIN
_	4	72	/	$(	$(
_	4	73	oder	KON	KON
_	4	74	da	ADV	ADV
_	4	75	sonst	ADV	ADV
_	4	76	leicht	ADJD	ADJD
_	4	77	ohne	APPR	APPR
_	4	78	sonderliche	ADJA	ADJA
_	4	79	Unkosten	NN	NN
_	4	80	zuweg e 	ADV	ADV
_	4	81	bringen	VVINF	VVINF
_	4	82	wird	VAFIN	VAFIN
_	4	83	/	$(	$(
_	4	84	auf	APPR	APPR
_	4	85	dass	KOUS	KOUS
_	4	86	doch	ADV	ADV
_	4	87	einiger	PIAT	PIAT
NN	4	88	massen	NN	ADJA
PIAT	4	89	anderer	ADJA	PIAT
_	4	90	unordentlicher	ADJA	ADJA
ADV	4	91	selbst	PDS	ADV
APPR	4	92	zu	PTKZU	APPR
_	4	93	Unrecht	NN	NN
_	4	94	erdichteter	ADJA	ADJA
_	4	95	Gebrauch	NN	NN
_	4	96	verhindert	VVPP	VVPP
_	4	97	werden	VAINF	VAINF
_	4	98	möge	VMFIN	VMFIN
_	4	99	.	$.	$.
_	5	1	wer	PWS	PWS
_	5	2	demnach	PAV	PAV
_	5	3	auch	ADV	ADV
_	5	4	sei	VAFIN	VAFIN
_	5	5	/	$(	$(
_	5	6	der	ART	ART
_	5	7	unvermögend	ADJD	ADJD
_	5	8	/	$(	$(
_	5	9	und	KON	KON
_	5	10	in	APPR	APPR
_	5	11	Pestnot	NN	NN
_	5	12	gerät	VVFIN	VVFIN
_	5	13	/	$(	$(
_	5	14	nächst	APPR	APPR
_	5	15	andächtigem	ADJA	ADJA
_	5	16	Gebet	NN	NN
APPR	5	17	zu	PTKZU	APPR
_	5	18	GOtt	NN	NN
_	5	19	/	$(	$(
_	5	20	dass	KOUS	KOUS
_	5	21	er	PPER	PPER
_	5	22	wolle	VMFIN	VMFIN
_	5	23	schonen	VVINF	VVINF
_	5	24	/	$(	$(
_	5	25	und	KON	KON
_	5	26	nicht	PTKNEG	PTKNEG
_	5	27	nach	APPR	APPR
_	5	28	Verdienst	NN	NN
_	5	29	ablohnen	VVINF	VVINF
_	5	30	/	$(	$(
_	5	31	bereite	VVFIN	VVFIN
_	5	32	dieses	PDAT	PDAT
_	5	33	/	$(	$(
_	5	34	oder	KON	KON
_	5	35	lasse	VVFIN	VVFIN
_	5	36	es	PPER	PPER
VVFIN	5	37	bereiten	VVFIN	VVINF
_	5	38	/	$(	$(
_	5	39	nämlich	ADV	ADV
_	5	40	:	$.	$.
_	5	41	(	$(	$(
ADJA	5	42	1.	ADJA	ADV
_	5	43	)	$(	$(
VVIMP	6	1	nimm	NE	VVIMP
_	6	2	Alantwurzel	NN	NN
_	6	3	/	$(	$(
NN	6	4	Großklettenwurzel	NE	NN
_	6	5	/	$(	$(
NN	6	6	Liebstöckelwurzel	NE	NN
_	6	7	/	$(	$(
NN	6	8	Schöllkrautwurzel	NE	NN
_	6	9	/	$(	$(
NN	6	10	Pestilenzwurzel	NE	NN
_	6	11	/	$(	$(
_	6	12	(	$(	$(
_	6	13	oder	KON	KON
_	6	14	Neunkraftwurzel	NN	NN
_	6	15	)	$(	$(
NN	6	16	Angelikawurzel	NE	NN
_	6	17	/	$(	$(
_	6	18	Wacholderbeeren	NN	NN
_	6	19	/	$(	$(
_	6	20	jedes	PIAT	PIAT
_	6	21	1.	ADJA	ADJA
_	6	22	Lot	NN	NN
_	6	23	/	$(	$(
_	6	24	diese	PDAT	PDAT
PIS	6	25	alle	PIAT	PIS
_	6	26	/	$(	$(
_	6	27	oder	KON	KON
_	6	28	doch	ADV	ADV
_	6	29	die	ART	ART
PIS	6	30	meisten	PIAT	PIS
_	6	31	/	$(	$(
PRELS	6	32	welche	PWAT	PRELS
_	6	33	du	PPER	PPER
VAINF	6	34	haben	VAFIN	VAINF
_	6	35	kannst	VMFIN	VMFIN
_	6	36	/	$(	$(
_	6	37	schneide	VVFIN	VVFIN
_	6	38	klein	ADJD	ADJD
_	6	39	/	$(	$(
VVFIN	6	40	gieße	NN	VVFIN
_	6	41	guten	ADJA	ADJA
_	6	42	starken	ADJA	ADJA
_	6	43	Weinessig	NN	NN
_	6	44	darauf	PAV	PAV
_	6	45	/	$(	$(
_	6	46	in	APPR	APPR
_	6	47	einem	ART	ART
_	6	48	irdenen	ADJA	ADJA
_	6	49	/	$(	$(
_	6	50	oder	KON	KON
_	6	51	gläsernen	ADJA	ADJA
_	6	52	Gefäß	NN	NN
_	6	53	oder	KON	KON
_	6	54	Flaschen	NN	NN
_	6	55	/	$(	$(
_	6	56	3.	ADJA	ADJA
_	6	57	oder	KON	KON
_	6	58	4.	ADJA	ADJA
ADJA	6	59	zwerch	ADV	ADJA
_	6	60	Finger	NN	NN
ADJD	6	61	hoch	ADJD	PTKVZ
_	6	62	/	$(	$(
VVIMP	6	63	vermache	VVIMP	VVFIN
_	6	64	das	ART	ART
_	6	65	Gefäß	NN	NN
_	6	66	oben	ADV	ADV
_	6	67	wohl	ADV	ADV
_	6	68	/	$(	$(
_	6	69	und	KON	KON
_	6	70	stelle	VVFIN	VVFIN
_	6	71	es	PPER	PPER
_	6	72	auf	APPR	APPR
_	6	73	den	ART	ART
_	6	74	Ofen	NN	NN
_	6	75	/	$(	$(
_	6	76	nicht	PTKNEG	PTKNEG
PTKA	6	77	zu	PTKZU	PTKA
_	6	78	warm	ADJD	ADJD
_	6	79	/	$(	$(
_	6	80	auch	ADV	ADV
_	6	81	nicht	PTKNEG	PTKNEG
PTKA	6	82	zu	PTKZU	PTKA
_	6	83	kalt	ADJD	ADJD
_	6	84	/	$(	$(
VVIMP	6	85	rühre	VVFIN	VVFIN
PPER	6	86	es	NE	PPER
_	6	87	alle	PIAT	PIAT
_	6	88	Morgen	NN	NN
_	6	89	untereinander	ADV	ADV
_	6	90	/	$(	$(
_	6	91	und	KON	KON
_	6	92	wenn	KOUS	KOUS
_	6	93	es	PPER	PPER
CARD	6	94	drey	CARD	ADJA
_	6	95	oder	KON	KON
_	6	96	vier	CARD	CARD
_	6	97	Tage	NN	NN
_	6	98	gestanden	VVPP	VVPP
_	6	99	/	$(	$(
_	6	100	so	ADV	ADV
VVIMP	6	101	gieße	NN	VVFIN
_	6	102	den	ART	ART
_	6	103	Essig	NN	NN
_	6	104	ab	PTKVZ	PTKVZ
_	6	105	/	$(	$(
_	6	106	es	PPER	PPER
_	6	107	kann	VMFIN	VMFIN
_	6	108	auch	ADV	ADV
_	6	109	wohl	ADV	ADV
_	6	110	unabgegossen	ADJD	ADJD
_	6	111	alles	PIS	PIS
ADV	6	112	beisammen	PTKVZ	ADV
_	6	113	gelassen	VVPP	VVPP
_	6	114	werden	VAINF	VAINF
_	6	115	.	$.	$.
_	7	1	von	APPR	APPR
_	7	2	diesem	PDAT	PDAT
_	7	3	Pestessig	NN	NN
_	7	4	brauche	VVFIN	VVFIN
_	7	5	ein	ART	ART
_	7	6	Erwachsenes	NN	NN
_	7	7	jeglichen	PIAT	PIAT
_	7	8	Morgen	NN	NN
_	7	9	zur	APPRART	APPRART
_	7	10	Verwahrung	NN	NN
_	7	11	vor	APPR	APPR
_	7	12	der	ART	ART
_	7	13	Pest	NN	NN
_	7	14	einen	ART	ART
_	7	15	halben	ADJA	ADJA
_	7	16	Löffel	NN	NN
_	7	17	voll	ADJD	ADJD
_	7	18	/	$(	$(
_	7	19	und	KON	KON
_	7	20	so	ADV	ADV
_	7	21	er	PPER	PPER
_	7	22	es	PPER	PPER
_	7	23	wohl	ADV	ADV
_	7	24	vertrüge	VVFIN	VVFIN
_	7	25	/	$(	$(
_	7	26	wohl	ADV	ADV
_	7	27	einem	ART	ART
_	7	28	ganzen	ADJA	ADJA
_	7	29	Löffel	NN	NN
_	7	30	voll	ADJD	ADJD
_	7	31	/	$(	$(
_	7	32	oder	KON	KON
_	7	33	nehme	VVFIN	VVFIN
ADJD	7	34	früh	ADJA	ADJD
_	7	35	etliche	PIAT	PIAT
_	7	36	Stücklein	NN	NN
PRELS	7	37	der	ART	ART
_	7	38	im	APPRART	APPRART
_	7	39	Pestessig	NN	NN
_	7	40	liegenden	ADJA	ADJA
_	7	41	Wurzeln	NN	NN
_	7	42	/	$(	$(
_	7	43	und	KON	KON
_	7	44	genieße	VVFIN	VVFIN
_	7	45	sie	PPER	PPER
_	7	46	.	$.	$.
APPR	8	1	Uber	APPR	NN
PDS	8	2	diß	PDS	ADJD
_	8	3	kann	VMFIN	VMFIN
_	8	4	bisweilen	ADV	ADV
_	8	5	früh	ADJD	ADJD
_	8	6	etliche	PIAT	PIAT
NN	8	7	Bissen	VVFIN	NN
_	8	8	Brot	NN	NN
_	8	9	mit	APPR	APPR
_	8	10	Butter	NN	NN
_	8	11	/	$(	$(
_	8	12	Salz	NN	NN
_	8	13	und	KON	KON
_	8	14	frischer	ADJA	ADJA
_	8	15	Rauten	NN	NN
_	8	16	genommen	VVPP	VVPP
_	8	17	werden	VAINF	VAINF
_	8	18	.	$.	$.
_	9	1	denn	KON	KON
_	9	2	des	ART	ART
_	9	3	Salzes	NN	NN
_	9	4	Kraft	NN	NN
_	9	5	in	APPR	APPR
_	9	6	der	ART	ART
_	9	7	Pest	NN	NN
_	9	8	auch	ADV	ADV
_	9	9	nicht	PTKNEG	PTKNEG
ADJD	9	10	gering	ADJA	ADJD
_	9	11	zu	PTKZU	PTKZU
VVINF	9	12	achten	ADJA	VVINF
_	9	13	.	$.	$.
_	10	1	wer	PWS	PWS
_	10	2	ausgehen	VVINF	VVINF
_	10	3	will	VMFIN	VMFIN
_	10	4	/	$(	$(
_	10	5	oder	KON	KON
_	10	6	soll	VMFIN	VMFIN
_	10	7	/	$(	$(
VVIMP	10	8	esse	VVFIN	VVFIN
_	10	9	zuvor	ADV	ADV
PIS	10	10	etwas	PIS	ADV
_	10	11	/	$(	$(
VVIMP	10	12	bestreiche	ADJA	VVFIN
_	10	13	Mund	NN	NN
_	10	14	und	KON	KON
_	10	15	Nasen	NN	NN
_	10	16	mit	APPR	APPR
_	10	17	dem	ART	ART
_	10	18	Pestessig	NN	NN
$.	10	19	:	$.	$(
ADV	10	20	item	NN	ADV
_	10	21	kann	VMFIN	VMFIN
_	10	22	ein	ART	ART
_	10	23	Schwämmlein	NN	NN
_	10	24	in	APPR	APPR
PDS	10	25	denselbigen	PDAT	ADJA
_	10	26	eintauchen	VVINF	VVINF
_	10	27	und	KON	KON
_	10	28	im	APPRART	APPRART
_	10	29	Mund	NN	NN
_	10	30	halten	VVINF	VVINF
_	10	31	.	$.	$.
CARD	11	1	2.	ADJA	CARD
_	12	1	wer	PWS	PWS
_	12	2	aber	ADV	ADV
_	12	3	den	ART	ART
_	12	4	innerlichen	ADJA	ADJA
_	12	5	Gebrauch	NN	NN
_	12	6	des	ART	ART
_	12	7	Pestessigs	NN	NN
_	12	8	nicht	PTKNEG	PTKNEG
_	12	9	wohl	ADV	ADV
_	12	10	vertrüge	VVFIN	VVFIN
_	12	11	/	$(	$(
KOUS	12	12	wie	KOKOM	KOUS
ADV	12	13	denn	KON	ADV
_	12	14	nicht	PTKNEG	PTKNEG
_	12	15	ein	ART	ART
_	12	16	jedwede	PIAT	PIAT
_	12	17	Arznei	NN	NN
_	12	18	mit	APPR	APPR
_	12	19	Essig	NN	NN
VVPP	12	20	bereitet	VVFIN	VVPP
_	12	21	verträgt	VVFIN	VVFIN
_	12	22	/	$(	$(
PRELS	12	23	der	ART	PRELS
_	12	24	bereite	VVFIN	VVFIN
_	12	25	oder	KON	KON
_	12	26	lasse	VVFIN	VVFIN
_	12	27	sich	PRF	PRF
_	12	28	bereiten	VVFIN	VVFIN
_	12	29	diese	PDAT	PDAT
_	12	30	Latwerge	NN	NN
$.	12	31	:	$.	$(
VVIMP	12	32	nimm	NE	VVIMP
_	12	33	Wacholderbeersaft	NN	NN
_	12	34	8.	ADJA	ADJA
_	12	35	Lot	NN	NN
_	12	40	/	$(	$(
_	12	41	Knoblauch	NN	NN
_	12	42	/	$(	$(
_	12	43	und	KON	KON
_	12	44	frische	ADJA	ADJA
_	12	45	Rauten	NN	NN
_	12	46	/	$(	$(
PIAT	12	47	jedes	PIS	PIAT
_	12	48	4.	ADJA	ADJA
_	12	49	Lot	NN	NN
_	12	50	/	$(	$(
_	12	51	diese	PDAT	PDAT
_	12	52	zwei	CARD	CARD
_	12	53	klein	ADJD	ADJD
_	12	54	geschnitten	VVPP	VVPP
_	12	55	stoß	VVIMP	VVIMP
_	12	56	oder	KON	KON
_	12	57	reibe	VVFIN	VVFIN
_	12	58	es	PPER	PPER
_	12	59	zusammen	ADV	ADV
_	12	60	in	APPR	APPR
_	12	61	irrdenen	ADJA	ADJA
_	12	62	Gefäßen	NN	NN
_	12	63	mit	APPR	APPR
NN	12	64	Zugießen	VVINF	NN
_	12	65	ein	ART	ART
PIAT	12	66	wenig	PIS	PIAT
_	12	67	guten	ADJA	ADJA
_	12	68	Weinessigs	NN	NN
_	12	69	/	$(	$(
KOUS	12	70	bis	VVFIN	KOUS
_	12	71	es	PPER	PPER
APPR	12	72	zu	PTKZU	APPR
_	12	73	einer	ART	ART
_	12	74	Latwerge	NN	NN
_	12	75	/	$(	$(
_	12	76	oder	KON	KON
_	12	77	fast	ADV	ADV
_	12	78	dicken	ADJA	ADJA
_	12	79	Brei	NN	NN
_	12	80	werde	VAFIN	VAFIN
_	12	81	/	$(	$(
_	12	82	verwahre	VVFIN	VVFIN
_	12	83	es	PPER	PPER
_	12	84	wohl	ADV	ADV
_	12	85	in	APPR	APPR
_	12	86	einem	ART	ART
_	12	87	irdenen	ADJA	ADJA
_	12	88	Gefäß	NN	NN
_	12	89	oder	KON	KON
NN	12	90	Glas	NE	NN
_	12	91	.	$.	$.
_	13	1	und	KON	KON
_	13	2	hiervon	PAV	PAV
_	13	3	nehme	VVFIN	VVFIN
_	13	4	ein	ART	ART
_	13	5	Erwachsener	NN	NN
_	13	6	alle	PIAT	PIAT
_	13	7	Morgen	NN	NN
_	13	8	zwei	CARD	CARD
_	13	9	Messerspitzen	NN	NN
_	13	10	zur	APPRART	APPRART
_	13	11	Bewahrung	NN	NN
_	13	12	vor	APPR	APPR
_	13	13	der	ART	ART
_	13	14	Pest	NN	NN
_	13	15	/	$(	$(
_	13	16	ein	ART	ART
_	13	17	Unerwachsener	NN	NN
_	13	18	eine	ART	ART
_	13	19	Messerspitze	NN	NN
_	13	20	.	$.	$.
_	14	1	wohl	ADV	ADV
_	14	2	aber	ADV	ADV
_	14	3	tut	VVFIN	VVFIN
_	14	4	der	ART	ART
_	14	5	Hausvater	NN	NN
_	14	6	/	$(	$(
PRELS	14	7	der	ART	ART
_	14	8	vor	APPR	APPR
_	14	9	sich	PRF	PRF
_	14	10	und	KON	KON
_	14	11	die	ART	ART
NN	14	12	Seinigen	PPOSAT	NN
_	14	13	beide	PIAT	PIAT
_	14	14	Arzneien	NN	NN
_	14	15	/	$(	$(
_	14	16	Pestessig	NN	NN
_	14	17	und	KON	KON
_	14	18	Pestlatwerge	NN	NN
_	14	19	bereitet	VVFIN	VVFIN
_	14	20	/	$(	$(
_	14	21	und	KON	KON
_	14	22	einen	ART	ART
_	14	23	Morgen	NN	NN
_	14	24	innerlich	ADJD	ADJD
_	14	25	von	APPR	APPR
_	14	26	den	ART	ART
_	14	27	Pestessig	NN	NN
_	14	28	/	$(	$(
_	14	29	den	ART	ART
PIAT	14	30	anderen	ADJA	PIAT
_	14	31	Morgen	NN	NN
_	14	32	von	APPR	APPR
_	14	33	der	ART	ART
_	14	34	Pestlatwerge	NN	NN
_	14	35	braucht	VVFIN	VVFIN
_	14	36	/	$(	$(
_	14	37	und	KON	KON
_	14	38	mit	APPR	APPR
_	14	39	diesen	PDAT	PDAT
_	14	40	beiden	PIAT	PIAT
_	14	41	Arzneien	NN	NN
_	14	42	alle	PIAT	PIAT
_	14	43	Morgen	NN	NN
PDAT	14	44	solcher	PIAT	PIAT
_	14	45	massen	NN	NN
_	14	46	umwechselt	VVFIN	VVFIN
_	14	47	.	$.	$.
_	15	1	3.	ADJA	ADJA
ADV	15	2	ferner	ADV	ADJD
_	15	3	ist	VAFIN	VAFIN
_	15	4	auch	ADV	ADV
_	15	5	zur	APPRART	APPRART
_	15	6	Verwahrung	NN	NN
_	15	7	vor	APPR	APPR
_	15	8	der	ART	ART
_	15	9	Pest	NN	NN
_	15	10	nötig	ADJD	ADJD
_	15	11	/	$(	$(
_	15	12	dass	KOUS	KOUS
_	15	13	/	$(	$(
_	15	14	der	ART	ART
_	15	15	noch	ADV	ADV
_	15	16	gesund	ADJD	ADJD
_	15	17	ist	VAFIN	VAFIN
_	15	18	/	$(	$(
APPR	15	19	zu	PTKZU	APPR
PDAT	15	20	solcher	PIAT	PIAT
_	15	21	Zeit	NN	NN
_	15	22	wohl	ADV	ADV
_	15	23	esse	VVFIN	VVFIN
_	15	24	/	$(	$(
_	15	25	und	KON	KON
_	15	26	zwar	ADV	ADV
APPR	15	27	zu	PTKZU	APPR
_	15	28	seiner	PPOSAT	PPOSAT
_	15	29	Sättigung	NN	NN
PWS	15	30	was	PWS	PIS
_	15	31	ihm	PPER	PPER
_	15	32	schmeckt	VVFIN	VVFIN
_	15	33	/	$(	$(
_	15	34	und	KON	KON
_	15	35	Gott	NN	NN
VVFIN	15	36	beschert	VVPP	VVFIN
_	15	37	/	$(	$(
_	15	38	da	ADV	ADV
ADV	15	39	denn	KON	ADV
_	15	40	bei	APPR	APPR
_	15	41	Tisch	NN	NN
ADJA	15	42	geriebener	VVPP	ADJA
NN	15	43	Meerrettich	NE	NN
_	15	44	/	$(	$(
_	15	45	oder	KON	KON
_	15	46	Kren	NN	NN
_	15	47	mit	APPR	APPR
_	15	48	Weinessig	NN	NN
_	15	49	/	$(	$(
_	15	50	und	KON	KON
_	15	51	ein	ART	ART
PIAT	15	52	wenig	PIS	PIAT
_	15	53	Safran	NN	NN
_	15	54	soll	VMFIN	VMFIN
_	15	55	zum	APPRART	APPRART
_	15	56	Eintauchen	NN	NN
_	15	57	genutzt	VVPP	VVPP
_	15	58	werden	VAINF	VAINF
_	15	59	.	$.	$.
_	16	1	sehe	VVFIN	VVFIN
_	16	2	auch	ADV	ADV
PTKVZ	16	3	zu	PTKZU	PTKVZ
_	16	4	/	$(	$(
_	16	5	dass	KOUS	KOUS
_	16	6	/	$(	$(
_	16	7	wo	PWAV	PWAV
_	16	8	nur	ADV	ADV
_	16	9	einige	PIAT	PIAT
NN	16	10	Möglichkeit	NE	NN
_	16	11	des	ART	ART
_	16	12	Armuts	NN	NN
APPO	16	13	wegen	APPR	APPO
_	16	14	/	$(	$(
_	16	15	sich	PRF	PRF
ADJA	16	16	gutes	ADJD	ADJA
ADJA	16	17	starkes	ADJD	ADJA
_	16	18	Bier	NN	NN
_	16	19	zu	PTKZU	PTKZU
_	16	20	trinken	VVINF	VVINF
_	16	21	schaffe	VVFIN	VVFIN
$.	16	22	:	$.	$(
_	16	23	aber	KON	KON
_	16	24	allen	PIAT	PIAT
_	16	25	Branntweins	NN	NN
_	16	26	sich	PRF	PRF
_	16	27	enthalte	VVFIN	VVFIN
_	16	28	/	$(	$(
_	16	29	item	ADV	ADV
_	16	30	in	APPR	APPR
_	16	31	aller	PIAT	PIAT
_	16	32	seiner	PPOSAT	PPOSAT
_	16	33	Armut	NN	NN
_	16	34	sich	PRF	PRF
_	16	35	/	$(	$(
_	16	36	so	ADV	ADV
_	16	37	viel	ADV	ADV
_	16	38	möglich	ADJD	ADJD
_	16	39	/	$(	$(
_	16	40	bemühe	VVFIN	VVFIN
_	16	41	/	$(	$(
_	16	42	ein	ART	ART
_	16	43	freudiges	ADJA	ADJA
_	16	44	Herz	NN	NN
_	16	45	zu	PTKZU	PTKZU
VAINF	16	46	haben	VAFIN	VAINF
_	16	47	/	$(	$(
_	16	48	und	KON	KON
_	16	49	entschlage	VVFIN	VVFIN
_	16	50	sich	PRF	PRF
_	16	51	aller	PIAT	PIAT
_	16	52	Traurigkeit	NN	NN
_	16	53	/	$(	$(
_	16	54	Schreckens	NN	NN
_	16	55	/	$(	$(
_	16	56	und	KON	KON
_	16	57	glaube	VVFIN	VVFIN
ADV	16	58	festiglich	PTKVZ	ADJD
_	16	59	/	$(	$(
_	16	60	er	PPER	PPER
_	16	61	werde	VAFIN	VAFIN
_	16	62	von	APPR	APPR
_	16	63	der	ART	ART
_	16	64	Pest	NN	NN
_	16	65	nicht	PTKNEG	PTKNEG
_	16	66	angefallen	VVPP	VVPP
_	16	67	werden	VAINF	VAINF
_	16	68	/	$(	$(
_	16	69	Gott	NN	NN
_	16	70	werde	VAFIN	VAFIN
_	16	71	ihn	PPER	PPER
_	16	72	behüten	VVINF	VVINF
$.	16	73	:	$.	$(
_	16	74	meide	VVFIN	VVFIN
_	16	75	aber	ADV	ADV
_	16	76	auch	ADV	ADV
_	16	77	die	ART	ART
_	16	78	Gelegenheit	NN	NN
_	16	79	/	$(	$(
_	16	80	und	KON	KON
_	16	81	gehe	VVFIN	VVFIN
_	16	82	nicht	PTKNEG	PTKNEG
_	16	83	an	APPR	APPR
_	16	84	unrichtige	ADJA	ADJA
_	16	85	Orte	NN	NN
_	16	86	/	$(	$(
_	16	87	und	KON	KON
_	16	88	lasse	VVFIN	VVFIN
PIS	16	89	nichts	PIS	PIAT
NN	16	90	Verdächtiges	ADJA	NN
_	16	91	in	APPR	APPR
PPOSAT	16	92	sein	VAINF	PPOSAT
_	16	93	Haus	NN	NN
_	16	94	eintragen	VVINF	VVINF
_	16	95	oder	KON	KON
VVINF	16	96	kommen	VVFIN	VVINF
_	16	97	.	$.	$.
_	17	1	im	APPRART	APPRART
_	17	2	Hause	NN	NN
_	17	3	oder	KON	KON
_	17	4	Stuben	NN	NN
_	17	5	soll	VMFIN	VMFIN
_	17	6	täglich	ADJD	ADJD
_	17	7	früh	ADJD	ADJD
_	17	8	und	KON	KON
ADV	17	9	abends	NN	ADV
_	17	10	geräuchert	VVPP	VVPP
_	17	11	werden	VAINF	VAINF
_	17	12	/	$(	$(
_	17	13	mit	APPR	APPR
_	17	14	Schwefel	NN	NN
_	17	15	/	$(	$(
_	17	16	und	KON	KON
_	17	17	so	ADV	ADV
_	17	18	diesen	PDAT	PDAT
_	17	19	jemand	PIS	PIS
_	17	20	nicht	PTKNEG	PTKNEG
