GOLDPOS	SID	TID	TOKEN	POS1	POS2
APPR	12	44	zu	PTKZU	APPR
_	12	45	Erlangung	NN	NN
_	12	46	und	KON	KON
_	12	47	Erhaltung	NN	NN
_	12	48	der	ART	ART
_	12	49	Gesundheit	NN	NN
_	12	50	des	ART	ART
_	12	51	Menschen	NN	NN
_	12	52	ersprießlich	ADJD	ADJD
VAFIN	12	53	seien	VAINF	VAFIN
_	12	54	/	$(	$(
KOUS	12	55	inmassen	KOUS	NN
_	12	56	denn	KON	KON
_	12	57	der	ART	ART
NN	12	58	Engel	NE	NN
_	12	59	Raphael	NE	NE
_	12	60	eben	ADV	ADV
_	12	61	daher	PAV	PAV
_	12	62	seinen	PPOSAT	PPOSAT
_	12	63	Namen	NN	NN
_	12	64	hat	VAFIN	VAFIN
_	12	65	/	$(	$(
_	12	66	dass	KOUS	KOUS
_	12	67	er	PPER	PPER
_	12	68	ein	ART	ART
_	12	69	Arzt	NN	NN
_	12	70	Gottes	NN	NN
_	12	71	genannt	VVPP	VVPP
_	12	72	wird	VAFIN	VAFIN
_	12	73	/	$(	$(
_	12	74	auch	ADV	ADV
PDAT	12	75	solchen	PIAT	PIAT
_	12	76	seinen	PPOSAT	PPOSAT
_	12	77	Namen	NN	NN
_	12	78	in	APPR	APPR
_	12	79	der	ART	ART
_	12	80	Historie	NN	NN
_	12	81	Tobias	NE	NE
_	12	82	auf	APPR	APPR
PIAT	12	83	viele	ADV	PIAT
_	12	84	Wege	NN	NN
_	12	85	in	APPR	APPR
_	12	86	der	ART	ART
_	12	87	Tat	NN	NN
_	12	88	erwiesen	VVPP	VVPP
_	12	89	.	$.	$.
_	13	1	geht	VVFIN	VVFIN
_	13	2	demnach	PAV	PAV
ADV	13	3	allhier	ADV	ADJA
_	13	4	der	ART	ART
NN	13	5	Engel	NE	NN
_	13	6	Raphael	NE	NE
_	13	7	allen	PIAT	PIAT
_	13	8	christlichen	ADJA	ADJA
_	13	9	Ärzten	NN	NN
_	13	10	mit	APPR	APPR
_	13	11	gutem	ADJA	ADJA
_	13	12	Exempel	NN	NN
_	13	13	für	APPR	APPR
_	13	14	/	$(	$(
PDS	13	15	dieselben	PDAT	PDS
_	13	16	dadurch	PAV	PAV
_	13	17	anzumahnen	VVIZU	VVIZU
_	13	18	/	$(	$(
_	13	19	dass	KOUS	KOUS
_	13	20	sie	PPER	PPER
_	13	21	Gottes	NN	NN
_	13	22	milde	ADJA	ADJA
ADJA	13	23	reiche	VVFIN	ADJA
_	13	24	Güte	NN	NN
_	13	25	in	APPR	APPR
_	13	26	Offenbarung	NN	NN
_	13	27	und	KON	KON
_	13	28	Ausbreitung	NN	NN
_	13	29	vieler	PIAT	PIAT
_	13	30	heilsamer	ADJA	ADJA
_	13	31	/	$(	$(
_	13	32	und	KON	KON
_	13	33	zur	APPRART	APPRART
_	13	34	Gesundheit	NN	NN
_	13	35	dienlicher	ADJA	ADJA
_	13	36	Mittel	NN	NN
_	13	37	/	$(	$(
_	13	38	so	ADV	ADV
_	13	39	viel	ADV	ADV
_	13	40	immer	ADV	ADV
_	13	41	müglich	ADJD	ADJD
_	13	42	/	$(	$(
VVFIN	13	43	rühmen	VVINF	VVFIN
_	13	44	/	$(	$(
_	13	45	loben	VVFIN	VVFIN
_	13	46	und	KON	KON
_	13	47	preisen	VVFIN	VVFIN
_	13	48	.	$.	$.
_	14	1	dazu	PAV	PAV
_	14	2	auch	ADV	ADV
_	14	3	der	ART	ART
ADJA	14	4	weise	VVFIN	ADJA
NN	14	5	Man	PIS	NN
_	14	6	Jesus	NE	NE
_	14	7	Sirach	NE	NE
_	14	8	/	$(	$(
PRELS	14	9	welcher	PWAT	PWS
_	14	10	in	APPR	APPR
_	14	11	seinem	PPOSAT	PPOSAT
_	14	12	Buch	NN	NN
_	14	13	den	ART	ART
_	14	14	Arzt	NN	NN
_	14	15	und	KON	KON
_	14	16	die	ART	ART
_	14	17	Arznei	NN	NN
_	14	18	als	KOKOM	KOKOM
_	14	19	von	APPR	APPR
_	14	20	Gott	NN	NN
_	14	21	geschaffen	VVPP	VVPP
_	14	22	/	$(	$(
_	14	23	hoch	ADJD	ADJD
_	14	24	rühmt	VVFIN	VVFIN
_	14	25	/	$(	$(
_	14	26	und	KON	KON
_	14	27	ausdrücklich	ADJD	ADJD
_	14	28	anzeigt	VVFIN	VVFIN
_	14	29	/	$(	$(
_	14	30	dass	KOUS	KOUS
_	14	31	der	ART	ART
_	14	32	Herr	NN	NN
_	14	33	eben	ADV	ADV
_	14	34	darum	PAV	PAV
PDAT	14	35	solche	PIAT	PIAT
_	14	36	Kunst	NN	NN
_	14	37	den	ART	ART
_	14	38	Menschen	NN	NN
_	14	39	gegeben	VVPP	VVPP
_	14	40	habe	VAFIN	VAFIN
_	14	41	/	$(	$(
_	14	42	dass	KOUS	KOUS
_	14	43	er	PPER	PPER
_	14	44	gepriesen	VVPP	VVPP
_	14	45	würde	VAFIN	VAFIN
_	14	46	in	APPR	APPR
_	14	47	seinen	PPOSAT	PPOSAT
_	14	48	Wundertaten	NN	NN
_	14	49	/	$(	$(
_	14	50	sie	PPER	PPER
_	14	51	und	KON	KON
_	14	52	alle	PIAT	PIAT
_	14	53	Christen	NN	NN
VVFIN	14	54	vermahnt	VVFIN	VVPP
_	14	55	/	$(	$(
_	14	56	in	APPR	APPR
_	14	57	dem	ART	ART
_	14	58	er	PPER	PPER
_	14	59	sagt	VVFIN	VVFIN
_	14	60	am	APPRART	APPRART
_	14	61	drei	CARD	CARD
_	14	62	und	KON	KON
_	14	63	vierzigsten	ADJA	ADJA
_	14	64	Kapitel	NN	NN
_	15	1	lobt	VVFIN	VVFIN
_	15	2	und	KON	KON
_	15	3	preist	VVFIN	VVFIN
_	15	4	den	ART	ART
_	15	5	Herrn	NN	NN
_	15	6	/	$(	$(
_	15	7	so	ADV	ADV
_	15	8	hoch	ADJD	ADJD
PPER	15	9	ihr	PPOSAT	PPER
_	15	10	vermögt	VVFIN	VVFIN
_	15	11	/	$(	$(
_	15	12	er	PPER	PPER
_	15	13	ist	VAFIN	VAFIN
_	15	14	doch	ADV	ADV
_	15	15	noch	ADV	ADV
_	15	16	höher	ADJD	ADJD
_	15	17	/	$(	$(
VVFIN	15	18	preist	NN	VVFIN
_	15	19	ihn	PPER	PPER
_	15	20	aus	APPR	APPR
_	15	21	allen	PIAT	PIAT
_	15	22	Kräften	NN	NN
_	15	23	/	$(	$(
_	15	24	und	KON	KON
_	15	25	lasst	VVFIN	VVFIN
_	15	26	nicht	PTKNEG	PTKNEG
_	15	27	ab	PTKVZ	PTKVZ
_	15	28	/	$(	$(
_	15	29	noch	ADV	ADV
_	15	30	werdet	VAFIN	VAFIN
PPER	15	31	ihr	PPOSAT	PPER
_	15	32	es	PPER	PPER
_	15	33	nicht	PTKNEG	PTKNEG
_	15	34	erreichen	VVINF	VVINF
ADV	15	35	et cetera	ADV	FM
_	16	1	wir	PPER	PPER
VVFIN	16	2	sehen	VVINF	VVFIN
_	16	3	seiner	PPOSAT	PPOSAT
_	16	4	Werke	NN	NN
_	16	5	das	ART	ART
NN	16	6	Wenigste	ADJA	NN
_	16	7	/	$(	$(
_	16	8	denn	KON	KON
_	16	9	viel	ADV	ADV
_	16	10	größere	ADJA	ADJA
_	16	11	sind	VAFIN	VAFIN
_	16	12	uns	PPER	PPER
_	16	13	noch	ADV	ADV
_	16	14	verborgen	VVPP	VVPP
_	16	15	.	$.	$.
KOUS	17	1	wann	PWAV	PWAV
_	17	2	dann	ADV	ADV
_	17	3	unter	APPR	APPR
PDAT	17	4	solchen	PIAT	PIAT
_	17	5	heilsamen	ADJA	ADJA
_	17	6	/	$(	$(
_	17	7	und	KON	KON
_	17	8	zur	APPRART	APPRART
_	17	9	Gesundheit	NN	NN
_	17	10	dienlichen	ADJA	ADJA
_	17	11	Werken	NN	NN
_	17	12	und	KON	KON
_	17	13	Geschöpfen	NN	NN
_	17	14	Gottes	NN	NN
_	17	15	nicht	PTKNEG	PTKNEG
_	17	16	die	ART	ART
PIS	17	17	wenigsten	PIAT	PIS
_	17	18	sind	VAFIN	VAFIN
_	17	19	die	ART	ART
ADJA	17	20	warmen	NN	ADJA
_	17	21	Bäder	NN	NN
_	17	22	/	$(	$(
TRUNC	17	23	Sauer	NN	NE
_	17	24	und	KON	KON
PIAT	17	25	andere	ADJA	PIS
_	17	26	Brunnen	NN	NN
_	17	27	/	$(	$(
PRELS	17	28	welche	PWAT	PRELS
_	17	29	allerlei	PIAT	PIAT
_	17	30	Mineralien	NN	NN
_	17	31	und	KON	KON
_	17	32	Bergarten	NN	NN
_	17	33	/	$(	$(
_	17	34	so	ADV	ADV
_	17	35	sie	PPER	PPER
_	17	36	führen	VVINF	VVINF
_	17	37	/	$(	$(
_	17	38	und	KON	KON
_	17	39	damit	PAV	PAV
ADJD	17	40	vermengt	VVFIN	VVPP
VAFIN	17	41	seien	VAINF	VAFIN
_	17	42	/	$(	$(
_	17	43	Kraft	NN	NN
_	17	44	und	KON	KON
_	17	45	Wirkung	NN	NN
_	17	46	an	APPR	APPR
_	17	47	sich	PRF	PRF
_	17	48	haben	VAFIN	VAFIN
_	17	49	/	$(	$(
_	17	50	ist	VAFIN	VAFIN
_	17	51	es	PPER	PPER
_	17	52	billig	ADJD	ADJD
_	17	53	und	KON	KON
_	17	54	christlich	ADJD	ADJD
_	17	55	/	$(	$(
_	17	56	dass	KOUS	KOUS
_	17	57	alle	PIAT	PIAT
ADJA	17	58	gottfürchtigen	NE	ADJA
_	17	59	Ärzte	NN	NN
_	17	60	Gott	NN	NN
_	17	61	dem	ART	ART
_	17	62	Schöpfer	NN	NN
APPR	17	63	zu	PTKZU	APPR
_	17	64	Ehren	NN	NN
PDS	17	65	denselben	PDAT	PDS
_	17	66	nachdenken	VVINF	VVINF
_	17	67	/	$(	$(
_	17	68	fleißig	ADJD	ADJD
_	17	69	erforschen	VVINF	VVINF
_	17	70	und	KON	KON
VVFIN	17	71	dartun	VVINF	VVFIN
_	17	72	/	$(	$(
_	17	73	was	PWS	PWS
_	17	74	sie	PPER	PPER
_	17	75	für	APPR	APPR
_	17	76	Art	NN	NN
_	17	77	und	KON	KON
_	17	78	Eigenschaft	NN	NN
_	17	79	an	APPR	APPR
_	17	80	sich	PRF	PRF
_	17	81	haben	VAFIN	VAFIN
_	17	82	/	$(	$(
_	17	83	wozu	PWAV	PWAV
_	17	84	sie	PPER	PPER
_	17	85	dienen	VVINF	VVINF
_	17	86	/	$(	$(
_	17	87	woher	PWAV	PWAV
_	17	88	sie	PPER	PPER
_	17	89	ihre	PPOSAT	PPOSAT
_	17	90	Kraft	NN	NN
_	17	91	haben	VAFIN	VAFIN
_	17	92	/	$(	$(
_	17	93	und	KON	KON
PWAT	17	94	welcher	PWAT	PWS
_	17	95	Gestalt	NN	NN
_	17	96	sie	PPER	PPER
_	17	97	fruchtbarlich	ADJD	ADJD
_	17	98	zu	PTKZU	PTKZU
_	17	99	gebrauchen	VVINF	VVINF
_	17	100	.	$.	$.
_	18	1	und	KON	KON
ADV	18	2	dieweil	KOUS	ADV
_	18	3	dieses	PDAT	PDAT
_	18	4	Jahr	NN	NN
_	18	5	ein	ART	ART
PDAT	18	6	solcher	PIAT	PIAT
_	18	7	heilsamer	ADJA	ADJA
_	18	8	Brunnen	NN	NN
_	18	9	im	APPRART	APPRART
_	18	10	Lande	NN	NN
APPR	18	11	zu	PTKZU	APPR
_	18	12	Meißen	NE	NE
_	18	13	/	$(	$(
PRELS	18	14	dessen	PDS	PRELAT
_	18	15	man	PIS	PIS
_	18	16	eine	ART	ART
_	18	17	Zeit	NN	NN
_	18	18	her	APZR	APZR
_	18	19	nicht	PTKNEG	PTKNEG
_	18	20	geachtet	VVPP	VVPP
_	18	21	/	$(	$(
_	18	22	wiederum	ADV	ADV
_	18	23	in	APPR	APPR
_	18	24	Beruf	NN	NN
VVINF	18	25	kommen	VVFIN	VVINF
_	18	26	/	$(	$(
_	18	27	habe	VAFIN	VAFIN
_	18	28	ich	PPER	PPER
_	18	29	zwar	ADV	ADV
_	18	30	bald	ADV	ADV
_	18	31	anfänglich	ADJD	ADJD
_	18	32	dem	ART	ART
PDAT	18	33	selben	ADJA	PDAT
_	18	34	nachgeforscht	VVPP	VVPP
_	18	35	/	$(	$(
_	18	36	seinen	PPOSAT	PPOSAT
_	18	37	Halt	NN	NN
_	18	38	und	KON	KON
_	18	39	Mineram	NN	NN
_	18	40	/	$(	$(
_	18	41	so	ADV	ADV
_	18	42	viel	ADV	ADV
_	18	43	abwesend	ADJD	ADJD
VVPP	18	44	geschehen	VVPP	VVINF
VMINF	18	45	können	VMFIN	VMINF
_	18	46	/	$(	$(
_	18	47	probiert	VVFIN	VVFIN
_	18	48	/	$(	$(
KON	18	49	aber	KON	ADV
_	18	50	lange	ADV	ADV
_	18	51	Zeit	NN	NN
_	18	52	in	APPR	APPR
_	18	53	Hoffnung	NN	NN
_	18	54	gestanden	VVPP	VVPP
_	18	55	/	$(	$(
_	18	56	es	PPER	PPER
_	18	57	würde	VAFIN	VAFIN
_	18	58	jemand	PIS	PIS
PIS	18	59	anderes	ADV	PIS
_	18	60	/	$(	$(
PWS	18	61	welcher	PWAT	PWS
PIAT	18	62	mehr	ADV	PIAT
_	18	63	Berufs	NN	NN
_	18	64	und	KON	KON
_	18	65	Ansehens	NN	NN
_	18	66	hätte	VAFIN	VAFIN
_	18	67	/	$(	$(
_	18	68	sich	PRF	PRF
_	18	69	der	ART	ART
_	18	70	Sache	NN	NN
_	18	71	unterwinden	VVINF	VVINF
_	18	72	/	$(	$(
_	18	73	und	KON	KON
_	18	74	in	APPR	APPR
_	18	75	offenem	ADJA	ADJA
_	18	76	Druck	NN	NN
_	18	77	seine	PPOSAT	PPOSAT
_	18	78	Natur	NN	NN
_	18	79	/	$(	$(
_	18	80	Kraft	NN	NN
_	18	81	/	$(	$(
_	18	82	Wirkung	NN	NN
_	18	83	und	KON	KON
_	18	84	Gebrauch	NN	NN
_	18	85	/	$(	$(
_	18	86	menniglichen	ADJA	ADJA
APPR	18	87	zu	PTKZU	APPR
NN	18	88	gute	ADJD	ADJA
_	18	89	an	APPR	APPR
_	18	90	Tag	NN	NN
_	18	91	geben	VVINF	VVINF
_	18	92	.	$.	$.
_	19	1	weil	KOUS	KOUS
_	19	2	ich	PPER	PPER
_	19	3	aber	ADV	ADV
APPR	19	4	bis	VVFIN	APPR
_	19	5	daher	PAV	PAV
_	19	6	vergeblich	ADJD	ADJD
_	19	7	gehofft	VVPP	VVPP
_	19	8	/	$(	$(
_	19	9	und	KON	KON
_	19	10	gleichwohl	ADV	ADV
_	19	11	von	APPR	APPR
_	19	12	vielen	PIAT	PIAT
_	19	13	gutherzigen	ADJA	ADJA
_	19	14	Leuten	NN	NN
_	19	15	/	$(	$(
_	19	16	was	PWS	PWS
_	19	17	ich	PPER	PPER
_	19	18	davon	PAV	PAV
_	19	19	hielte	VVFIN	VVFIN
_	19	20	/	$(	$(
_	19	21	oft	ADV	ADV
_	19	22	und	KON	KON
_	19	23	vielmals	ADV	ADV
VVPP	19	24	ersucht	VVFIN	VVPP
_	19	25	und	KON	KON
VVPP	19	26	angelangt	VVFIN	VVPP
_	19	27	worden	VAPP	VAPP
_	19	28	/	$(	$(
VAFIN	19	29	habe	NN	VAFIN
_	19	30	ich	PPER	PPER
PRF	19	31	mich	PPER	PRF
_	19	32	endlich	ADV	ADV
_	19	33	aus	APPR	APPR
_	19	34	Ursachen	NN	NN
_	19	35	/	$(	$(
_	19	36	so	ADV	ADV
_	19	37	ich	PPER	PPER
_	19	38	im	APPRART	APPRART
_	19	39	Eingange	NN	NN
_	19	40	dieses	PDAT	PDAT
_	19	41	Traktätleins	NN	NN
_	19	42	erzähle	VVFIN	VVFIN
_	19	43	/	$(	$(
PDAT	19	44	solches	PIAT	PIAT
_	19	45	Werks	NN	NN
NN	19	46	unterfangen	NN	VVINF
_	19	47	/	$(	$(
_	19	48	und	KON	KON
_	19	49	meine	PPOSAT	PPOSAT
_	19	50	Meinung	NN	NN
_	19	51	hiervon	PAV	PAV
_	19	52	in	APPR	APPR
_	19	53	diesem	PDAT	PDAT
_	19	54	Traktätlein	NN	NN
_	19	55	kurz	ADJD	ADJD
_	19	56	begriffen	VVPP	VVPP
_	19	57	.	$.	$.
PRELS	20	1	welches	PWS	PWS
PPOSAT	20	2	euren	NN	PPOSAT
ADJA	20	3	fürstlichen	NE	ADJA
_	21	1	Gnaden	NN	NN
APPR	21	2	um	APPR	PTKVZ
ADV	21	3	desto	ADV	KON
ADJA	21	4	mehrers	PIAT	ADJA
_	21	5	Ansehens	NN	NN
APPO	21	6	Willen	NN	APPO
_	21	7	/	$(	$(
_	21	8	ich	PPER	PPER
_	21	9	in	APPR	APPR
_	21	10	Untertänigkeit	NN	NN
_	21	11	hiermit	PAV	PAV
_	21	12	dediziere	VVFIN	VVFIN
_	21	13	und	KON	KON
_	21	14	zuschreibe	VVFIN	VVFIN
_	21	15	/	$(	$(
ADJD	21	16	untertänig	ADJD	ADJD
ADJD	21	17	bittend	ADJA	ADJD
_	21	18	/	$(	$(
PDAT	21	19	solch	PIAT	PIAT
ADJA	21	20	geringfügiges	ADJD	ADJA
_	21	21	Werk	NN	NN
_	21	22	in	APPR	APPR
_	21	23	Gnaden	NN	NN
_	21	24	von	APPR	APPR
_	21	25	mir	PPER	PPER
TRUNC	21	26	auf-	APPR	TRUNC
_	21	27	und	KON	KON
_	21	28	anzunehmen	VVIZU	VVIZU
_	21	29	/	$(	$(
_	21	30	und	KON	KON
_	21	31	meine	PPOSAT	PPOSAT
_	21	32	gnädige	ADJA	ADJA
_	21	33	Fürsten	NN	NN
_	21	34	und	KON	KON
_	21	35	Herren	NN	NN
_	21	36	zu	PTKZU	PTKZU
_	21	37	sein	VAINF	VAINF
_	21	38	und	KON	KON
_	21	39	zu	PTKZU	PTKZU
_	21	40	bleiben	VVINF	VVINF
_	21	41	.	$.	$.
PDS	22	1	das	ART	PDS
_	22	2	bin	VAFIN	VAFIN
_	22	3	um	APPR	APPR
PPOSAT	22	4	eure	NN	PPOSAT
ADJA	22	5	fürstliche	NE	ADJA
_	22	6	Gnaden	NN	NN
_	22	7	ich	PPER	PPER
_	22	8	mit	APPR	APPR
_	22	9	meinem	PPOSAT	PPOSAT
_	22	10	andächtigem	ADJA	ADJA
_	22	11	Gebet	NN	NN
_	22	12	um	APPR	APPR
PDAT	22	13	dero	PRELAT	PIS
_	22	14	beständige	ADJA	ADJA
_	22	15	Gesundheit	NN	NN
_	22	16	/	$(	$(
_	22	17	langes	ADJA	ADJA
_	22	18	Leben	NN	NN
_	22	19	/	$(	$(
_	22	20	und	KON	KON
_	22	21	alle	PIAT	PIAT
ADJA	22	22	gedeihliche	NE	ADJA
_	22	23	Wohlfahrt	NN	NN
_	22	24	/	$(	$(
APPR	22	25	beneben	APPR	VVFIN
PPOSAT	22	26	meinen	VVFIN	PPOSAT
_	22	27	untertänigen	ADJA	ADJA
_	22	28	/	$(	$(
_	22	29	wiewohl	KOUS	KOUS
_	22	30	geringen	ADJA	ADJA
_	22	31	Diensten	NN	NN
_	22	32	zu	PTKZU	PTKZU
VVINF	22	33	verdienen	VVFIN	VVINF
_	22	34	/	$(	$(
_	22	35	in	APPR	APPR
_	22	36	Untertänigkeit	NN	NN
_	22	37	ganz	ADV	ADV
_	22	38	willig	ADJD	ADJD
_	22	39	.	$.	$.
_	23	1	Datum	NN	NN
_	23	2	zur	APPRART	APPRART
_	23	3	Neustadt	NN	NN
_	23	4	an	APPR	APPR
_	23	5	der	ART	ART
_	23	6	Orla	NE	NE
_	23	7	/	$(	$(
_	23	8	am	APPRART	APPRART
_	23	9	Tage	NN	NN
_	23	10	Michaelis	NE	NE
_	23	11	/	$(	$(
CARD	23	12	1608	CARD	ADJA
