GOLDPOS	SID	TID	TOKEN	POS1	POS2
_	4	74	in	APPR	APPR
_	4	75	diesem	PDAT	PDAT
_	4	76	Büchlein	NN	NN
VVPP	4	77	beschrieben	VVFIN	VVPP
_	4	78	ist	VAFIN	VAFIN
_	4	79	dann	ADV	ADV
ADV	4	80	allein	NE	ADV
PIS	4	81	was	PWS	PIS
_	4	82	ich	PPER	PPER
_	4	83	durch	APPR	APPR
ADJA	4	84	lange	NN	ADJA
_	4	85	Erfahrung	NN	NN
_	4	86	wider	APPR	APPR
_	4	87	diese	PDAT	PDAT
NN	4	88	Krankheit	NE	NN
ADJD	4	89	dienende	ADJA	ADJA
_	4	90	vor	APPR	APPR
PIS	4	91	anderen	ADJA	PIS
_	4	92	erkannt	VVPP	VVPP
_	4	93	habe	VAFIN	VAFIN
_	4	94	und	KON	KON
KOUS	4	95	so	ADV	ADV
PPER	4	96	ihr	PPOSAT	PPER
_	4	97	diese	PDAT	PDAT
NN	4	98	Lehre	VVFIN	NN
ADV	4	99	gedächtiglichen	NE	ADJA
_	4	100	merkt	VVFIN	VVFIN
_	4	101	und	KON	KON
_	4	102	behaltet	VVFIN	VVFIN
_	4	103	gnädiger	ADJA	ADJA
_	4	104	Herr	NN	NN
VAFIN	4	105	wärt	ADJD	VAFIN
PPER	4	106	ihr	PPOSAT	PPER
_	4	107	keines	PIAT	PIAT
PIAT	4	108	anderen	ADJA	PIS
NN	4	109	Arztes	NE	NN
_	4	110	in	APPR	APPR
_	4	111	dieser	PDAT	PDAT
NN	4	112	Krankheit	NE	NN
ADJD	4	113	bedürfend	VVPP	ADJD
_	4	114	.	$.	$.
KON	5	1	sonder	KON	VVIMP
_	5	2	mit	APPR	APPR
NN	5	3	Hilfe	VVIMP	NN
_	5	4	Gottes	NN	NN
_	5	5	des	ART	ART
NN	5	6	Allmächtigen	ADJA	NN
_	5	7	euer	PPOSAT	PPOSAT
ADJA	5	8	eigener	VVFIN	ADJA
_	5	9	Arzt	NN	NN
_	5	10	.	$.	$.
_	5	11	Bewahrer	NN	NN
_	5	12	.	$.	$.
NN	5	13	Regierer	VVFIN	NN
_	5	14	und	KON	KON
_	5	15	Enthalter	NN	NN
_	5	16	sein	VAINF	VAINF
_	5	17	.	$.	$.
_	6	1	zum	APPRART	APPRART
NN	6	2	Ersten	ADJA	NN
APPR	6	3	zu	PTKZU	APPR
_	6	4	Auflösung	NN	NN
PIAT	6	5	etlicher	ADJA	PIAT
NN	6	6	Fragen	VVIMP	NN
_	6	7	und	KON	KON
_	6	8	zweifelhaftiger	ADJA	ADJA
_	6	9	Bekümmernis	NN	NN
_	6	10	.	$.	$.
$(	7	1	¶	$(	NN
_	7	2	ist	VAFIN	VAFIN
_	7	3	zu	PTKZU	PTKZU
VVINF	7	4	merken	VVIMP	VVINF
KOUS	7	5	dass	ART	KOUS
_	7	6	der	ART	ART
_	7	7	Himmel	NN	NN
_	7	8	.	$.	$.
_	8	1	die	ART	ART
_	8	2	Planeten	NN	NN
_	8	3	und	KON	KON
_	8	4	die	ART	ART
PIAT	8	5	anderen	NN	PIAT
_	8	6	Gestirne	NN	NN
_	8	7	durch	APPR	APPR
PPOSAT	8	8	ihren	NE	PPOSAT
_	8	9	Lauf	NN	NN
_	8	10	.	$.	$.
_	8	11	Schein	NN	NN
_	8	12	und	KON	KON
_	8	13	Einfluss	NN	NN
_	8	14	diesen	PDAT	PDAT
_	8	15	untersten	ADJA	ADJA
ADJA	8	16	unvernünftigen	NE	ADJA
NN	8	17	Kreaturen	NE	NN
_	8	18	ihre	PPOSAT	PPOSAT
_	8	19	Wesen	NN	NN
_	8	20	.	$.	$.
NN	8	21	natur	NN	ADJA
_	8	22	.	$.	$.
_	8	23	Wachsung	NN	NN
_	8	24	.	$.	$.
NN	8	25	Verderbung	NE	NN
_	8	26	und	KON	KON
NN	8	27	Abnehmung	NE	NN
_	8	28	geben	VVFIN	VVFIN
PAV	8	29	deshalben	ADV	PAV
_	8	30	sie	PPER	PPER
NN	8	31	Ursache	NE	NN
_	8	32	geben	VVFIN	VVFIN
KOUS	8	33	dass	ART	KOUS
_	8	34	die	ART	ART
_	8	35	Luft	NN	NN
VVPP	8	36	verstört	NE	VVPP
_	8	37	wird	VAFIN	VAFIN
_	8	38	und	KON	KON
VVPP	8	39	vergiftet	NE	VVPP
_	8	40	.	$.	$.
_	9	1	daraus	PAV	PAV
_	9	2	Pestilenz	NN	NN
_	9	3	folgt	VVFIN	VVFIN
ADV	9	4	natürlichen	ADJA	ADJA
_	9	5	.	$.	$.
KOUS	10	1	sintemal	KOUS	ADV
_	10	2	durch	APPR	APPR
ART	10	3	den	NE	ART
_	10	4	Einfluss	NN	NN
_	10	5	des	ART	ART
_	10	6	Himmels	NN	NN
_	10	7	gestreckt	VVPP	VVPP
_	10	8	und	KON	KON
VVPP	10	9	gerichtet	NN	VVPP
_	10	10	er	PPER	PPER
_	10	11	ein	ART	ART
_	10	12	Mensch	NN	NN
_	10	13	anblickt	VVFIN	VVFIN
_	10	14	und	KON	KON
VVPP	10	15	gerührt	NE	VVPP
_	10	16	wird	VAFIN	VAFIN
_	10	17	dann	ADV	ADV
ART	10	18	das	KOUS	ART
PIS	10	19	andere	ADJD	PIS
_	10	20	.	$.	$.
_	11	1	und	KON	KON
_	11	2	mehr	ADV	ADV
_	11	3	ein	ART	ART
NN	11	4	Land	NE	NN
_	11	5	und	KON	KON
NN	11	6	Stadt	NE	NN
KOKOM	11	7	dann	ADV	ADV
_	11	8	die	ART	ART
PIS	11	9	anderen	ADJD	PIS
_	11	10	.	$.	$.
KOUS	12	1	wie	KOKOM	KOUS
_	12	2	wohl	ADV	ADV
_	12	3	sie	PPER	PPER
_	12	4	oft	ADV	ADV
CARD	12	5	einer	ART	ART
_	12	6	Natur	NN	NN
KON	12	7	oder	NN	KON
NN	12	8	Komplexion	NE	NN
_	12	9	sind	VAFIN	VAFIN
_	12	10	hierum	PAV	PAV
_	12	11	wird	VAFIN	VAFIN
PIAT	12	12	ein	ART	ART
NN	12	13	Mensch	NE	NN
_	12	14	eh	ADV	ADV
_	12	15	und	KON	KON
_	12	16	mehr	ADV	ADV
VVPP	12	17	vergiftet	NE	VVPP
_	12	18	und	KON	KON
VVPP	12	19	berührt	VVFIN	VVFIN
_	12	20	mit	APPR	APPR
_	12	21	der	ART	ART
NN	12	22	Pestilenz	NE	NN
_	12	23	.	$.	$.
KOKOM	12	24	wann	PWAV	PWAV
_	12	25	der	ART	ART
PIS	12	26	andere	NE	PIS
_	12	27	auch	ADV	ADV
VVFIN	12	28	regiert	NE	VVFIN
_	12	29	der	ART	ART
_	12	30	Pestilenz	NN	NN
_	12	31	in	APPR	APPR
PIAT	12	32	einem	ART	ART
_	12	33	Land	NN	NN
_	12	34	mehr	ADV	ADV
KOKOM	12	35	dann	ADV	ADV
_	12	36	in	APPR	APPR
ART	12	37	dem	NE	ART
PIS	12	38	anderen	VVINF	PIS
_	12	39	.	$.	$.
PDS	12	40	des	ART	ART
_	12	41	ich	PPER	PPER
_	12	42	oft	ADV	ADV
NN	12	43	Anzeigung	NE	NN
_	12	44	an	APPR	APPR
NN	12	45	Bäumen	VVFIN	NN
_	12	46	gesehen	VVPP	VVPP
_	12	47	habe	VAFIN	VAFIN
_	12	48	.	$.	$.
_	12	49	so	ADV	ADV
KOUS	12	50	dass	ART	KOUS
_	12	51	oft	ADV	ADV
_	12	52	ein	ART	ART
_	12	53	Nebel	NN	NN
_	12	54	oder	KON	KON
ADJA	12	55	schädlich	ADJD	ADJD
_	12	56	Luft	NN	NN
_	12	57	einen	ART	ART
NN	12	58	Baum	NE	NN
VVPP	12	59	versehrt	VVFIN	VVPP
_	12	60	und	KON	KON
VVPP	12	61	vergiftet	NE	VVPP
_	12	62	hat	VAFIN	VAFIN
ADV	12	63	gleich	ADV	ADJD
_	12	64	als	KOKOM	KOKOM
_	12	65	die	ART	ART
NN	12	66	Blätter	NE	NN
VVPP	12	67	verbrannt	NE	VVPP
_	12	68	wären	VAFIN	VAFIN
_	12	69	und	KON	KON
_	12	70	doch	ADV	ADV
ART	12	71	den	NE	ART
PIAT	12	72	anderen	ADJA	PIAT
NN	12	73	Bäumen	VVFIN	NN
_	12	74	derselben	PDAT	PDAT
_	12	75	Natur	NN	NN
_	12	76	und	KON	KON
_	12	77	Geschlecht	NN	NN
ADV	12	78	ganz	NN	ADV
_	12	79	unversehrt	ADJD	ADJD
_	12	80	und	KON	KON
ADJD	12	81	unverbrannt	NE	ADJD
_	12	82	gelassen	VVPP	VVPP
_	12	83	aus	APPR	APPR
PDS	12	84	dem	NE	PDS
_	12	85	folgt	VVFIN	VVFIN
KOUS	12	86	dass	ART	KOUS
_	12	87	die	ART	ART
_	12	88	Menschen	NN	NN
_	12	89	eh	ADV	ADV
_	12	90	anstößt	VVFIN	VVFIN
_	12	91	die	ART	ART
_	12	92	Pestilenz	NN	NN
PRELS	12	93	die	ART	ART
_	12	94	gerechter	ADJD	ADJD
_	12	95	durch	APPR	APPR
_	12	96	den	ART	ART
_	12	97	Einfluss	NN	NN
_	12	98	etliches	PIAT	PIAT
_	12	99	Gestirns	NN	NN
VVPP	12	100	angeblickt	NE	VVPP
VAFIN	12	101	werden	VAFIN	VAINF
_	12	102	und	KON	KON
_	12	103	mehr	ADV	ADV
_	12	104	die	ART	ART
NN	12	105	Menschen	VVFIN	NN
PIAT	12	106	welcher	PWAT	PIAT
NN	12	107	Komplexion	NE	NN
_	12	108	der	ART	ART
ADJA	12	109	vergiftigen	NE	ADJA
_	12	110	Luft	NN	NN
NN	12	111	Komplexion	NE	NN
_	12	112	näher	ADJD	ADJD
_	12	113	oder	KON	KON
ADJD	12	114	gleicher	ADJA	ADJD
_	12	115	ist	VAFIN	VAFIN
_	12	116	auch	ADV	ADV
_	12	117	nicht	PTKNEG	PTKNEG
_	12	118	allein	ADV	ADV
_	12	119	der	ART	ART
ADJA	12	120	vergifteten	NE	ADJA
_	12	121	Luft	NN	NN
APPO	12	122	halben	ADJA	ADJA
_	12	123	geschieht	VVFIN	VVFIN
NN	12	124	Pestilenz	NE	NN
_	12	125	.	$.	$.
KON	12	126	sonder	APPR	VVIMP
_	12	127	aus	APPR	APPR
_	12	128	Überflüssigkeit	NN	NN
_	12	129	unreiner	ADJA	ADJA
_	12	130	Feuchtigkeit	NN	NN
APPR	12	131	in	NE	APPR
ART	12	132	dem	NE	ART
_	12	133	Menschen	NN	NN
_	12	134	nach	APPR	APPR
NN	12	135	Sagen	VVFIN	NN
_	12	136	des	ART	ART
_	12	137	großen	ADJA	ADJA
_	12	138	Arztes	NN	NN
_	12	139	Gallieni	NE	NE
_	12	140	im	APPRART	APPRART
_	12	141	Buch	NN	NN
_	12	142	von	APPR	APPR
_	12	143	dem	ART	ART
NN	12	144	Fieber	VVIMP	NN
_	12	145	aus	APPR	APPR
PIS	12	146	keinerlei	PIAT	PIS
_	12	147	geschieht	VVFIN	VVFIN
_	12	148	Versehrung	NN	NN
_	12	149	oder	KON	KON
NN	12	150	Vergiftung	NE	NN
_	12	151	des	ART	ART
_	12	152	Leichnams	NN	NN
_	12	153	.	$.	$.
_	12	154	es	PPER	PPER
_	12	155	sei	VAFIN	VAFIN
_	12	156	dann	ADV	ADV
KOUS	12	157	dass	ART	KOUS
_	12	158	des	ART	ART
_	12	159	Körpers	NN	NN
NN	12	160	Materie	NE	NN
_	12	161	geschickt	VVPP	VVPP
_	12	162	sei	VAFIN	VAFIN
_	12	163	und	KON	KON
PIAT	12	164	etlicher	ADJA	PIAT
NN	12	165	Maß	NE	NN
_	12	166	unterworfen	VVPP	VVPP
_	12	167	der	ART	ART
_	12	168	versehrlichen	ADJA	ADJA
_	12	169	oder	KON	KON
ADJA	12	170	vergiftigen	NE	ADJA
_	12	171	Sache	NN	NN
_	12	172	oder	KON	KON
ART	12	173	dem	NE	ART
_	12	174	schädlichen	ADJA	ADJA
NN	12	175	Ursprung	NE	NN
_	12	176	dieser	PDAT	PDAT
NN	12	177	Krankheit	NE	NN
_	12	178	.	$.	$.
_	13	1	in	APPR	APPR
_	13	2	Gleichnis	NN	NN
_	13	3	.	$.	$.
KOUS	13	4	also	ADV	ADV
_	13	5	das	ART	ART
NN	13	6	Feuer	VVFIN	NN
_	13	7	nicht	PTKNEG	PTKNEG
VVFIN	13	8	brennt	NE	VVFIN
_	13	9	es	PPER	PPER
_	13	10	sei	VAFIN	VAFIN
_	13	11	dann	ADV	ADV
_	13	12	in	APPR	APPR
ADJA	13	13	bequemer	ADJD	ADJA
_	13	14	Materien	NN	NN
_	13	15	so	ADV	ADV
VVFIN	13	16	schadet	ADJD	VVFIN
_	13	17	die	ART	ART
_	13	18	Pestilenz	NN	NN
PIAT	13	19	keinem	PIAT	PIAT
NN	13	20	Leichnam	NE	NN
_	13	21	es	PPER	PPER
_	13	22	sei	VAFIN	VAFIN
_	13	23	dann	ADV	ADV
KOUS	13	24	dass	ART	KOUS
_	13	25	sie	PPER	PPER
_	13	26	finde	VVFIN	VVFIN
NN	13	27	Materie	NE	NN
PRELS	13	28	die	ART	ART
_	13	29	da	ADV	ADV
_	13	30	bequem	ADJD	ADJD
_	13	31	sei	VAFIN	VAFIN
APPR	13	32	zu	PTKZU	APPR
_	13	33	der	ART	ART
NN	13	34	Verstörung	NE	NN
_	13	35	oder	KON	KON
_	13	36	Vergiftung	NN	NN
_	13	37	hierum	PAV	PAV
PIAT	13	38	welche	PWAT	PIAT
NN	13	39	Leichname	NE	NN
ADJD	13	40	rein	ADJD	ADV
_	13	41	sind	VAFIN	VAFIN
_	13	42	und	KON	KON
_	13	43	mit	APPR	APPR
_	13	44	Reinigung	NN	NN
_	13	45	nicht	PTKNEG	PTKNEG
VVPP	13	46	versäumt	NE	VVFIN
PDS	13	47	die	ART	PDS
VVFIN	13	48	bleiben	VVINF	VVFIN
_	13	49	lang	ADJD	ADJD
_	13	50	frei	ADJD	ADJD
_	13	51	von	APPR	APPR
NN	13	52	Vergiftung	NE	NN
_	13	53	der	ART	ART
_	13	54	Pestilenz	NN	NN
_	13	55	auch	ADV	ADV
_	13	56	die	ART	ART
_	13	57	Menschen	NN	NN
_	13	58	bleiben	VVFIN	VVFIN
_	13	59	gesund	ADJD	ADJD
PIAT	13	60	welcher	PWAT	PIAT
_	13	61	Komplexion	NN	NN
ADJD	13	62	wider	APPR	ADJD
_	13	63	ist	VAFIN	VAFIN
_	13	64	der	ART	ART
_	13	65	Komplexion	NN	NN
_	13	66	der	ART	ART
_	13	67	vergiftigen	ADJA	ADJA
_	13	68	Luft	NN	NN
_	13	69	.	$.	$.
_	14	1	sonst	ADV	ADV
KOUS	14	2	wo	PWAV	PWAV
ART	14	3	das	KOUS	ART
_	14	4	Luft	NN	NN
_	14	5	vergiftet	VVPP	VVPP
_	14	6	wäre	VAFIN	VAFIN
_	14	7	würden	VAFIN	VAFIN
_	14	8	alle	PIAT	PIAT
NN	14	9	Menschen	VVFIN	NN
_	14	10	in	APPR	APPR
_	14	11	der	ART	ART
ADJA	14	12	selbigen	ADJA	ADJA
_	14	13	Luft	NN	NN
VVINF	14	14	sterben	VVINF	VVFIN
KOUS	14	15	das	ART	PDS
_	14	16	doch	ADV	ADV
_	14	17	Erfahrung	NN	NN
_	14	18	nicht	PTKNEG	PTKNEG
_	14	19	zugibt	VVFIN	VVFIN
_	14	20	.	$.	$.
_	15	1	von	APPR	APPR
_	15	2	Bewahrung	NN	NN
_	15	3	vor	APPR	APPR
_	15	4	der	ART	ART
_	15	5	Pestilenz	NN	NN
APPR	15	6	zu	PTKZU	APPR
_	15	7	dem	ART	ART
CARD	15	8	Ersten	CARD	NN
_	15	9	so	ADV	ADV
_	15	10	sollt	VMFIN	VMFIN
PPER	15	11	ihr	PPOSAT	PPER
_	15	12	vermeiden	VVFIN	VVFIN
ADJA	15	13	überflüssige	ADJD	ADJA
NN	15	14	Völlung	VVFIN	NN
NN	15	15	Speise	VVIMP	NN
_	15	16	und	KON	KON
NN	15	17	Getranks	NE	NN
_	15	18	.	$.	$.
_	16	1	jedoch	ADV	ADV
KOUS	16	2	sintemal	NE	ADV
NN	16	3	Hunger	ADJD	NN
_	16	4	und	KON	KON
_	16	5	Durst	NN	NN
_	16	6	in	APPR	APPR
_	16	7	solcher	PIAT	PIAT
_	16	8	Zeit	NN	NN
_	16	9	schädlich	ADJD	ADJD
_	16	10	ist	VAFIN	VAFIN
_	16	11	darum	PAV	PAV
VMFIN	16	12	sollt	NE	VMFIN
PPER	16	13	ihr	PPOSAT	PPER
_	16	14	die	ART	ART
NN	16	15	Menge	NE	NN
_	16	16	der	ART	ART
NN	16	17	Speise	VVIMP	NN
_	16	18	auf	APPR	APPR
_	16	19	ein	ART	ART
_	16	20	Mal	NN	NN
VVINF	16	21	mindern	ADJA	VVINF
_	16	22	und	KON	KON
_	16	23	die	ART	ART
_	16	24	Male	NN	NN
_	16	25	der	ART	ART
_	16	26	Speisung	NN	NN
VVINF	16	27	mehren	VVFIN	VVFIN
_	16	28	so	ADV	ADV
_	16	29	dass	KOUS	KOUS
PPER	16	30	ihr	PPOSAT	PPER
_	16	31	zwischen	APPR	APPR
TRUNC	16	32	mittag	ADV	NN
_	16	33	und	KON	KON
TRUNC	16	34	abend	ADV	ADV
NN	16	35	essen	VVINF	VVFIN
_	16	36	ein	ART	ART
NN	16	37	Bissen	VVINF	NN
_	16	38	Brots	NN	NN
_	16	39	oder	KON	KON
PIS	16	40	etwas	PIS	ADV
PIS	16	41	anderes	ADV	PIS
_	16	42	nehmt	VVFIN	VVFIN
KON	16	43	und	NE	KON
_	16	44	darauf	PAV	PAV
_	16	45	ein	ART	ART
NN	16	46	Trunk	VVFIN	NN
_	16	47	Weins	NN	NN
_	16	48	mit	APPR	APPR
NN	16	49	Wasser	VVIMP	NN
_	16	50	gemischt	VVPP	VVPP
_	16	51	auch	ADV	ADV
_	16	52	sollt	VMFIN	VMFIN
PPER	16	53	ihr	PPOSAT	PPER
VVINF	16	54	vermeiden	VVFIN	VVFIN
_	16	55	grobes	ADJA	ADJA
_	16	56	und	KON	KON
_	16	57	schleimiges	ADJA	ADJA
NN	16	58	Fleisch	VVIMP	NN
_	16	59	und	KON	KON
_	16	60	aller	PIAT	PIAT
_	16	61	hand	NN	NN
_	16	62	Fisch	NN	NN
_	16	63	und	KON	KON
_	16	64	alle	PIAT	PIAT
ADJA	16	65	scharfe	NE	ADJA
NN	16	66	Speisen	VVIMP	NN
_	16	67	als	KOKOM	KOKOM
_	16	68	Knoblauch	NN	NN
NN	16	69	Zwiebel	VVIMP	NN
_	16	70	.	$.	$.
_	16	71	Lauch	NN	NN
_	16	72	und	KON	KON
_	16	73	hitzige	ADJA	ADJA
_	16	74	Würze	NN	NN
_	16	75	oder	KON	KON
NN	16	76	Spezies	NE	NN
_	16	77	.	$.	$.
_	17	1	als	KOKOM	KOKOM
NN	17	2	Pfeffer	VVIMP	NN
_	17	3	und	KON	KON
TRUNC	17	4	paradis	NN	NE
NN	17	5	Körner	NE	NE
$(	17	6	¶	$(	XY
_	17	7	euer	PPOSAT	PPOSAT
ADJA	17	8	salzenes	NE	ADJA
_	17	9	.	$.	$.
NN	17	10	Getränk	NE	NN
_	17	11	und	KON	KON
_	17	12	alle	PIAT	PIAT
NN	17	13	Speisen	VVIMP	NN
_	17	14	sollen	VMFIN	VMFIN
_	17	15	mit	APPR	APPR
_	17	16	Essig	NN	NN
VVPP	17	17	bereit	ADJD	ADJD
_	17	18	sein	VAINF	VAINF
_	17	19	.	$.	$.
_	18	1	auch	ADV	ADV
_	18	2	sollt	VMFIN	VMFIN
PPER	18	3	ihr	PPOSAT	PPER
_	18	4	vermeiden	VVFIN	VVFIN
_	18	5	süße	ADJA	ADJA
NN	18	6	Speisen	VVIMP	NN
_	18	7	mit	APPR	APPR
_	18	8	Honig	NN	NN
VVPP	18	9	zubereitet	ADJD	VVPP
_	18	10	.	$.	$.
$(	19	1	¶	$(	XY
FM	19	2	item	NE	ADV
_	19	3	allerlei	PIAT	PIAT
_	19	4	Früchte	NN	NN
VMFIN	19	5	sollt	NE	VMFIN
PPER	19	6	ihr	PPOSAT	PPER
VVINF	19	7	vermeiden	VVFIN	VVINF
_	19	8	.	$.	$.
KON	19	9	wann	PWAV	PWAV
_	19	10	durch	APPR	APPR
_	19	11	ungesunde	ADJA	ADJA
_	19	12	Luft	NN	NN
_	19	13	seien	VAFIN	VAFIN
_	19	14	sie	PPER	PPER
VVPP	19	15	vergiftet	NE	VVPP
_	19	16	.	$.	$.
ADV	19	17	ausgenommen	NE	ADV
ADJA	19	18	saure	ADJD	ADJA
_	19	19	Früchte	NN	NN
_	19	20	.	$.	$.
_	19	21	als	KOKOM	KOKOM
ADJA	19	22	sauer	ADJD	ADJD
_	19	23	Kirschen	NN	NN
_	19	24	.	$.	$.
ADJA	19	25	saure	ADJD	ADJA
NN	19	26	Äpfel	NE	NN
_	19	27	und	KON	KON
FM	19	28	malogrant	NN	ADJA
NN	19	29	Äpfel	NE	NN
_	19	30	.	$.	$.
ADJA	20	1	bittere	NE	ADJA
_	20	2	Mandelmilch	NN	NN
_	20	3	ist	VAFIN	VAFIN
_	20	4	bequem	ADJD	ADJD
APPR	20	5	zu	PTKZU	APPR
NN	20	6	Bereitung	NE	NN
_	20	7	der	ART	ART
NN	20	8	Speise	VVIMP	NN
_	20	9	.	$.	$.
_	20	10	sonst	ADV	ADV
_	20	11	alle	PIAT	PIAT
PIS	20	12	andere	ADJA	PIS
_	20	13	Milch	NN	NN
_	20	14	ist	VAFIN	VAFIN
_	20	15	schädlich	ADJD	ADJD
_	20	16	.	$.	$.
ADV	20	17	zu mal	ADV	APPR
ART	20	18	den	NE	ART
_	20	19	müßigen	ADJA	ADJA
NN	20	20	Menschen	VVFIN	NN
_	20	21	.	$.	$.
PDS	20	22	den	ART	PDS
_	20	23	bringt	VVFIN	VVFIN
_	20	24	sie	PPER	PPER
_	20	25	das	ART	ART
NN	20	26	Fieber	VVIMP	NN
_	20	27	.	$.	$.
_	20	28	oder	KON	KON
_	20	29	den	ART	ART
_	20	30	kalten	ADJA	ADJA
_	20	31	Siechtag	NN	NN
_	20	32	.	$.	$.
_	20	33	und	KON	KON
VVFIN	20	34	verstört	NE	VVFIN
_	20	35	die	ART	ART
_	20	36	vier	CARD	CARD
_	20	37	Feuchtigkeiten	NN	NN
_	20	38	in	APPR	APPR
_	20	39	den	ART	ART
_	20	40	Tieren	NN	NN
$(	20	41	¶	$(	XY
PPER	20	42	ihr	PPOSAT	PPER
VMFIN	20	43	sollt	NE	VMFIN
VVFIN	20	44	vermeiden	VVINF	VVFIN
NN	20	45	Bad	NN	NE
_	20	46	.	$.	$.
_	21	1	und	KON	KON
PIS	21	2	alles	PIS	PIS
PRELS	21	3	das	KOUS	PDS
VVFIN	21	4	hitzt	VVFIN	VVFIN
_	21	5	und	KON	KON
_	21	6	die	ART	ART
NN	21	7	Schweißlöcher	NN	NN
_	21	8	öffnet	VVFIN	VVFIN
_	21	9	.	$.	$.
KOUS	21	10	wann	PWAV	PWAV
_	21	11	sie	PPER	PPER
_	21	12	geöffnet	VVPP	VVPP
_	21	13	sind	VAFIN	VAFIN
_	21	14	so	ADV	ADV
_	21	15	schleuft	VVFIN	VVFIN
_	21	16	der	ART	ART
ADJA	21	17	vergifteten	NE	ADJA
_	21	18	Luft	NN	NN
PAV	21	19	darin	ADV	PAV
_	21	20	und	KON	KON
VVFIN	21	21	vergiftigt	ADJD	VVFIN
_	21	22	den	ART	ART
NN	21	23	Leichnam	NE	NN
_	21	24	und	KON	KON
VVFIN	21	25	zerstört	VVPP	VVFIN
_	21	26	die	ART	ART
_	21	27	natürlichen	ADJA	ADJA
_	21	28	und	KON	KON
_	21	29	lebendigen	ADJA	ADJA
NN	21	30	Geister	VVFIN	NN
_	21	31	.	$.	$.
$(	22	1	¶	$(	XY
_	22	2	Vor	APPR	APPR
_	22	3	allen	PIAT	PIAT
_	22	4	Dingen	NN	NN
