	token_ids	tokens	goldlabels	predictions
7	35	Luft	NN	NN
7	36	verstört	NE	VVPP
7	37	wird	VAFIN	VAFIN
7	38	und	KON	KON
7	39	vergiftet	NE	VVFIN
7	40	.	$.	$.
8	1	daraus	PAV	PAV
8	2	Pestilenz	NN	NN
8	3	folgt	VVFIN	VVFIN
8	4	natürlichen	ADJA	ADJA
8	5	.	$.	$.
9	1	sintemal	KOUS	ADV
9	2	durch	APPR	APPR
9	3	den	NE	ART
9	4	Einfluss	NN	NN
9	5	des	ART	ART
9	6	Himmels	NN	NN
9	7	gestreckt	VVPP	VVPP
9	8	und	KON	KON
9	9	gerichtet	NN	VVFIN
9	10	er	PPER	PPER
9	11	ein	ART	ART
9	12	Mensch	NN	NN
9	13	anblickt	VVFIN	VVFIN
9	14	und	KON	KON
9	15	gerührt	NE	VVPP
9	16	wird	VAFIN	VAFIN
9	17	dann	ADV	ADV
9	18	das	KOUS	ART
9	19	andere	ADJD	PIS
9	20	.	$.	$.
10	1	und	KON	KON
10	2	mehr	ADV	ADV
10	3	ein	ART	ART
10	4	Land	NE	NN
10	5	und	KON	KON
10	6	Stadt	NE	NN
10	7	dann	ADV	ADV
10	8	die	ART	ART
10	9	anderen	ADJD	PIS
10	10	.	$.	$.
11	1	wie	KOKOM	KOKOM
11	2	wohl	ADV	ADV
11	3	sie	PPER	PPER
11	4	oft	ADV	ADV
11	5	einer	ART	ART
11	6	Natur	NN	NN
11	7	oder	NN	KON
11	8	Komplexion	NE	NN
11	9	sind	VAFIN	VAFIN
11	10	hierum	PAV	PAV
11	11	wird	VAFIN	VAFIN
11	12	ein	ART	ART
11	13	Mensch	NE	NN
11	14	eh	ADV	ADV
11	15	und	KON	KON
11	16	mehr	ADV	ADV
11	17	vergiftet	NE	VVPP
11	18	und	KON	KON
11	19	berührt	VVFIN	VVFIN
11	20	mit	APPR	APPR
11	21	der	ART	ART
11	22	Pestilenz	NE	NN
11	23	.	$.	$.
11	24	wann	PWAV	PWAV
11	25	der	ART	ART
11	26	andere	NE	PIS
11	27	auch	ADV	ADV
11	28	regiert	NE	VVFIN
11	29	der	ART	ART
11	30	Pestilenz	NN	NN
11	31	in	APPR	APPR
11	32	einem	ART	ART
11	33	Land	NN	NN
11	34	mehr	ADV	ADV
11	35	dann	ADV	ADV
11	36	in	APPR	APPR
11	37	dem	NE	ART
11	38	anderen	VVINF	PIS
11	39	.	$.	$.
11	40	des	ART	ART
11	41	ich	PPER	PPER
11	42	oft	ADV	ADV
11	43	Anzeigung	NE	NN
11	44	an	APPR	APPR
11	45	Bäumen	VVFIN	NN
11	46	gesehen	VVPP	VVPP
11	47	habe	VAFIN	VAFIN
11	48	.	$.	$.
11	49	so	ADV	ADV
11	50	dass	ART	KOUS
11	51	oft	ADV	ADV
11	52	ein	ART	ART
11	53	Nebel	NN	NN
11	54	oder	KON	KON
11	55	schädlich	ADJD	ADJD
11	56	Luft	NN	NN
11	57	einen	ART	ART
11	58	Baum	NE	NN
11	59	versehrt	VVFIN	VVPP
11	60	und	KON	KON
11	61	vergiftet	NE	VVPP
11	62	hat	VAFIN	VAFIN
11	63	gleich	ADV	ADJD
11	64	als	KOKOM	KOKOM
11	65	die	ART	ART
11	66	Blätter	NE	NN
11	67	verbrannt	NE	VVPP
11	68	wären	VAFIN	VAFIN
11	69	und	KON	KON
11	70	doch	ADV	ADV
11	71	den	NE	ART
11	72	anderen	ADJA	PIAT
11	73	Bäumen	VVFIN	NN
11	74	derselben	PDAT	PDAT
11	75	Natur	NN	NN
11	76	und	KON	KON
11	77	Geschlecht	NN	NN
11	78	ganz	NN	ADV
11	79	unversehrt	ADJD	ADJD
11	80	und	KON	KON
11	81	unverbrannt	NE	ADJD
11	82	gelassen	VVPP	VVPP
11	83	aus	APPR	APPR
11	84	dem	NE	PDS
11	85	folgt	VVFIN	VVFIN
11	86	dass	ART	KOUS
11	87	die	ART	ART
11	88	Menschen	NN	NN
11	89	eh	ADV	ADV
11	90	anstößt	VVFIN	VVFIN
11	91	die	ART	ART
11	92	Pestilenz	NN	NN
11	93	die	ART	ART
11	94	gerechter	ADJD	ADJD
11	95	durch	APPR	APPR
11	96	den	ART	ART
11	97	Einfluss	NN	NN
11	98	etliches	PIAT	PIAT
11	99	Gestirns	NN	NN
11	100	angeblickt	NE	VVPP
11	101	werden	VAFIN	VAINF
11	102	und	KON	KON
11	103	mehr	ADV	ADV
11	104	die	ART	ART
11	105	Menschen	VVFIN	NN
11	106	welcher	PWAT	PIAT
11	107	Komplexion	NE	NN
11	108	der	ART	ART
11	109	vergiftigen	NE	ADJA
11	110	Luft	NN	NN
11	111	Komplexion	NE	NN
11	112	näher	ADJD	ADJD
11	113	oder	KON	KON
11	114	gleicher	ADJA	ADJD
11	115	ist	VAFIN	VAFIN
11	116	auch	ADV	ADV
11	117	nicht	PTKNEG	PTKNEG
11	118	allein	ADV	ADV
11	119	der	ART	ART
11	120	vergifteten	NE	ADJA
11	121	Luft	NN	NN
11	122	halben	ADJA	ADJA
11	123	geschieht	VVFIN	VVFIN
11	124	Pestilenz	NE	NN
11	125	.	$.	$.
11	126	sonder	APPR	KON
11	127	aus	APPR	APPR
11	128	Überflüssigkeit	NN	NN
11	129	unreiner	ADJA	ADJA
11	130	Feuchtigkeit	NN	NN
11	131	in	NE	APPR
11	132	dem	NE	ART
11	133	Menschen	NN	NN
11	134	nach	APPR	APPR
11	135	Sagen	VVFIN	NN
11	136	des	ART	ART
11	137	großen	ADJA	ADJA
11	138	Arztes	NN	NN
11	139	Gallieni	NE	NE
11	140	im	APPRART	APPRART
11	141	Buch	NN	NN
11	142	von	APPR	APPR
11	143	dem	ART	ART
11	144	Fieber	VVIMP	NN
11	145	aus	APPR	APPR
11	146	keinerlei	PIAT	PIS
11	147	geschieht	VVFIN	VVFIN
11	148	Versehrung	NN	NN
11	149	oder	KON	KON
11	150	Vergiftung	NE	NN
11	151	des	ART	ART
11	152	Leichnams	NN	NN
11	153	.	$.	$.
11	154	es	PPER	PPER
11	155	sei	VAFIN	VAFIN
11	156	dann	ADV	ADV
11	157	dass	ART	KOUS
11	158	des	ART	ART
11	159	Körpers	NN	NN
11	160	Materie	NE	NN
11	161	geschickt	VVPP	VVPP
11	162	sei	VAFIN	VAFIN
11	163	und	KON	KON
11	164	etlicher	ADJA	PIAT
11	165	Maß	NE	NN
11	166	unterworfen	VVPP	VVPP
11	167	der	ART	ART
11	168	versehrlichen	ADJA	ADJA
11	169	oder	KON	KON
11	170	vergiftigen	NE	ADJA
11	171	Sache	NN	NN
11	172	oder	KON	KON
11	173	dem	NE	ART
11	174	schädlichen	ADJA	ADJA
11	175	Ursprung	NE	NN
11	176	dieser	PDAT	PDAT
11	177	Krankheit	NE	NN
11	178	.	$.	$.
12	1	in	APPR	APPR
12	2	Gleichnis	NN	NN
12	3	.	$.	$.
12	4	also	ADV	ADV
12	5	das	ART	ART
12	6	Feuer	VVFIN	NN
12	7	nicht	PTKNEG	PTKNEG
12	8	brennt	NE	VVFIN
12	9	es	PPER	PPER
12	10	sei	VAFIN	VAFIN
12	11	dann	ADV	ADV
12	12	in	APPR	APPR
12	13	bequemer	ADJD	ADJA
12	14	Materien	NN	NN
12	15	so	ADV	ADV
12	16	schadet	ADJD	VVFIN
12	17	die	ART	ART
12	18	Pestilenz	NN	NN
12	19	keinem	PIAT	PIAT
12	20	Leichnam	NE	NN
12	21	es	PPER	PPER
12	22	sei	VAFIN	VAFIN
12	23	dann	ADV	ADV
12	24	dass	ART	KOUS
12	25	sie	PPER	PPER
12	26	finde	VVFIN	VVFIN
12	27	Materie	NE	NN
12	28	die	ART	ART
12	29	da	ADV	ADV
12	30	bequem	ADJD	ADJD
12	31	sei	VAFIN	VAFIN
12	32	zu	PTKZU	APPR
12	33	der	ART	ART
12	34	Verstörung	NE	NN
12	35	oder	KON	KON
12	36	Vergiftung	NN	NN
12	37	hierum	PAV	PAV
12	38	welche	PWAT	PIAT
12	39	Leichname	NE	NN
12	40	rein	ADJD	ADV
12	41	sind	VAFIN	VAFIN
12	42	und	KON	KON
12	43	mit	APPR	APPR
12	44	Reinigung	NN	NN
12	45	nicht	PTKNEG	PTKNEG
12	46	versäumt	NE	VVFIN
12	47	die	ART	PRELS
12	48	bleiben	VVINF	VVFIN
12	49	lang	ADJD	ADJD
12	50	frei	ADJD	ADJD
12	51	von	APPR	APPR
12	52	Vergiftung	NE	NN
12	53	der	ART	ART
12	54	Pestilenz	NN	NN
12	55	auch	ADV	ADV
12	56	die	ART	ART
12	57	Menschen	NN	NN
12	58	bleiben	VVFIN	VVFIN
12	59	gesund	ADJD	ADJD
12	60	welcher	PWAT	PIAT
12	61	Komplexion	NN	NN
12	62	wider	APPR	PTKVZ
12	63	ist	VAFIN	VAFIN
12	64	der	ART	ART
12	65	Komplexion	NN	NN
12	66	der	ART	ART
12	67	vergiftigen	ADJA	ADJA
12	68	Luft	NN	NN
12	69	.	$.	$.
13	1	sonst	ADV	ADV
13	2	wo	PWAV	PWAV
13	3	das	KOUS	ART
13	4	Luft	NN	NN
13	5	vergiftet	VVPP	VVPP
13	6	wäre	VAFIN	VAFIN
13	7	würden	VAFIN	VAFIN
13	8	alle	PIAT	PIAT
13	9	Menschen	VVFIN	NN
13	10	in	APPR	APPR
13	11	der	ART	ART
13	12	selbigen	ADJA	ADJA
13	13	Luft	NN	NN
13	14	sterben	VVINF	VVFIN
13	15	das	ART	ART
13	16	doch	ADV	KON
13	17	Erfahrung	NN	NN
13	18	nicht	PTKNEG	PTKNEG
13	19	zugibt	VVFIN	VVFIN
13	20	.	$.	$.
14	1	von	APPR	APPR
14	2	Bewahrung	NN	NN
14	3	vor	APPR	APPR
14	4	der	ART	ART
14	5	Pestilenz	NN	NN
14	6	zu	PTKZU	APPR
14	7	dem	ART	ART
14	8	Ersten	CARD	NN
14	9	so	ADV	ADV
14	10	sollt	VMFIN	VMFIN
14	11	ihr	PPOSAT	PPER
14	12	vermeiden	VVFIN	VVFIN
14	13	überflüssige	ADJD	ADJA
14	14	Völlung	VVFIN	NN
14	15	Speise	VVIMP	NN
14	16	und	KON	KON
14	17	Getranks	NE	NN
14	18	.	$.	$.
15	1	jedoch	ADV	ADV
15	2	sintemal	NE	ADV
15	3	Hunger	ADJD	NN
15	4	und	KON	KON
15	5	Durst	NN	NN
15	6	in	APPR	APPR
15	7	solcher	PIAT	PIAT
15	8	Zeit	NN	NN
15	9	schädlich	ADJD	ADJD
15	10	ist	VAFIN	VAFIN
15	11	darum	PAV	PAV
15	12	sollt	NE	VMFIN
15	13	ihr	PPOSAT	PPER
15	14	die	ART	ART
15	15	Menge	NE	NN
15	16	der	ART	ART
15	17	Speise	VVIMP	NN
15	18	auf	APPR	APPR
15	19	ein	ART	ART
15	20	Mal	NN	NN
15	21	mindern	ADJA	VVINF
15	22	und	KON	KON
15	23	die	ART	ART
15	24	Male	NN	NN
15	25	der	ART	ART
15	26	Speisung	NN	NN
15	27	mehren	VVFIN	VVFIN
15	28	so	ADV	ADV
15	29	dass	KOUS	KOUS
15	30	ihr	PPOSAT	PPER
15	31	zwischen	APPR	APPR
15	32	mittag	ADV	NN
15	33	und	KON	KON
15	34	abend	ADV	ADJD
15	35	essen	VVINF	VVFIN
15	36	ein	ART	ART
15	37	Bissen	VVINF	NN
15	38	Brots	NN	NN
15	39	oder	KON	KON
15	40	etwas	PIS	ADV
15	41	anderes	ADV	PIS
15	42	nehmt	VVFIN	VVFIN
15	43	und	NE	KON
15	44	darauf	PAV	PAV
15	45	ein	ART	ART
15	46	Trunk	VVFIN	NN
15	47	Weins	NN	NN
15	48	mit	APPR	APPR
15	49	Wasser	VVIMP	NN
15	50	gemischt	VVPP	VVPP
15	51	auch	ADV	ADV
15	52	sollt	VMFIN	VMFIN
15	53	ihr	PPOSAT	PPER
15	54	vermeiden	VVFIN	VVFIN
15	55	grobes	ADJA	ADJA
15	56	und	KON	KON
15	57	schleimiges	ADJA	ADJA
15	58	Fleisch	VVIMP	NN
15	59	und	KON	KON
15	60	aller	PIAT	PIAT
15	61	hand	NN	NN
15	62	Fisch	NN	NN
15	63	und	KON	KON
15	64	alle	PIAT	PIAT
15	65	scharfe	NE	ADJA
15	66	Speisen	VVIMP	NN
15	67	als	KOKOM	KOKOM
15	68	Knoblauch	NN	NN
15	69	Zwiebel	VVIMP	NN
15	70	.	$.	$.
15	71	Lauch	NN	NN
15	72	und	KON	KON
15	73	hitzige	ADJA	ADJA
15	74	Würze	NN	NN
15	75	oder	KON	KON
15	76	Spezies	NE	NN
15	77	.	$.	$.
16	1	als	KOKOM	KOKOM
16	2	Pfeffer	VVIMP	NN
16	3	und	KON	KON
16	4	paradis	NN	NE
16	5	Körner	NE	NE
16	6	¶	$(	NN
16	7	euer	PPOSAT	PPOSAT
16	8	salzenes	NE	ADJA
16	9	.	$.	$.
16	10	Getränk	NE	NN
16	11	und	KON	KON
16	12	alle	PIAT	PIAT
16	13	Speisen	VVIMP	NN
16	14	sollen	VMFIN	VMFIN
16	15	mit	APPR	APPR
16	16	Essig	NN	NN
16	17	bereit	ADJD	ADJD
16	18	sein	VAINF	VAINF
16	19	.	$.	$.
17	1	auch	ADV	ADV
17	2	sollt	VMFIN	VMFIN
17	3	ihr	PPOSAT	PPER
17	4	vermeiden	VVFIN	VVFIN
17	5	süße	ADJA	ADJA
17	6	Speisen	VVIMP	NN
17	7	mit	APPR	APPR
17	8	Honig	NN	NN
17	9	zubereitet	ADJD	VVPP
17	10	.	$.	$.
18	1	¶	$(	XY
18	2	item	NE	ADV
18	3	allerlei	PIAT	PIAT
18	4	Früchte	NN	NN
18	5	sollt	NE	VMFIN
18	6	ihr	PPOSAT	PPER
18	7	vermeiden	VVFIN	VVINF
18	8	.	$.	$.
18	9	wann	PWAV	PWAV
18	10	durch	APPR	APPR
18	11	ungesunde	ADJA	ADJA
18	12	Luft	NN	NN
18	13	seien	VAFIN	VAFIN
18	14	sie	PPER	PPER
18	15	vergiftet	NE	VVPP
18	16	.	$.	$.
18	17	ausgenommen	NE	ADV
18	18	saure	ADJD	ADJA
18	19	Früchte	NN	NN
18	20	.	$.	$.
18	21	als	KOKOM	KOKOM
18	22	sauer	ADJD	ADJD
18	23	Kirschen	NN	NN
18	24	.	$.	$.
18	25	saure	ADJD	ADJA
18	26	Äpfel	NE	NN
18	27	und	KON	KON
18	28	malogrant	NN	VVFIN
18	29	Äpfel	NE	NN
18	30	.	$.	$.
19	1	bittere	NE	ADJA
19	2	Mandelmilch	NN	NN
19	3	ist	VAFIN	VAFIN
19	4	bequem	ADJD	ADJD
19	5	zu	PTKZU	APPR
19	6	Bereitung	NE	NN
19	7	der	ART	ART
19	8	Speise	VVIMP	NN
19	9	.	$.	$.
19	10	sonst	ADV	ADV
19	11	alle	PIAT	PIAT
19	12	andere	ADJA	PIAT
19	13	Milch	NN	NN
19	14	ist	VAFIN	VAFIN
19	15	schädlich	ADJD	ADJD
19	16	.	$.	$.
19	17	zu mal	ADV	PTKA
19	18	den	NE	ART
19	19	müßigen	ADJA	ADJA
19	20	Menschen	VVFIN	NN
19	21	.	$.	$.
19	22	den	ART	PRELS
19	23	bringt	VVFIN	VVFIN
19	24	sie	PPER	PPER
19	25	das	ART	ART
19	26	Fieber	VVIMP	NN
19	27	.	$.	$.
19	28	oder	KON	KON
19	29	den	ART	ART
19	30	kalten	ADJA	ADJA
19	31	Siechtag	NN	NN
19	32	.	$.	$.
19	33	und	KON	KON
19	34	verstört	NE	VVFIN
19	35	die	ART	ART
19	36	vier	CARD	CARD
19	37	Feuchtigkeiten	NN	NN
19	38	in	APPR	APPR
19	39	den	ART	ART
19	40	Tieren	NN	NN
19	41	¶	$(	XY
19	42	ihr	PPOSAT	PPER
19	43	sollt	NE	VMFIN
19	44	vermeiden	VVINF	VVFIN
19	45	Bad	NN	NE
19	46	.	$.	$.
20	1	und	KON	KON
20	2	alles	PIS	PIS
20	3	das	KOUS	PDS
20	4	hitzt	VVFIN	ADJD
20	5	und	KON	KON
20	6	die	ART	ART
20	7	Schweißlöcher	NN	NN
20	8	öffnet	VVFIN	VVFIN
20	9	.	$.	$.
20	10	wann	PWAV	PWAV
20	11	sie	PPER	PPER
20	12	geöffnet	VVPP	VVPP
20	13	sind	VAFIN	VAFIN
20	14	so	ADV	ADV
20	15	schleuft	VVFIN	VVFIN
20	16	der	ART	ART
20	17	vergifteten	NE	ADJA
20	18	Luft	NN	NN
20	19	darin	ADV	PAV
20	20	und	KON	KON
20	21	vergiftigt	ADJD	VVFIN
20	22	den	ART	ART
20	23	Leichnam	NE	NN
20	24	und	KON	KON
20	25	zerstört	VVPP	VVFIN
20	26	die	ART	ART
20	27	natürlichen	ADJA	ADJA
20	28	und	KON	KON
20	29	lebendigen	ADJA	ADJA
20	30	Geister	VVFIN	NN
20	31	.	$.	$.
21	1	¶	$(	XY
21	2	Vor	APPR	APPR
21	3	allen	PIAT	PIAT
21	4	Dingen	NN	NN
21	5	sollt	NE	VMFIN
21	6	ihr	PPOSAT	PPER
21	7	unkeusch	ADJD	ADJD
21	8	und	KON	KON
21	9	Leibs	NN	NN
21	10	Wollust	NN	NN
21	11	fliehen	VVINF	VVINF
21	12	.	$.	$.
22	1	¶	$(	XY
22	2	besonder	NN	ADJD
22	3	ist	VAFIN	VAFIN
22	4	mein	PPOSAT	PPOSAT
22	5	Rat	NN	NN
22	6	dass	KOUS	KOUS
22	7	ihr	PPOSAT	PPER
22	8	in	APPR	APPR
22	9	den	ART	ART
22	10	Monden	NN	NN
22	11	zu	PTKZU	APPR
22	12	der	ART	ART
22	13	Adern	NN	NN
22	14	lasst	VVFIN	VVFIN
22	15	.	$.	$.
22	16	und	KON	KON
22	17	doch	ADV	ADV
22	18	wenig	PIS	ADV
22	19	als	KOKOM	KOKOM
22	20	.	$.	$.
22	21	6	NE	CARD
22	22	oder	KON	KON
22	23	8.	NE	ADJA
22	24	Lot	NN	NN
22	25	Bluts	NN	NN
22	26	und	KON	KON
22	27	tut	VVFIN	VVFIN
22	28	das	KOUS	ART
22	29	drei	CARD	CARD
22	30	oder	KON	KON
22	31	3	XY	CARD
22	32	Tage	NN	NN
22	33	vor	APPR	PTKVZ
22	34	oder	KON	KON
22	35	nach	APPR	APPR
22	36	dem	NE	ART
22	37	Vollmond	NE	NN
22	38	und	KON	KON
22	39	gemeiniglich	NE	ADJD
22	40	von	XY	APPR
22	41	der	ART	ART
22	42	Leber	NN	NN
22	43	oder	KON	KON
22	44	an	APPR	APPR
22	45	dem	ART	ART
22	46	rechten	ADJA	ADJA
22	47	Arm	ADJA	NN
22	48	zu	PTKZU	APPR
22	49	Gezeiten	NN	NN
22	50	von	XY	APPR
22	51	der	ART	ART
22	52	Milz	NN	NN
22	53	Ader	NN	NN
22	54	an	NE	APPR
22	55	der	ART	ART
22	56	linken	ADJA	ADJA
22	57	Hand	VAFIN	NN
22	58	und	KON	KON
22	59	zuweilen	ADV	ADV
22	60	von	XY	APPR
22	61	der	ART	ART
22	62	Median	NE	NE
22	63	in	APPR	APPR
22	64	dem	NE	ART
22	65	Arm	ADJD	NN
22	66	darnach	PAV	ADV
22	67	ihr	PPOSAT	PPER
22	68	empfindet	NE	VVFIN
22	69	Stechung	NE	NN
22	70	und	KON	KON
22	71	Lauf	NN	NN
22	72	der	ART	ART
22	73	Feuchtigkeit	NN	NN
22	74	an	NE	APPR
22	75	diesem	PDAT	PDAT
22	76	oder	KON	KON
22	77	anderen	NN	PIS
22	78	Ende	NN	NN
22	79	.	$.	$.
22	80	wann	PWAV	PWAV
22	81	diese	PDAT	PDAT
22	82	Wallung	NE	NN
22	83	des	ART	ART
22	84	Geblüts	NN	NN
22	85	mag	VMFIN	VMFIN
22	86	nicht	PTKNEG	PTKNEG
22	87	mehr	NE	ADV
22	88	ausgelöscht	NE	VVPP
22	89	werden	VAFIN	VAFIN
22	90	dann	ADV	ADV
22	91	durch	APPR	APPR
22	92	künstliche	ADJA	ADJA
22	93	und	KON	KON
22	94	gebührliche	ADJA	ADJA
22	95	Aderlassen	NN	NN
22	96	.	$.	$.
23	1	¶	$(	XY
23	2	zu	APPR	APPR
23	3	dem	NE	ART
23	4	anderen	ADJA	PIAT
23	5	Mal	NN	NN
23	6	ist	VAFIN	VAFIN
23	7	zu	PTKZU	PTKZU
23	8	merken	VVINF	VVINF
23	9	.	$.	$.
24	1	dass	ART	KOUS
24	2	ihr	PPOSAT	PPER
24	3	alle	PIAT	PIAT
24	4	Nacht	NN	NN
24	5	so	ADV	ADV
24	6	ihr	PPOSAT	PPER
24	7	schlafen	ADJA	VVINF
24	8	sollt	VVPP	VMFIN
24	9	nehmen	VVFIN	VVFIN
24	10	ein	XY	ART
24	11	Löffel	NN	NN
24	12	Weins	NN	NN
24	13	oder	KON	KON
24	14	zwei	NE	CARD
24	15	mit	APPR	APPR
24	16	Rosen	NN	NN
24	17	Wasser	VVIMP	NN
24	18	mit	APPR	APPR
24	19	ein	ART	ART
24	20	wenig	PIS	PIAT
24	21	boli	NE	NE
24	22	armenici	NE	NE
24	23	all	PIAT	ADV
