	token_ids	tokens	goldlabels	predictions
11	20	in	APPR	APPR
11	21	allen	PIAT	PIAT
11	22	Ständen	NN	NN
11	23	geredet	VVPP	VVPP
11	24	wird	VAFIN	VAFIN
11	25	/	$(	$(
11	26	so	ADV	ADV
11	27	kann	VMFIN	VMFIN
11	28	es	PPER	PPER
11	29	doch	ADV	ADV
11	30	nicht	PTKNEG	PTKNEG
11	31	unbillig	ADJD	ADJD
11	32	auch	ADV	ADV
11	33	insonderheit	ADV	NN
11	34	auf	APPR	APPR
11	35	diese	PDAT	PDAT
11	36	Werke	NN	NN
11	37	und	KON	KON
11	38	Gaben	NN	NN
11	39	Gottes	NN	NN
11	40	gezogen	VVPP	VVPP
11	41	werden	VAINF	VAINF
11	42	/	$(	$(
11	43	welche	PWAT	PRELS
11	44	zu	PTKZU	APPR
11	45	Erlangung	NN	NN
11	46	und	KON	KON
11	47	Erhaltung	NN	NN
11	48	der	ART	ART
11	49	Gesundheit	NN	NN
11	50	des	ART	ART
11	51	Menschen	NN	NN
11	52	ersprießlich	ADJD	ADJD
11	53	seien	VAINF	VAFIN
11	54	/	$(	$(
11	55	inmassen	KOUS	NN
11	56	denn	KON	KON
11	57	der	ART	ART
11	58	Engel	NE	NN
11	59	Raphael	NE	NE
11	60	eben	ADV	ADV
11	61	daher	PAV	PAV
11	62	seinen	PPOSAT	PPOSAT
11	63	Namen	NN	NN
11	64	hat	VAFIN	VAFIN
11	65	/	$(	$(
11	66	dass	KOUS	KOUS
11	67	er	PPER	PPER
11	68	ein	ART	ART
11	69	Arzt	NN	NN
11	70	Gottes	NN	NN
11	71	genannt	VVPP	VVPP
11	72	wird	VAFIN	VAFIN
11	73	/	$(	$(
11	74	auch	ADV	ADV
11	75	solchen	PIAT	PIAT
11	76	seinen	PPOSAT	PPOSAT
11	77	Namen	NN	NN
11	78	in	APPR	APPR
11	79	der	ART	ART
11	80	Historie	NN	NN
11	81	Tobias	NE	NE
11	82	auf	APPR	APPR
11	83	viele	ADV	PIAT
11	84	Wege	NN	NN
11	85	in	APPR	APPR
11	86	der	ART	ART
11	87	Tat	NN	NN
11	88	erwiesen	VVPP	VVPP
11	89	.	$.	$.
12	1	geht	VVFIN	VVFIN
12	2	demnach	PAV	ADV
12	3	allhier	ADV	ADJA
12	4	der	ART	ART
12	5	Engel	NE	NN
12	6	Raphael	NE	NE
12	7	allen	PIAT	PIAT
12	8	christlichen	ADJA	ADJA
12	9	Ärzten	NN	NN
12	10	mit	APPR	APPR
12	11	gutem	ADJA	ADJA
12	12	Exempel	NN	NN
12	13	für	APPR	APPR
12	14	/	$(	$(
12	15	dieselben	PDAT	PDS
12	16	dadurch	PAV	PAV
12	17	anzumahnen	VVIZU	VVIZU
12	18	/	$(	$(
12	19	dass	KOUS	KOUS
12	20	sie	PPER	PPER
12	21	Gottes	NN	NN
12	22	milde	ADJA	ADJA
12	23	reiche	VVFIN	ADJA
12	24	Güte	NN	NN
12	25	in	APPR	APPR
12	26	Offenbarung	NN	NN
12	27	und	KON	KON
12	28	Ausbreitung	NN	NN
12	29	vieler	PIAT	PIAT
12	30	heilsamer	ADJA	ADJA
12	31	/	$(	$(
12	32	und	KON	KON
12	33	zur	APPRART	APPRART
12	34	Gesundheit	NN	NN
12	35	dienlicher	ADJA	ADJA
12	36	Mittel	NN	NN
12	37	/	$(	$(
12	38	so	ADV	ADV
12	39	viel	ADV	ADV
12	40	immer	ADV	ADV
12	41	müglich	ADJD	ADJD
12	42	/	$(	$(
12	43	rühmen	VVINF	VVFIN
12	44	/	$(	$(
12	45	loben	VVFIN	VVFIN
12	46	und	KON	KON
12	47	preisen	VVFIN	VVFIN
12	48	.	$.	$.
13	1	dazu	PAV	PAV
13	2	auch	ADV	ADV
13	3	der	ART	ART
13	4	weise	VVFIN	ADJA
13	5	Man	PIS	NN
13	6	Jesus	NE	NE
13	7	Sirach	NE	NE
13	8	/	$(	$(
13	9	welcher	PWAT	PWS
13	10	in	APPR	APPR
13	11	seinem	PPOSAT	PPOSAT
13	12	Buch	NN	NN
13	13	den	ART	ART
13	14	Arzt	NN	NN
13	15	und	KON	KON
13	16	die	ART	ART
13	17	Arznei	NN	NN
13	18	als	KOKOM	KOKOM
13	19	von	APPR	APPR
13	20	Gott	NN	NN
13	21	geschaffen	VVPP	VVPP
13	22	/	$(	$(
13	23	hoch	ADJD	ADJD
13	24	rühmt	VVFIN	VVFIN
13	25	/	$(	$(
13	26	und	KON	KON
13	27	ausdrücklich	ADJD	ADJD
13	28	anzeigt	VVFIN	VVFIN
13	29	/	$(	$(
13	30	dass	KOUS	KOUS
13	31	der	ART	ART
13	32	Herr	NN	NN
13	33	eben	ADV	ADV
13	34	darum	PAV	PAV
13	35	solche	PIAT	PIAT
13	36	Kunst	NN	NN
13	37	den	ART	ART
13	38	Menschen	NN	NN
13	39	gegeben	VVPP	VVPP
13	40	habe	VAFIN	VAFIN
13	41	/	$(	$(
13	42	dass	KOUS	KOUS
13	43	er	PPER	PPER
13	44	gepriesen	VVPP	VVPP
13	45	würde	VAFIN	VAFIN
13	46	in	APPR	APPR
13	47	seinen	PPOSAT	PPOSAT
13	48	Wundertaten	NN	NN
13	49	/	$(	$(
13	50	sie	PPER	PPER
13	51	und	KON	KON
13	52	alle	PIAT	PIAT
13	53	Christen	NN	NN
13	54	vermahnt	VVFIN	VVPP
13	55	/	$(	$(
13	56	in	APPR	APPR
13	57	dem	ART	ART
13	58	er	PPER	PPER
13	59	sagt	VVFIN	VVFIN
13	60	am	APPRART	APPRART
13	61	drei	CARD	CARD
13	62	und	KON	KON
13	63	vierzigsten	ADJA	ADJA
13	64	Kapitel	NN	NN
14	1	lobt	VVFIN	VVFIN
14	2	und	KON	KON
14	3	preist	VVFIN	VVFIN
14	4	den	ART	ART
14	5	Herrn	NN	NN
14	6	/	$(	$(
14	7	so	ADV	ADV
14	8	hoch	ADJD	ADJD
14	9	ihr	PPOSAT	PPER
14	10	vermögt	VVFIN	VVFIN
14	11	/	$(	$(
14	12	er	PPER	PPER
14	13	ist	VAFIN	VAFIN
14	14	doch	ADV	ADV
14	15	noch	ADV	ADV
14	16	höher	ADJD	ADJD
14	17	/	$(	$(
14	18	preist	NN	VVFIN
14	19	ihn	PPER	PPER
14	20	aus	APPR	APPR
14	21	allen	PIAT	PIAT
14	22	Kräften	NN	NN
14	23	/	$(	$(
14	24	und	KON	KON
14	25	lasst	VVFIN	VVFIN
14	26	nicht	PTKNEG	PTKNEG
14	27	ab	PTKVZ	PTKVZ
14	28	/	$(	$(
14	29	noch	ADV	ADV
14	30	werdet	VAFIN	VAFIN
14	31	ihr	PPOSAT	PPER
14	32	es	PPER	PPER
14	33	nicht	PTKNEG	PTKNEG
14	34	erreichen	VVINF	VVFIN
14	35	et cetera	ADV	FM
15	1	wir	PPER	PPER
15	2	sehen	VVINF	VVFIN
15	3	seiner	PPOSAT	PPOSAT
15	4	Werke	NN	NN
15	5	das	ART	ART
15	6	Wenigste	ADJA	NN
15	7	/	$(	$(
15	8	denn	KON	KON
15	9	viel	ADV	ADV
15	10	größere	ADJA	ADJA
15	11	sind	VAFIN	VAFIN
15	12	uns	PPER	PRF
15	13	noch	ADV	ADV
15	14	verborgen	VVPP	VVPP
15	15	.	$.	$.
16	1	wann	PWAV	PWAV
16	2	dann	ADV	ADV
16	3	unter	APPR	APPR
16	4	solchen	PIAT	PIAT
16	5	heilsamen	ADJA	ADJA
16	6	/	$(	$(
16	7	und	KON	KON
16	8	zur	APPRART	APPRART
16	9	Gesundheit	NN	NN
16	10	dienlichen	ADJA	ADJA
16	11	Werken	NN	NN
16	12	und	KON	KON
16	13	Geschöpfen	NN	NN
16	14	Gottes	NN	NN
16	15	nicht	PTKNEG	PTKNEG
16	16	die	ART	ART
16	17	wenigsten	PIAT	PIS
16	18	sind	VAFIN	VAFIN
16	19	die	ART	ART
16	20	warmen	NN	ADJA
16	21	Bäder	NN	NN
16	22	/	$(	$(
16	23	Sauer	NN	NE
16	24	und	KON	KON
16	25	andere	ADJA	PIS
16	26	Brunnen	NN	NN
16	27	/	$(	$(
16	28	welche	PWAT	PRELS
16	29	allerlei	PIAT	PIAT
16	30	Mineralien	NN	NN
16	31	und	KON	KON
16	32	Bergarten	NN	NN
16	33	/	$(	$(
16	34	so	ADV	ADV
16	35	sie	PPER	PPER
16	36	führen	VVINF	VVINF
16	37	/	$(	$(
16	38	und	KON	KON
16	39	damit	PAV	PAV
16	40	vermengt	VVFIN	VVPP
16	41	seien	VAINF	VAFIN
16	42	/	$(	$(
16	43	Kraft	NN	NN
16	44	und	KON	KON
16	45	Wirkung	NN	NN
16	46	an	APPR	APPR
16	47	sich	PRF	PRF
16	48	haben	VAFIN	VAFIN
16	49	/	$(	$(
16	50	ist	VAFIN	VAFIN
16	51	es	PPER	PPER
16	52	billig	ADJD	ADJD
16	53	und	KON	KON
16	54	christlich	ADJD	ADJD
16	55	/	$(	$(
16	56	dass	KOUS	KOUS
16	57	alle	PIAT	PIAT
16	58	gottfürchtigen	NE	ADJA
16	59	Ärzte	NN	NN
16	60	Gott	NN	NN
16	61	dem	ART	ART
16	62	Schöpfer	NN	NN
16	63	zu	PTKZU	APPR
16	64	Ehren	NN	NN
16	65	denselben	PDAT	PDS
16	66	nachdenken	VVINF	VVINF
16	67	/	$(	$(
16	68	fleißig	ADJD	ADJD
16	69	erforschen	VVINF	VVINF
16	70	und	KON	KON
16	71	dartun	VVINF	VVFIN
16	72	/	$(	$(
16	73	was	PWS	PWS
16	74	sie	PPER	PPER
16	75	für	APPR	APPR
16	76	Art	NN	NN
16	77	und	KON	KON
16	78	Eigenschaft	NN	NN
16	79	an	APPR	APPR
16	80	sich	PRF	PRF
16	81	haben	VAFIN	VAFIN
16	82	/	$(	$(
16	83	wozu	PWAV	PWAV
16	84	sie	PPER	PPER
16	85	dienen	VVINF	VVFIN
16	86	/	$(	$(
16	87	woher	PWAV	PWAV
16	88	sie	PPER	PPER
16	89	ihre	PPOSAT	PPOSAT
16	90	Kraft	NN	NN
16	91	haben	VAFIN	VAFIN
16	92	/	$(	$(
16	93	und	KON	KON
16	94	welcher	PWAT	PWS
16	95	Gestalt	NN	NN
16	96	sie	PPER	PPER
16	97	fruchtbarlich	ADJD	ADJD
16	98	zu	PTKZU	PTKZU
16	99	gebrauchen	VVINF	VVINF
16	100	.	$.	$.
17	1	und	KON	KON
17	2	dieweil	KOUS	ADV
17	3	dieses	PDAT	PDAT
17	4	Jahr	NN	NN
17	5	ein	ART	ART
17	6	solcher	PIAT	PIAT
17	7	heilsamer	ADJA	ADJA
17	8	Brunnen	NN	NN
17	9	im	APPRART	APPRART
17	10	Lande	NN	NN
17	11	zu	PTKZU	APPR
17	12	Meißen	NE	NE
17	13	/	$(	$(
17	14	dessen	PDS	PRELAT
17	15	man	PIS	PIS
17	16	eine	ART	ART
17	17	Zeit	NN	NN
17	18	her	APZR	APZR
17	19	nicht	PTKNEG	PTKNEG
17	20	geachtet	VVPP	VVPP
17	21	/	$(	$(
17	22	wiederum	ADV	ADV
17	23	in	APPR	APPR
17	24	Beruf	NN	NN
17	25	kommen	VVFIN	VVINF
17	26	/	$(	$(
17	27	habe	VAFIN	VAFIN
17	28	ich	PPER	PPER
17	29	zwar	ADV	ADV
17	30	bald	ADV	ADV
17	31	anfänglich	ADJD	ADJD
17	32	dem	ART	ART
17	33	selben	ADJA	PDS
17	34	nachgeforscht	VVPP	VVPP
17	35	/	$(	$(
17	36	seinen	PPOSAT	PPOSAT
17	37	Halt	NN	NN
17	38	und	KON	KON
17	39	Mineram	NN	NE
17	40	/	$(	$(
17	41	so	ADV	ADV
17	42	viel	ADV	ADV
17	43	abwesend	ADJD	ADJD
17	44	geschehen	VVPP	VVINF
17	45	können	VMFIN	VMINF
17	46	/	$(	$(
17	47	probiert	VVFIN	VVFIN
17	48	/	$(	$(
17	49	aber	KON	ADV
17	50	lange	ADV	ADV
17	51	Zeit	NN	NN
17	52	in	APPR	APPR
17	53	Hoffnung	NN	NN
17	54	gestanden	VVPP	VVPP
17	55	/	$(	$(
17	56	es	PPER	PPER
17	57	würde	VAFIN	VAFIN
17	58	jemand	PIS	PIS
17	59	anderes	ADV	PIS
17	60	/	$(	$(
17	61	welcher	PWAT	PWS
17	62	mehr	ADV	PIAT
17	63	Berufs	NN	NN
17	64	und	KON	KON
17	65	Ansehens	NN	NN
17	66	hätte	VAFIN	VAFIN
17	67	/	$(	$(
17	68	sich	PRF	PRF
17	69	der	ART	ART
17	70	Sache	NN	NN
17	71	unterwinden	VVINF	VVINF
17	72	/	$(	$(
17	73	und	KON	KON
17	74	in	APPR	APPR
17	75	offenem	ADJA	ADJA
17	76	Druck	NN	NN
17	77	seine	PPOSAT	PPOSAT
17	78	Natur	NN	NN
17	79	/	$(	$(
17	80	Kraft	NN	NN
17	81	/	$(	$(
17	82	Wirkung	NN	NN
17	83	und	KON	KON
17	84	Gebrauch	NN	NN
17	85	/	$(	$(
17	86	menniglichen	ADJA	ADJA
17	87	zu	PTKZU	PTKA
17	88	gute	ADJD	ADJA
17	89	an	APPR	APPR
17	90	Tag	NN	NN
17	91	geben	VVINF	VVINF
17	92	.	$.	$.
18	1	weil	KOUS	KOUS
18	2	ich	PPER	PPER
18	3	aber	ADV	ADV
18	4	bis	VVFIN	KON
18	5	daher	PAV	PAV
18	6	vergeblich	ADJD	ADJD
18	7	gehofft	VVPP	VVPP
18	8	/	$(	$(
18	9	und	KON	KON
18	10	gleichwohl	ADV	ADV
18	11	von	APPR	APPR
18	12	vielen	PIAT	PIAT
18	13	gutherzigen	ADJA	ADJA
18	14	Leuten	NN	NN
18	15	/	$(	$(
18	16	was	PWS	PRELS
18	17	ich	PPER	PPER
18	18	davon	PAV	PAV
18	19	hielte	VVFIN	VVFIN
18	20	/	$(	$(
18	21	oft	ADV	ADV
18	22	und	KON	KON
18	23	vielmals	ADV	ADV
18	24	ersucht	VVFIN	VVPP
18	25	und	KON	KON
18	26	angelangt	VVFIN	VVPP
18	27	worden	VAPP	VAPP
18	28	/	$(	$(
18	29	habe	NN	VAFIN
18	30	ich	PPER	PPER
18	31	mich	PPER	PRF
18	32	endlich	ADV	ADV
18	33	aus	APPR	APPR
18	34	Ursachen	NN	NN
18	35	/	$(	$(
18	36	so	ADV	ADV
18	37	ich	PPER	PPER
18	38	im	APPRART	APPRART
18	39	Eingange	NN	NN
18	40	dieses	PDAT	PDAT
18	41	Traktätleins	NN	NN
18	42	erzähle	VVFIN	VVFIN
18	43	/	$(	$(
18	44	solches	PIAT	PIAT
18	45	Werks	NN	NN
18	46	unterfangen	NN	VVINF
18	47	/	$(	$(
18	48	und	KON	KON
18	49	meine	PPOSAT	PPOSAT
18	50	Meinung	NN	NN
18	51	hiervon	PAV	PAV
18	52	in	APPR	APPR
18	53	diesem	PDAT	PDAT
18	54	Traktätlein	NN	NN
18	55	kurz	ADJD	ADJD
18	56	begriffen	VVPP	VVPP
18	57	.	$.	$.
19	1	welches	PWS	PWS
19	2	euren	NN	PPOSAT
19	3	fürstlichen	NE	ADJA
20	1	Gnaden	NN	NN
20	2	um	APPR	PTKVZ
20	3	desto	ADV	KON
20	4	mehrers	PIAT	ADJA
20	5	Ansehens	NN	NN
20	6	Willen	NN	APPO
20	7	/	$(	$(
20	8	ich	PPER	PPER
20	9	in	APPR	APPR
20	10	Untertänigkeit	NN	NN
20	11	hiermit	PAV	PAV
20	12	dediziere	VVFIN	VVFIN
20	13	und	KON	KON
20	14	zuschreibe	VVFIN	VVFIN
20	15	/	$(	$(
20	16	untertänig	ADJD	ADJD
20	17	bittend	ADJA	ADJD
20	18	/	$(	$(
20	19	solch	PIAT	PIAT
20	20	geringfügiges	ADJD	ADJA
20	21	Werk	NN	NN
20	22	in	APPR	APPR
20	23	Gnaden	NN	NN
20	24	von	APPR	APPR
20	25	mir	PPER	PRF
20	26	auf-	APPR	TRUNC
20	27	und	KON	KON
20	28	anzunehmen	VVIZU	VVIZU
20	29	/	$(	$(
20	30	und	KON	KON
20	31	meine	PPOSAT	PPOSAT
20	32	gnädige	ADJA	ADJA
20	33	Fürsten	NN	NN
20	34	und	KON	KON
20	35	Herren	NN	NN
20	36	zu	PTKZU	PTKZU
20	37	sein	VAINF	VAINF
20	38	und	KON	KON
20	39	zu	PTKZU	PTKZU
20	40	bleiben	VVINF	VVINF
20	41	.	$.	$.
21	1	das	ART	PDS
21	2	bin	VAFIN	VAFIN
21	3	um	APPR	APPR
21	4	eure	NN	PPOSAT
21	5	fürstliche	NE	ADJA
21	6	Gnaden	NN	NN
21	7	ich	PPER	PPER
21	8	mit	APPR	APPR
21	9	meinem	PPOSAT	PPOSAT
21	10	andächtigem	ADJA	ADJA
21	11	Gebet	NN	NN
21	12	um	APPR	APPR
21	13	dero	PRELAT	ADJA
21	14	beständige	ADJA	ADJA
21	15	Gesundheit	NN	NN
21	16	/	$(	$(
21	17	langes	ADJA	ADJA
21	18	Leben	NN	NN
21	19	/	$(	$(
21	20	und	KON	KON
21	21	alle	PIAT	PIAT
21	22	gedeihliche	NE	ADJA
21	23	Wohlfahrt	NN	NN
21	24	/	$(	$(
21	25	beneben	APPR	VVFIN
21	26	meinen	VVFIN	PPOSAT
21	27	untertänigen	ADJA	ADJA
21	28	/	$(	$(
21	29	wiewohl	KOUS	KOUS
21	30	geringen	ADJA	ADJA
21	31	Diensten	NN	NN
21	32	zu	PTKZU	PTKZU
21	33	verdienen	VVFIN	VVINF
21	34	/	$(	$(
21	35	in	APPR	APPR
21	36	Untertänigkeit	NN	NN
21	37	ganz	ADV	ADV
21	38	willig	ADJD	ADJD
21	39	.	$.	$.
22	1	Datum	NN	NN
22	2	zur	APPRART	APPRART
22	3	Neustadt	NN	NN
22	4	an	APPR	APPR
22	5	der	ART	ART
22	6	Orla	NE	NN
22	7	/	$(	$(
22	8	am	APPRART	APPRART
22	9	Tage	NN	NN
22	10	Michaelis	NE	NE
22	11	/	$(	$(
22	12	1608	CARD	ADJA
22	13	.	$.	$.
22	14	eurer	PPOSAT	PPOSAT
22	15	fürstlichen	NN	ADJA
22	16	Gnaden	NN	NN
22	17	untertäniger	NN	ADJA
22	18	M.	NE	NE
22	19	Johannes	NE	NE
22	20	Philippus	NE	NE
22	21	Brendel	NE	NE
22	22	/	$(	$(
22	23	jetzt	ADV	ADV
22	24	Medikus	NN	NN
22	25	daselbst	PAV	ADV
22	26	 .	$.	$.
22	27	so	ADV	ADV
22	28	weit	ADJD	ADJD
22	29	und	KON	KON
22	30	breit	ADJD	ADJD
22	31	nicht	PTKNEG	PTKNEG
22	32	allein	ADV	ADV
22	33	in	APPR	APPR
22	34	dieser	PDAT	PDAT
22	35	Gegend	NN	NN
22	36	/	$(	$(
22	37	sondern	KON	KON
22	38	auch	ADV	ADV
22	39	fast	ADV	ADV
22	40	im	APPRART	APPRART
22	41	ganzen	ADJA	ADJA
22	42	Deutschen	ADJA	NN
22	43	/	$(	$(
22	44	auch	ADV	ADV
22	45	wohl	ADV	ADV
22	46	anderen	ADJA	PIS
22	47	Ländern	NN	NN
22	48	der	ART	ART
22	49	neuerfundene	ADJA	ADJA
22	50	/	$(	$(
22	51	oder	KON	KON
22	52	jetzo	ADV	ADJD
22	53	aufs	APPRART	APPRART
22	54	Neue	ADJD	NN
22	55	ausgeschriene	ADJA	ADJA
22	56	und	KON	KON
22	57	berühmte	ADJA	ADJA
22	58	Brunnen	NN	NN
22	59	in	APPR	APPR
22	60	Meißen	NE	NE
22	61	/	$(	$(
22	62	bei	APPR	APPR
22	63	der	ART	ART
22	64	Zwönitz	NN	NN
22	65	gelegen	VVPP	VVPP
22	66	/	$(	$(
22	67	bekannt	ADJD	ADJD
22	68	ist	VAFIN	VAFIN
22	69	/	$(	$(
22	70	so	ADV	ADV
22	71	sehr	ADV	ADV
22	72	wundert	VVFIN	VVFIN
22	73	mich	PPER	PRF
22	74	/	$(	$(
22	75	das	ART	PRELS
22	76	sich	PRF	PRF
22	77	noch	ADV	ADV
22	78	zur	APPRART	APPRART
22	79	Zeit	NN	NN
22	80	niemand	PIS	PIS
22	81	/	$(	$(
22	82	welcher	PWAT	PWS
22	83	von	APPR	APPR
22	84	seiner	PPOSAT	PPOSAT
22	85	Natur	NN	NN
22	86	und	KON	KON
22	87	Gebrauch	NN	NN
22	88	etwas	PIS	PIAT
22	89	Gründliches	ADJA	NN
22	90	in	APPR	APPR
22	91	Druck	NN	NN
22	92	verfertigt	VVFIN	VVFIN
22	93	/	$(	$(
22	94	gefunden	VVFIN	VVPP
22	95	.	$.	$.
23	1	zwar	ADV	ADV
23	2	ich	PPER	PPER
23	3	muss	VMFIN	VMFIN
23	4	selber	ADV	ADV
23	5	bekennen	VVFIN	VVINF
23	6	/	$(	$(
23	7	dass	KOUS	KOUS
23	8	ich	PPER	PPER
23	9	viel	ADV	ADV
23	10	lieber	ADV	ADJD
23	11	einen	ART	ART
23	12	anderen	ADJA	PIS
23	13	/	$(	$(
23	14	welcher	PWAT	PWS
23	15	davon	PAV	PAV
23	16	seine	PPOSAT	PPOSAT
23	17	Meinung	NN	NN
23	18	an	APPR	APPR
23	19	Tag	NN	NN
23	20	gegeben	VVPP	VVPP
23	21	hätte	VAFIN	VAFIN
23	22	/	$(	$(
23	23	lesen	VVINF	VVINF
23	24	wollte	VMFIN	VMFIN
23	25	/	$(	$(
23	26	als	KOKOM	KON
23	27	dass	KOUS	KOUS
23	28	ich	PPER	PPER
23	29	hiervon	PAV	PAV
23	30	etwas	PIS	ADV
23	31	schreiben	VVINF	VVINF
23	32	und	KON	KON
23	33	in	APPR	APPR
23	34	Druck	NN	NN
23	35	gehen	VVINF	VVINF
