SID	TID	TOKEN	POS1	POS2
11	1	und	KON	KON
11	2	mehr	ADV	ADV
11	3	ein	ART	ART
11	4	Land	NE	NN
11	5	und	KON	KON
11	6	Stadt	NE	NN
11	7	dann	ADV	ADV
11	8	die	ART	ART
11	9	anderen	ADJD	PIS
11	10	.	$.	$.
12	1	wie	KOKOM	KOUS
12	2	wohl	ADV	ADV
12	3	sie	PPER	PPER
12	4	oft	ADV	ADV
12	5	einer	ART	ART
12	6	Natur	NN	NN
12	7	oder	NN	KON
12	8	Komplexion	NE	NN
12	9	sind	VAFIN	VAFIN
12	10	hierum	PAV	PAV
12	11	wird	VAFIN	VAFIN
12	12	ein	ART	ART
12	13	Mensch	NE	NN
12	14	eh	ADV	ADV
12	15	und	KON	KON
12	16	mehr	ADV	ADV
12	17	vergiftet	NE	VVPP
12	18	und	KON	KON
12	19	berührt	VVFIN	VVFIN
12	20	mit	APPR	APPR
12	21	der	ART	ART
12	22	Pestilenz	NE	NN
12	23	.	$.	$.
12	24	wann	PWAV	PWAV
12	25	der	ART	ART
12	26	andere	NE	PIS
12	27	auch	ADV	ADV
12	28	regiert	NE	VVFIN
12	29	der	ART	ART
12	30	Pestilenz	NN	NN
12	31	in	APPR	APPR
12	32	einem	ART	ART
12	33	Land	NN	NN
12	34	mehr	ADV	ADV
12	35	dann	ADV	ADV
12	36	in	APPR	APPR
12	37	dem	NE	ART
12	38	anderen	VVINF	PIS
12	39	.	$.	$.
12	40	des	ART	ART
12	41	ich	PPER	PPER
12	42	oft	ADV	ADV
12	43	Anzeigung	NE	NN
12	44	an	APPR	APPR
12	45	Bäumen	VVFIN	NN
12	46	gesehen	VVPP	VVPP
12	47	habe	VAFIN	VAFIN
12	48	.	$.	$.
12	49	so	ADV	ADV
12	50	dass	ART	KOUS
12	51	oft	ADV	ADV
12	52	ein	ART	ART
12	53	Nebel	NN	NN
12	54	oder	KON	KON
12	55	schädlich	ADJD	ADJD
12	56	Luft	NN	NN
12	57	einen	ART	ART
12	58	Baum	NE	NN
12	59	versehrt	VVFIN	VVPP
12	60	und	KON	KON
12	61	vergiftet	NE	VVPP
12	62	hat	VAFIN	VAFIN
12	63	gleich	ADV	ADJD
12	64	als	KOKOM	KOKOM
12	65	die	ART	ART
12	66	Blätter	NE	NN
12	67	verbrannt	NE	VVPP
12	68	wären	VAFIN	VAFIN
12	69	und	KON	KON
12	70	doch	ADV	ADV
12	71	den	NE	ART
12	72	anderen	ADJA	PIAT
12	73	Bäumen	VVFIN	NN
12	74	derselben	PDAT	PDAT
12	75	Natur	NN	NN
12	76	und	KON	KON
12	77	Geschlecht	NN	NN
12	78	ganz	NN	ADV
12	79	unversehrt	ADJD	ADJD
12	80	und	KON	KON
12	81	unverbrannt	NE	ADJD
12	82	gelassen	VVPP	VVPP
12	83	aus	APPR	APPR
12	84	dem	NE	PDS
12	85	folgt	VVFIN	VVFIN
12	86	dass	ART	KOUS
12	87	die	ART	ART
12	88	Menschen	NN	NN
12	89	eh	ADV	ADV
12	90	anstößt	VVFIN	VVFIN
12	91	die	ART	ART
12	92	Pestilenz	NN	NN
12	93	die	ART	ART
12	94	gerechter	ADJD	ADJD
12	95	durch	APPR	APPR
12	96	den	ART	ART
12	97	Einfluss	NN	NN
12	98	etliches	PIAT	PIAT
12	99	Gestirns	NN	NN
12	100	angeblickt	NE	VVPP
12	101	werden	VAFIN	VAINF
12	102	und	KON	KON
12	103	mehr	ADV	ADV
12	104	die	ART	ART
12	105	Menschen	VVFIN	NN
12	106	welcher	PWAT	PIAT
12	107	Komplexion	NE	NN
12	108	der	ART	ART
12	109	vergiftigen	NE	ADJA
12	110	Luft	NN	NN
12	111	Komplexion	NE	NN
12	112	näher	ADJD	ADJD
12	113	oder	KON	KON
12	114	gleicher	ADJA	ADJD
12	115	ist	VAFIN	VAFIN
12	116	auch	ADV	ADV
12	117	nicht	PTKNEG	PTKNEG
12	118	allein	ADV	ADV
12	119	der	ART	ART
12	120	vergifteten	NE	ADJA
12	121	Luft	NN	NN
12	122	halben	ADJA	ADJA
12	123	geschieht	VVFIN	VVFIN
12	124	Pestilenz	NE	NN
12	125	.	$.	$.
12	126	sonder	APPR	VVIMP
12	127	aus	APPR	APPR
12	128	Überflüssigkeit	NN	NN
12	129	unreiner	ADJA	ADJA
12	130	Feuchtigkeit	NN	NN
12	131	in	NE	APPR
12	132	dem	NE	ART
12	133	Menschen	NN	NN
12	134	nach	APPR	APPR
12	135	Sagen	VVFIN	NN
12	136	des	ART	ART
12	137	großen	ADJA	ADJA
12	138	Arztes	NN	NN
12	139	Gallieni	NE	NE
12	140	im	APPRART	APPRART
12	141	Buch	NN	NN
12	142	von	APPR	APPR
12	143	dem	ART	ART
12	144	Fieber	VVIMP	NN
12	145	aus	APPR	APPR
12	146	keinerlei	PIAT	PIS
12	147	geschieht	VVFIN	VVFIN
12	148	Versehrung	NN	NN
12	149	oder	KON	KON
12	150	Vergiftung	NE	NN
12	151	des	ART	ART
12	152	Leichnams	NN	NN
12	153	.	$.	$.
12	154	es	PPER	PPER
12	155	sei	VAFIN	VAFIN
12	156	dann	ADV	ADV
12	157	dass	ART	KOUS
12	158	des	ART	ART
12	159	Körpers	NN	NN
12	160	Materie	NE	NN
12	161	geschickt	VVPP	VVPP
12	162	sei	VAFIN	VAFIN
12	163	und	KON	KON
12	164	etlicher	ADJA	PIAT
12	165	Maß	NE	NN
12	166	unterworfen	VVPP	VVPP
12	167	der	ART	ART
12	168	versehrlichen	ADJA	ADJA
12	169	oder	KON	KON
12	170	vergiftigen	NE	ADJA
12	171	Sache	NN	NN
12	172	oder	KON	KON
12	173	dem	NE	ART
12	174	schädlichen	ADJA	ADJA
12	175	Ursprung	NE	NN
12	176	dieser	PDAT	PDAT
12	177	Krankheit	NE	NN
12	178	.	$.	$.
13	1	in	APPR	APPR
13	2	Gleichnis	NN	NN
13	3	.	$.	$.
13	4	also	ADV	ADV
13	5	das	ART	ART
13	6	Feuer	VVFIN	NN
13	7	nicht	PTKNEG	PTKNEG
13	8	brennt	NE	VVFIN
13	9	es	PPER	PPER
13	10	sei	VAFIN	VAFIN
13	11	dann	ADV	ADV
13	12	in	APPR	APPR
13	13	bequemer	ADJD	ADJA
13	14	Materien	NN	NN
13	15	so	ADV	ADV
13	16	schadet	ADJD	VVFIN
13	17	die	ART	ART
13	18	Pestilenz	NN	NN
13	19	keinem	PIAT	PIAT
13	20	Leichnam	NE	NN
13	21	es	PPER	PPER
13	22	sei	VAFIN	VAFIN
13	23	dann	ADV	ADV
13	24	dass	ART	KOUS
13	25	sie	PPER	PPER
13	26	finde	VVFIN	VVFIN
13	27	Materie	NE	NN
13	28	die	ART	ART
13	29	da	ADV	ADV
13	30	bequem	ADJD	ADJD
13	31	sei	VAFIN	VAFIN
13	32	zu	PTKZU	APPR
13	33	der	ART	ART
13	34	Verstörung	NE	NN
13	35	oder	KON	KON
13	36	Vergiftung	NN	NN
13	37	hierum	PAV	PAV
13	38	welche	PWAT	PIAT
13	39	Leichname	NE	NN
13	40	rein	ADJD	ADV
13	41	sind	VAFIN	VAFIN
13	42	und	KON	KON
13	43	mit	APPR	APPR
13	44	Reinigung	NN	NN
13	45	nicht	PTKNEG	PTKNEG
13	46	versäumt	NE	VVFIN
13	47	die	ART	PDS
13	48	bleiben	VVINF	VVFIN
13	49	lang	ADJD	ADJD
13	50	frei	ADJD	ADJD
13	51	von	APPR	APPR
13	52	Vergiftung	NE	NN
13	53	der	ART	ART
13	54	Pestilenz	NN	NN
13	55	auch	ADV	ADV
13	56	die	ART	ART
13	57	Menschen	NN	NN
13	58	bleiben	VVFIN	VVFIN
13	59	gesund	ADJD	ADJD
13	60	welcher	PWAT	PIAT
13	61	Komplexion	NN	NN
13	62	wider	APPR	ADJD
13	63	ist	VAFIN	VAFIN
13	64	der	ART	ART
13	65	Komplexion	NN	NN
13	66	der	ART	ART
13	67	vergiftigen	ADJA	ADJA
13	68	Luft	NN	NN
13	69	.	$.	$.
14	1	sonst	ADV	ADV
14	2	wo	PWAV	PWAV
14	3	das	KOUS	ART
14	4	Luft	NN	NN
14	5	vergiftet	VVPP	VVPP
14	6	wäre	VAFIN	VAFIN
14	7	würden	VAFIN	VAFIN
14	8	alle	PIAT	PIAT
14	9	Menschen	VVFIN	NN
14	10	in	APPR	APPR
14	11	der	ART	ART
14	12	selbigen	ADJA	ADJA
14	13	Luft	NN	NN
14	14	sterben	VVINF	VVFIN
14	15	das	ART	PDS
14	16	doch	ADV	ADV
14	17	Erfahrung	NN	NN
14	18	nicht	PTKNEG	PTKNEG
14	19	zugibt	VVFIN	VVFIN
14	20	.	$.	$.
15	1	von	APPR	APPR
15	2	Bewahrung	NN	NN
15	3	vor	APPR	APPR
15	4	der	ART	ART
15	5	Pestilenz	NN	NN
15	6	zu	PTKZU	APPR
15	7	dem	ART	ART
15	8	Ersten	CARD	NN
15	9	so	ADV	ADV
15	10	sollt	VMFIN	VMFIN
15	11	ihr	PPOSAT	PPER
15	12	vermeiden	VVFIN	VVFIN
15	13	überflüssige	ADJD	ADJA
15	14	Völlung	VVFIN	NN
15	15	Speise	VVIMP	NN
15	16	und	KON	KON
15	17	Getranks	NE	NN
15	18	.	$.	$.
16	1	jedoch	ADV	ADV
16	2	sintemal	NE	ADV
16	3	Hunger	ADJD	NN
16	4	und	KON	KON
16	5	Durst	NN	NN
16	6	in	APPR	APPR
16	7	solcher	PIAT	PIAT
16	8	Zeit	NN	NN
16	9	schädlich	ADJD	ADJD
16	10	ist	VAFIN	VAFIN
16	11	darum	PAV	PAV
16	12	sollt	NE	VMFIN
16	13	ihr	PPOSAT	PPER
16	14	die	ART	ART
16	15	Menge	NE	NN
16	16	der	ART	ART
16	17	Speise	VVIMP	NN
16	18	auf	APPR	APPR
16	19	ein	ART	ART
16	20	Mal	NN	NN
16	21	mindern	ADJA	VVINF
16	22	und	KON	KON
16	23	die	ART	ART
16	24	Male	NN	NN
16	25	der	ART	ART
16	26	Speisung	NN	NN
16	27	mehren	VVFIN	VVFIN
16	28	so	ADV	ADV
16	29	dass	KOUS	KOUS
16	30	ihr	PPOSAT	PPER
16	31	zwischen	APPR	APPR
16	32	mittag	ADV	NN
16	33	und	KON	KON
16	34	abend	ADV	ADV
16	35	essen	VVINF	VVFIN
16	36	ein	ART	ART
16	37	Bissen	VVINF	NN
16	38	Brots	NN	NN
16	39	oder	KON	KON
16	40	etwas	PIS	ADV
16	41	anderes	ADV	PIS
16	42	nehmt	VVFIN	VVFIN
16	43	und	NE	KON
16	44	darauf	PAV	PAV
16	45	ein	ART	ART
16	46	Trunk	VVFIN	NN
16	47	Weins	NN	NN
16	48	mit	APPR	APPR
16	49	Wasser	VVIMP	NN
16	50	gemischt	VVPP	VVPP
16	51	auch	ADV	ADV
16	52	sollt	VMFIN	VMFIN
16	53	ihr	PPOSAT	PPER
16	54	vermeiden	VVFIN	VVFIN
16	55	grobes	ADJA	ADJA
16	56	und	KON	KON
16	57	schleimiges	ADJA	ADJA
16	58	Fleisch	VVIMP	NN
16	59	und	KON	KON
16	60	aller	PIAT	PIAT
16	61	hand	NN	NN
16	62	Fisch	NN	NN
16	63	und	KON	KON
16	64	alle	PIAT	PIAT
16	65	scharfe	NE	ADJA
16	66	Speisen	VVIMP	NN
16	67	als	KOKOM	KOKOM
16	68	Knoblauch	NN	NN
16	69	Zwiebel	VVIMP	NN
16	70	.	$.	$.
16	71	Lauch	NN	NN
16	72	und	KON	KON
16	73	hitzige	ADJA	ADJA
16	74	Würze	NN	NN
16	75	oder	KON	KON
16	76	Spezies	NE	NN
16	77	.	$.	$.
17	1	als	KOKOM	KOKOM
17	2	Pfeffer	VVIMP	NN
17	3	und	KON	KON
17	4	paradis	NN	NE
17	5	Körner	NE	NE
17	6	¶	$(	XY
17	7	euer	PPOSAT	PPOSAT
17	8	salzenes	NE	ADJA
17	9	.	$.	$.
17	10	Getränk	NE	NN
17	11	und	KON	KON
17	12	alle	PIAT	PIAT
17	13	Speisen	VVIMP	NN
17	14	sollen	VMFIN	VMFIN
17	15	mit	APPR	APPR
17	16	Essig	NN	NN
17	17	bereit	ADJD	ADJD
17	18	sein	VAINF	VAINF
17	19	.	$.	$.
18	1	auch	ADV	ADV
18	2	sollt	VMFIN	VMFIN
18	3	ihr	PPOSAT	PPER
18	4	vermeiden	VVFIN	VVFIN
18	5	süße	ADJA	ADJA
18	6	Speisen	VVIMP	NN
18	7	mit	APPR	APPR
18	8	Honig	NN	NN
18	9	zubereitet	ADJD	VVPP
18	10	.	$.	$.
19	1	¶	$(	XY
19	2	item	NE	ADV
19	3	allerlei	PIAT	PIAT
19	4	Früchte	NN	NN
19	5	sollt	NE	VMFIN
19	6	ihr	PPOSAT	PPER
19	7	vermeiden	VVFIN	VVINF
19	8	.	$.	$.
19	9	wann	PWAV	PWAV
19	10	durch	APPR	APPR
19	11	ungesunde	ADJA	ADJA
19	12	Luft	NN	NN
19	13	seien	VAFIN	VAFIN
19	14	sie	PPER	PPER
19	15	vergiftet	NE	VVPP
19	16	.	$.	$.
19	17	ausgenommen	NE	ADV
19	18	saure	ADJD	ADJA
19	19	Früchte	NN	NN
19	20	.	$.	$.
19	21	als	KOKOM	KOKOM
19	22	sauer	ADJD	ADJD
19	23	Kirschen	NN	NN
19	24	.	$.	$.
19	25	saure	ADJD	ADJA
19	26	Äpfel	NE	NN
19	27	und	KON	KON
19	28	malogrant	NN	ADJA
19	29	Äpfel	NE	NN
19	30	.	$.	$.
20	1	bittere	NE	ADJA
20	2	Mandelmilch	NN	NN
20	3	ist	VAFIN	VAFIN
20	4	bequem	ADJD	ADJD
20	5	zu	PTKZU	APPR
20	6	Bereitung	NE	NN
20	7	der	ART	ART
20	8	Speise	VVIMP	NN
20	9	.	$.	$.
20	10	sonst	ADV	ADV
20	11	alle	PIAT	PIAT
20	12	andere	ADJA	PIS
20	13	Milch	NN	NN
20	14	ist	VAFIN	VAFIN
20	15	schädlich	ADJD	ADJD
20	16	.	$.	$.
20	17	zu mal	ADV	APPR
20	18	den	NE	ART
20	19	müßigen	ADJA	ADJA
20	20	Menschen	VVFIN	NN
20	21	.	$.	$.
20	22	den	ART	PDS
20	23	bringt	VVFIN	VVFIN
20	24	sie	PPER	PPER
20	25	das	ART	ART
20	26	Fieber	VVIMP	NN
20	27	.	$.	$.
20	28	oder	KON	KON
20	29	den	ART	ART
20	30	kalten	ADJA	ADJA
20	31	Siechtag	NN	NN
20	32	.	$.	$.
20	33	und	KON	KON
20	34	verstört	NE	VVFIN
20	35	die	ART	ART
20	36	vier	CARD	CARD
20	37	Feuchtigkeiten	NN	NN
20	38	in	APPR	APPR
20	39	den	ART	ART
20	40	Tieren	NN	NN
20	41	¶	$(	XY
20	42	ihr	PPOSAT	PPER
20	43	sollt	NE	VMFIN
20	44	vermeiden	VVINF	VVFIN
20	45	Bad	NN	NE
20	46	.	$.	$.
21	1	und	KON	KON
21	2	alles	PIS	PIS
21	3	das	KOUS	PDS
21	4	hitzt	VVFIN	VVFIN
21	5	und	KON	KON
21	6	die	ART	ART
21	7	Schweißlöcher	NN	NN
21	8	öffnet	VVFIN	VVFIN
21	9	.	$.	$.
21	10	wann	PWAV	PWAV
21	11	sie	PPER	PPER
21	12	geöffnet	VVPP	VVPP
21	13	sind	VAFIN	VAFIN
21	14	so	ADV	ADV
21	15	schleuft	VVFIN	VVFIN
21	16	der	ART	ART
21	17	vergifteten	NE	ADJA
21	18	Luft	NN	NN
21	19	darin	ADV	PAV
21	20	und	KON	KON
21	21	vergiftigt	ADJD	VVFIN
21	22	den	ART	ART
21	23	Leichnam	NE	NN
21	24	und	KON	KON
21	25	zerstört	VVPP	VVFIN
21	26	die	ART	ART
21	27	natürlichen	ADJA	ADJA
21	28	und	KON	KON
21	29	lebendigen	ADJA	ADJA
21	30	Geister	VVFIN	NN
21	31	.	$.	$.
22	1	¶	$(	XY
22	2	Vor	APPR	APPR
22	3	allen	PIAT	PIAT
22	4	Dingen	NN	NN
22	5	sollt	NE	VMFIN
22	6	ihr	PPOSAT	PPER
22	7	unkeusch	ADJD	ADJD
22	8	und	KON	KON
22	9	Leibs	NN	NN
22	10	Wollust	NN	NN
22	11	fliehen	VVINF	VVINF
22	12	.	$.	$.
23	1	¶	$(	XY
23	2	besonder	NN	ADJD
23	3	ist	VAFIN	VAFIN
23	4	mein	PPOSAT	PPOSAT
23	5	Rat	NN	NN
23	6	dass	KOUS	KOUS
23	7	ihr	PPOSAT	PPER
23	8	in	APPR	APPR
23	9	den	ART	ART
23	10	Monden	NN	NN
23	11	zu	PTKZU	APPR
23	12	der	ART	ART
23	13	Adern	NN	NN
23	14	lasst	VVFIN	VVFIN
23	15	.	$.	$.
23	16	und	KON	KON
23	17	doch	ADV	ADV
23	18	wenig	PIS	PIS
23	19	als	KOKOM	KOKOM
23	20	.	$.	ART
23	21	6	NE	CARD
23	22	oder	KON	KON
23	23	8.	NE	ADJA
23	24	Lot	NN	NN
23	25	Bluts	NN	NN
23	26	und	KON	KON
23	27	tut	VVFIN	VVFIN
23	28	das	KOUS	ART
23	29	drei	CARD	CARD
23	30	oder	KON	KON
23	31	3	XY	CARD
23	32	Tage	NN	NN
23	33	vor	APPR	PTKVZ
23	34	oder	KON	KON
23	35	nach	APPR	APPR
23	36	dem	NE	ART
23	37	Vollmond	NE	NN
23	38	und	KON	KON
23	39	gemeiniglich	NE	ADJD
23	40	von	XY	APPR
23	41	der	ART	ART
23	42	Leber	NN	NN
23	43	oder	KON	KON
23	44	an	APPR	APPR
23	45	dem	ART	ART
23	46	rechten	ADJA	ADJA
23	47	Arm	ADJA	NN
23	48	zu	PTKZU	APPR
23	49	Gezeiten	NN	NN
23	50	von	XY	APPR
23	51	der	ART	ART
23	52	Milz	NN	NN
23	53	Ader	NN	NN
23	54	an	NE	APPR
23	55	der	ART	ART
23	56	linken	ADJA	ADJA
23	57	Hand	VAFIN	NN
23	58	und	KON	KON
23	59	zuweilen	ADV	ADV
23	60	von	XY	APPR
23	61	der	ART	ART
23	62	Median	NE	NN
23	63	in	APPR	APPR
23	64	dem	NE	ART
23	65	Arm	ADJD	NN
23	66	darnach	PAV	ADV
23	67	ihr	PPOSAT	PPER
23	68	empfindet	NE	VVFIN
23	69	Stechung	NE	NN
23	70	und	KON	KON
23	71	Lauf	NN	NN
23	72	der	ART	ART
23	73	Feuchtigkeit	NN	NN
23	74	an	NE	APPR
23	75	diesem	PDAT	PDAT
23	76	oder	KON	KON
23	77	anderen	NN	PIS
23	78	Ende	NN	NN
23	79	.	$.	$.
23	80	wann	PWAV	PWAV
23	81	diese	PDAT	PDAT
23	82	Wallung	NE	NN
23	83	des	ART	ART
23	84	Geblüts	NN	NN
23	85	mag	VMFIN	VMFIN
23	86	nicht	PTKNEG	PTKNEG
23	87	mehr	NE	ADV
23	88	ausgelöscht	NE	VVPP
23	89	werden	VAFIN	VAFIN
23	90	dann	ADV	ADV
23	91	durch	APPR	APPR
23	92	künstliche	ADJA	ADJA
23	93	und	KON	KON
23	94	gebührliche	ADJA	ADJA
23	95	Aderlassen	NN	NN
23	96	.	$.	$.
24	1	¶	$(	XY
24	2	zu	APPR	APPR
24	3	dem	NE	ART
24	4	anderen	ADJA	PIAT
24	5	Mal	NN	NN
24	6	ist	VAFIN	VAFIN
24	7	zu	PTKZU	PTKZU
24	8	merken	VVINF	VVINF
24	9	.	$.	$.
25	1	dass	ART	KOUS
25	2	ihr	PPOSAT	PPER
25	3	alle	PIAT	PIAT
25	4	Nacht	NN	NN
25	5	so	ADV	ADV
25	6	ihr	PPOSAT	PPER
25	7	schlafen	ADJA	VVINF
25	8	sollt	VVPP	VMFIN
25	9	nehmen	VVFIN	VVFIN
25	10	ein	XY	ART
25	11	Löffel	NN	NN
25	12	Weins	NN	NN
25	13	oder	KON	KON
25	14	zwei	NE	CARD
25	15	mit	APPR	APPR
25	16	Rosen	NN	NN
25	17	Wasser	VVIMP	NN
25	18	mit	APPR	APPR
25	19	ein	ART	ART
25	20	wenig	PIS	PIAT
25	21	boli	NE	NE
25	22	armenici	NE	NE
25	23	all	PIAT	PIAT
