SID	TID	TOKEN	POS1	POS2
4	45	/	$(	$(
4	46	auch	ADV	ADV
4	47	dem	ART	ART
4	48	Gewissen	NN	NN
4	49	nach	APPR	APPO
4	50	/	$(	$(
4	51	wird	VAFIN	VAFIN
4	52	ein	ART	ART
4	53	jeder	PIAT	PIS
4	54	schuldig	ADJD	ADJD
4	55	und	KON	KON
4	56	verbunden	VVPP	ADJD
4	57	seyn	VVINF	VVINF
4	58	;	$.	$.
4	59	welche	PWAT	PRELS
4	60	Arzneien	NN	NN
4	61	auch	ADV	ADV
4	62	jedermann	PIS	PIS
4	63	mehrenteils	ADV	ADV
4	64	in	APPR	APPR
4	65	seinem	PPOSAT	PPOSAT
4	66	Gärtlein	NN	NN
4	67	hat	VAFIN	VAFIN
4	68	/	$(	$(
4	69	oder	KON	KON
4	70	haben	VAFIN	VAINF
4	71	kann	VMFIN	VMFIN
4	72	/	$(	$(
4	73	oder	KON	KON
4	74	da	ADV	ADV
4	75	sonst	ADV	ADV
4	76	leicht	ADJD	ADJD
4	77	ohne	APPR	APPR
4	78	sonderliche	ADJA	ADJA
4	79	Unkosten	NN	NN
4	80	zuweg e 	ADV	ADV
4	81	bringen	VVINF	VVINF
4	82	wird	VAFIN	VAFIN
4	83	/	$(	$(
4	84	auf	APPR	APPR
4	85	dass	KOUS	KOUS
4	86	doch	ADV	ADV
4	87	einiger	PIAT	PIAT
4	88	massen	NN	ADJA
4	89	anderer	ADJA	PIAT
4	90	unordentlicher	ADJA	ADJA
4	91	selbst	PDS	ADV
4	92	zu	PTKZU	APPR
4	93	Unrecht	NN	NN
4	94	erdichteter	ADJA	ADJA
4	95	Gebrauch	NN	NN
4	96	verhindert	VVPP	VVPP
4	97	werden	VAINF	VAINF
4	98	möge	VMFIN	VMFIN
4	99	.	$.	$.
5	1	wer	PWS	PWS
5	2	demnach	PAV	PAV
5	3	auch	ADV	ADV
5	4	sei	VAFIN	VAFIN
5	5	/	$(	$(
5	6	der	ART	ART
5	7	unvermögend	ADJD	ADJD
5	8	/	$(	$(
5	9	und	KON	KON
5	10	in	APPR	APPR
5	11	Pestnot	NN	NN
5	12	gerät	VVFIN	VVFIN
5	13	/	$(	$(
5	14	nächst	APPR	APPR
5	15	andächtigem	ADJA	ADJA
5	16	Gebet	NN	NN
5	17	zu	PTKZU	APPR
5	18	GOtt	NN	NN
5	19	/	$(	$(
5	20	dass	KOUS	KOUS
5	21	er	PPER	PPER
5	22	wolle	VMFIN	VMFIN
5	23	schonen	VVINF	VVINF
5	24	/	$(	$(
5	25	und	KON	KON
5	26	nicht	PTKNEG	PTKNEG
5	27	nach	APPR	APPR
5	28	Verdienst	NN	NN
5	29	ablohnen	VVINF	VVINF
5	30	/	$(	$(
5	31	bereite	VVFIN	VVFIN
5	32	dieses	PDAT	PDAT
5	33	/	$(	$(
5	34	oder	KON	KON
5	35	lasse	VVFIN	VVFIN
5	36	es	PPER	PPER
5	37	bereiten	VVFIN	VVINF
5	38	/	$(	$(
5	39	nämlich	ADV	ADV
5	40	:	$.	$.
5	41	(	$(	$(
5	42	1.	ADJA	ADV
5	43	)	$(	$(
6	1	nimm	NE	VVIMP
6	2	Alantwurzel	NN	NN
6	3	/	$(	$(
6	4	Großklettenwurzel	NE	NN
6	5	/	$(	$(
6	6	Liebstöckelwurzel	NE	NN
6	7	/	$(	$(
6	8	Schöllkrautwurzel	NE	NN
6	9	/	$(	$(
6	10	Pestilenzwurzel	NE	NN
6	11	/	$(	$(
6	12	(	$(	$(
6	13	oder	KON	KON
6	14	Neunkraftwurzel	NN	NN
6	15	)	$(	$(
6	16	Angelikawurzel	NE	NN
6	17	/	$(	$(
6	18	Wacholderbeeren	NN	NN
6	19	/	$(	$(
6	20	jedes	PIAT	PIAT
6	21	1.	ADJA	ADJA
6	22	Lot	NN	NN
6	23	/	$(	$(
6	24	diese	PDAT	PDAT
6	25	alle	PIAT	PIS
6	26	/	$(	$(
6	27	oder	KON	KON
6	28	doch	ADV	ADV
6	29	die	ART	ART
6	30	meisten	PIAT	PIS
6	31	/	$(	$(
6	32	welche	PWAT	PRELS
6	33	du	PPER	PPER
6	34	haben	VAFIN	VAINF
6	35	kannst	VMFIN	VMFIN
6	36	/	$(	$(
6	37	schneide	VVFIN	VVFIN
6	38	klein	ADJD	ADJD
6	39	/	$(	$(
6	40	gieße	NN	VVFIN
6	41	guten	ADJA	ADJA
6	42	starken	ADJA	ADJA
6	43	Weinessig	NN	NN
6	44	darauf	PAV	PAV
6	45	/	$(	$(
6	46	in	APPR	APPR
6	47	einem	ART	ART
6	48	irdenen	ADJA	ADJA
6	49	/	$(	$(
6	50	oder	KON	KON
6	51	gläsernen	ADJA	ADJA
6	52	Gefäß	NN	NN
6	53	oder	KON	KON
6	54	Flaschen	NN	NN
6	55	/	$(	$(
6	56	3.	ADJA	ADJA
6	57	oder	KON	KON
6	58	4.	ADJA	ADJA
6	59	zwerch	ADV	ADJA
6	60	Finger	NN	NN
6	61	hoch	ADJD	PTKVZ
6	62	/	$(	$(
6	63	vermache	VVIMP	VVFIN
6	64	das	ART	ART
6	65	Gefäß	NN	NN
6	66	oben	ADV	ADV
6	67	wohl	ADV	ADV
6	68	/	$(	$(
6	69	und	KON	KON
6	70	stelle	VVFIN	VVFIN
6	71	es	PPER	PPER
6	72	auf	APPR	APPR
6	73	den	ART	ART
6	74	Ofen	NN	NN
6	75	/	$(	$(
6	76	nicht	PTKNEG	PTKNEG
6	77	zu	PTKZU	PTKA
6	78	warm	ADJD	ADJD
6	79	/	$(	$(
6	80	auch	ADV	ADV
6	81	nicht	PTKNEG	PTKNEG
6	82	zu	PTKZU	PTKA
6	83	kalt	ADJD	ADJD
6	84	/	$(	$(
6	85	rühre	VVFIN	VVFIN
6	86	es	NE	PPER
6	87	alle	PIAT	PIAT
6	88	Morgen	NN	NN
6	89	untereinander	ADV	ADV
6	90	/	$(	$(
6	91	und	KON	KON
6	92	wenn	KOUS	KOUS
6	93	es	PPER	PPER
6	94	drey	CARD	ADJA
6	95	oder	KON	KON
6	96	vier	CARD	CARD
6	97	Tage	NN	NN
6	98	gestanden	VVPP	VVPP
6	99	/	$(	$(
6	100	so	ADV	ADV
6	101	gieße	NN	VVFIN
6	102	den	ART	ART
6	103	Essig	NN	NN
6	104	ab	PTKVZ	PTKVZ
6	105	/	$(	$(
6	106	es	PPER	PPER
6	107	kann	VMFIN	VMFIN
6	108	auch	ADV	ADV
6	109	wohl	ADV	ADV
6	110	unabgegossen	ADJD	ADJD
6	111	alles	PIS	PIS
6	112	beisammen	PTKVZ	ADV
6	113	gelassen	VVPP	VVPP
6	114	werden	VAINF	VAINF
6	115	.	$.	$.
7	1	von	APPR	APPR
7	2	diesem	PDAT	PDAT
7	3	Pestessig	NN	NN
7	4	brauche	VVFIN	VVFIN
7	5	ein	ART	ART
7	6	Erwachsenes	NN	NN
7	7	jeglichen	PIAT	PIAT
7	8	Morgen	NN	NN
7	9	zur	APPRART	APPRART
7	10	Verwahrung	NN	NN
7	11	vor	APPR	APPR
7	12	der	ART	ART
7	13	Pest	NN	NN
7	14	einen	ART	ART
7	15	halben	ADJA	ADJA
7	16	Löffel	NN	NN
7	17	voll	ADJD	ADJD
7	18	/	$(	$(
7	19	und	KON	KON
7	20	so	ADV	ADV
7	21	er	PPER	PPER
7	22	es	PPER	PPER
7	23	wohl	ADV	ADV
7	24	vertrüge	VVFIN	VVFIN
7	25	/	$(	$(
7	26	wohl	ADV	ADV
7	27	einem	ART	ART
7	28	ganzen	ADJA	ADJA
7	29	Löffel	NN	NN
7	30	voll	ADJD	ADJD
7	31	/	$(	$(
7	32	oder	KON	KON
7	33	nehme	VVFIN	VVFIN
7	34	früh	ADJA	ADJD
7	35	etliche	PIAT	PIAT
7	36	Stücklein	NN	NN
7	37	der	ART	ART
7	38	im	APPRART	APPRART
7	39	Pestessig	NN	NN
7	40	liegenden	ADJA	ADJA
7	41	Wurzeln	NN	NN
7	42	/	$(	$(
7	43	und	KON	KON
7	44	genieße	VVFIN	VVFIN
7	45	sie	PPER	PPER
7	46	.	$.	$.
8	1	Uber	APPR	NN
8	2	diß	PDS	ADJD
8	3	kann	VMFIN	VMFIN
8	4	bisweilen	ADV	ADV
8	5	früh	ADJD	ADJD
8	6	etliche	PIAT	PIAT
8	7	Bissen	VVFIN	NN
8	8	Brot	NN	NN
8	9	mit	APPR	APPR
8	10	Butter	NN	NN
8	11	/	$(	$(
8	12	Salz	NN	NN
8	13	und	KON	KON
8	14	frischer	ADJA	ADJA
8	15	Rauten	NN	NN
8	16	genommen	VVPP	VVPP
8	17	werden	VAINF	VAINF
8	18	.	$.	$.
9	1	denn	KON	KON
9	2	des	ART	ART
9	3	Salzes	NN	NN
9	4	Kraft	NN	NN
9	5	in	APPR	APPR
9	6	der	ART	ART
9	7	Pest	NN	NN
9	8	auch	ADV	ADV
9	9	nicht	PTKNEG	PTKNEG
9	10	gering	ADJA	ADJD
9	11	zu	PTKZU	PTKZU
9	12	achten	ADJA	VVINF
9	13	.	$.	$.
10	1	wer	PWS	PWS
10	2	ausgehen	VVINF	VVINF
10	3	will	VMFIN	VMFIN
10	4	/	$(	$(
10	5	oder	KON	KON
10	6	soll	VMFIN	VMFIN
10	7	/	$(	$(
10	8	esse	VVFIN	VVFIN
10	9	zuvor	ADV	ADV
10	10	etwas	PIS	ADV
10	11	/	$(	$(
10	12	bestreiche	ADJA	VVFIN
10	13	Mund	NN	NN
10	14	und	KON	KON
10	15	Nasen	NN	NN
10	16	mit	APPR	APPR
10	17	dem	ART	ART
10	18	Pestessig	NN	NN
10	19	:	$.	$(
10	20	item	NN	ADV
10	21	kann	VMFIN	VMFIN
10	22	ein	ART	ART
10	23	Schwämmlein	NN	NN
10	24	in	APPR	APPR
10	25	denselbigen	PDAT	ADJA
10	26	eintauchen	VVINF	VVINF
10	27	und	KON	KON
10	28	im	APPRART	APPRART
10	29	Mund	NN	NN
10	30	halten	VVINF	VVINF
10	31	.	$.	$.
11	1	2.	ADJA	CARD
12	1	wer	PWS	PWS
12	2	aber	ADV	ADV
12	3	den	ART	ART
12	4	innerlichen	ADJA	ADJA
12	5	Gebrauch	NN	NN
12	6	des	ART	ART
12	7	Pestessigs	NN	NN
12	8	nicht	PTKNEG	PTKNEG
12	9	wohl	ADV	ADV
12	10	vertrüge	VVFIN	VVFIN
12	11	/	$(	$(
12	12	wie	KOKOM	KOUS
12	13	denn	KON	ADV
12	14	nicht	PTKNEG	PTKNEG
12	15	ein	ART	ART
12	16	jedwede	PIAT	PIAT
12	17	Arznei	NN	NN
12	18	mit	APPR	APPR
12	19	Essig	NN	NN
12	20	bereitet	VVFIN	VVPP
12	21	verträgt	VVFIN	VVFIN
12	22	/	$(	$(
12	23	der	ART	PRELS
12	24	bereite	VVFIN	VVFIN
12	25	oder	KON	KON
12	26	lasse	VVFIN	VVFIN
12	27	sich	PRF	PRF
12	28	bereiten	VVFIN	VVFIN
12	29	diese	PDAT	PDAT
12	30	Latwerge	NN	NN
12	31	:	$.	$(
12	32	nimm	NE	VVIMP
12	33	Wacholderbeersaft	NN	NN
12	34	8.	ADJA	ADJA
12	35	Lot	NN	NN
12	40	/	$(	$(
12	41	Knoblauch	NN	NN
12	42	/	$(	$(
12	43	und	KON	KON
12	44	frische	ADJA	ADJA
12	45	Rauten	NN	NN
12	46	/	$(	$(
12	47	jedes	PIS	PIAT
12	48	4.	ADJA	ADJA
12	49	Lot	NN	NN
12	50	/	$(	$(
12	51	diese	PDAT	PDAT
12	52	zwei	CARD	CARD
12	53	klein	ADJD	ADJD
12	54	geschnitten	VVPP	VVPP
12	55	stoß	VVIMP	VVIMP
12	56	oder	KON	KON
12	57	reibe	VVFIN	VVFIN
12	58	es	PPER	PPER
12	59	zusammen	ADV	ADV
12	60	in	APPR	APPR
12	61	irrdenen	ADJA	ADJA
12	62	Gefäßen	NN	NN
12	63	mit	APPR	APPR
12	64	Zugießen	VVINF	NN
12	65	ein	ART	ART
12	66	wenig	PIS	PIAT
12	67	guten	ADJA	ADJA
12	68	Weinessigs	NN	NN
12	69	/	$(	$(
12	70	bis	VVFIN	KOUS
12	71	es	PPER	PPER
12	72	zu	PTKZU	APPR
12	73	einer	ART	ART
12	74	Latwerge	NN	NN
12	75	/	$(	$(
12	76	oder	KON	KON
12	77	fast	ADV	ADV
12	78	dicken	ADJA	ADJA
12	79	Brei	NN	NN
12	80	werde	VAFIN	VAFIN
12	81	/	$(	$(
12	82	verwahre	VVFIN	VVFIN
12	83	es	PPER	PPER
12	84	wohl	ADV	ADV
12	85	in	APPR	APPR
12	86	einem	ART	ART
12	87	irdenen	ADJA	ADJA
12	88	Gefäß	NN	NN
12	89	oder	KON	KON
12	90	Glas	NE	NN
12	91	.	$.	$.
13	1	und	KON	KON
13	2	hiervon	PAV	PAV
13	3	nehme	VVFIN	VVFIN
13	4	ein	ART	ART
13	5	Erwachsener	NN	NN
13	6	alle	PIAT	PIAT
13	7	Morgen	NN	NN
13	8	zwei	CARD	CARD
13	9	Messerspitzen	NN	NN
13	10	zur	APPRART	APPRART
13	11	Bewahrung	NN	NN
13	12	vor	APPR	APPR
13	13	der	ART	ART
13	14	Pest	NN	NN
13	15	/	$(	$(
13	16	ein	ART	ART
13	17	Unerwachsener	NN	NN
13	18	eine	ART	ART
13	19	Messerspitze	NN	NN
13	20	.	$.	$.
14	1	wohl	ADV	ADV
14	2	aber	ADV	ADV
14	3	tut	VVFIN	VVFIN
14	4	der	ART	ART
14	5	Hausvater	NN	NN
14	6	/	$(	$(
14	7	der	ART	ART
14	8	vor	APPR	APPR
14	9	sich	PRF	PRF
14	10	und	KON	KON
14	11	die	ART	ART
14	12	Seinigen	PPOSAT	NN
14	13	beide	PIAT	PIAT
14	14	Arzneien	NN	NN
14	15	/	$(	$(
14	16	Pestessig	NN	NN
14	17	und	KON	KON
14	18	Pestlatwerge	NN	NN
14	19	bereitet	VVFIN	VVFIN
14	20	/	$(	$(
14	21	und	KON	KON
14	22	einen	ART	ART
14	23	Morgen	NN	NN
14	24	innerlich	ADJD	ADJD
14	25	von	APPR	APPR
14	26	den	ART	ART
14	27	Pestessig	NN	NN
14	28	/	$(	$(
14	29	den	ART	ART
14	30	anderen	ADJA	PIAT
14	31	Morgen	NN	NN
14	32	von	APPR	APPR
14	33	der	ART	ART
14	34	Pestlatwerge	NN	NN
14	35	braucht	VVFIN	VVFIN
14	36	/	$(	$(
14	37	und	KON	KON
14	38	mit	APPR	APPR
14	39	diesen	PDAT	PDAT
14	40	beiden	PIAT	PIAT
14	41	Arzneien	NN	NN
14	42	alle	PIAT	PIAT
14	43	Morgen	NN	NN
14	44	solcher	PIAT	PIAT
14	45	massen	NN	NN
14	46	umwechselt	VVFIN	VVFIN
14	47	.	$.	$.
15	1	3.	ADJA	ADJA
15	2	ferner	ADV	ADJD
15	3	ist	VAFIN	VAFIN
15	4	auch	ADV	ADV
15	5	zur	APPRART	APPRART
15	6	Verwahrung	NN	NN
15	7	vor	APPR	APPR
15	8	der	ART	ART
15	9	Pest	NN	NN
15	10	nötig	ADJD	ADJD
15	11	/	$(	$(
15	12	dass	KOUS	KOUS
15	13	/	$(	$(
15	14	der	ART	ART
15	15	noch	ADV	ADV
15	16	gesund	ADJD	ADJD
15	17	ist	VAFIN	VAFIN
15	18	/	$(	$(
15	19	zu	PTKZU	APPR
15	20	solcher	PIAT	PIAT
15	21	Zeit	NN	NN
15	22	wohl	ADV	ADV
15	23	esse	VVFIN	VVFIN
15	24	/	$(	$(
15	25	und	KON	KON
15	26	zwar	ADV	ADV
15	27	zu	PTKZU	APPR
15	28	seiner	PPOSAT	PPOSAT
15	29	Sättigung	NN	NN
15	30	was	PWS	PIS
15	31	ihm	PPER	PPER
15	32	schmeckt	VVFIN	VVFIN
15	33	/	$(	$(
15	34	und	KON	KON
15	35	Gott	NN	NN
15	36	beschert	VVPP	VVFIN
15	37	/	$(	$(
15	38	da	ADV	ADV
15	39	denn	KON	ADV
15	40	bei	APPR	APPR
15	41	Tisch	NN	NN
15	42	geriebener	VVPP	ADJA
15	43	Meerrettich	NE	NN
15	44	/	$(	$(
15	45	oder	KON	KON
15	46	Kren	NN	NN
15	47	mit	APPR	APPR
15	48	Weinessig	NN	NN
15	49	/	$(	$(
15	50	und	KON	KON
15	51	ein	ART	ART
15	52	wenig	PIS	PIAT
15	53	Safran	NN	NN
15	54	soll	VMFIN	VMFIN
15	55	zum	APPRART	APPRART
15	56	Eintauchen	NN	NN
15	57	genutzt	VVPP	VVPP
15	58	werden	VAINF	VAINF
15	59	.	$.	$.
16	1	sehe	VVFIN	VVFIN
16	2	auch	ADV	ADV
16	3	zu	PTKZU	PTKVZ
16	4	/	$(	$(
16	5	dass	KOUS	KOUS
16	6	/	$(	$(
16	7	wo	PWAV	PWAV
16	8	nur	ADV	ADV
16	9	einige	PIAT	PIAT
16	10	Möglichkeit	NE	NN
16	11	des	ART	ART
16	12	Armuts	NN	NN
16	13	wegen	APPR	APPO
16	14	/	$(	$(
16	15	sich	PRF	PRF
16	16	gutes	ADJD	ADJA
16	17	starkes	ADJD	ADJA
16	18	Bier	NN	NN
16	19	zu	PTKZU	PTKZU
16	20	trinken	VVINF	VVINF
16	21	schaffe	VVFIN	VVFIN
16	22	:	$.	$(
16	23	aber	KON	KON
16	24	allen	PIAT	PIAT
16	25	Branntweins	NN	NN
16	26	sich	PRF	PRF
16	27	enthalte	VVFIN	VVFIN
16	28	/	$(	$(
16	29	item	ADV	ADV
16	30	in	APPR	APPR
16	31	aller	PIAT	PIAT
16	32	seiner	PPOSAT	PPOSAT
16	33	Armut	NN	NN
16	34	sich	PRF	PRF
16	35	/	$(	$(
16	36	so	ADV	ADV
16	37	viel	ADV	ADV
16	38	möglich	ADJD	ADJD
16	39	/	$(	$(
16	40	bemühe	VVFIN	VVFIN
16	41	/	$(	$(
16	42	ein	ART	ART
16	43	freudiges	ADJA	ADJA
16	44	Herz	NN	NN
16	45	zu	PTKZU	PTKZU
16	46	haben	VAFIN	VAINF
16	47	/	$(	$(
16	48	und	KON	KON
16	49	entschlage	VVFIN	VVFIN
16	50	sich	PRF	PRF
16	51	aller	PIAT	PIAT
16	52	Traurigkeit	NN	NN
16	53	/	$(	$(
16	54	Schreckens	NN	NN
16	55	/	$(	$(
16	56	und	KON	KON
16	57	glaube	VVFIN	VVFIN
16	58	festiglich	PTKVZ	ADJD
16	59	/	$(	$(
16	60	er	PPER	PPER
16	61	werde	VAFIN	VAFIN
16	62	von	APPR	APPR
16	63	der	ART	ART
16	64	Pest	NN	NN
16	65	nicht	PTKNEG	PTKNEG
16	66	angefallen	VVPP	VVPP
16	67	werden	VAINF	VAINF
16	68	/	$(	$(
16	69	Gott	NN	NN
16	70	werde	VAFIN	VAFIN
16	71	ihn	PPER	PPER
16	72	behüten	VVINF	VVINF
16	73	:	$.	$(
16	74	meide	VVFIN	VVFIN
16	75	aber	ADV	ADV
16	76	auch	ADV	ADV
16	77	die	ART	ART
16	78	Gelegenheit	NN	NN
16	79	/	$(	$(
16	80	und	KON	KON
16	81	gehe	VVFIN	VVFIN
16	82	nicht	PTKNEG	PTKNEG
16	83	an	APPR	APPR
16	84	unrichtige	ADJA	ADJA
16	85	Orte	NN	NN
16	86	/	$(	$(
16	87	und	KON	KON
16	88	lasse	VVFIN	VVFIN
16	89	nichts	PIS	PIAT
16	90	Verdächtiges	ADJA	NN
16	91	in	APPR	APPR
16	92	sein	VAINF	PPOSAT
16	93	Haus	NN	NN
16	94	eintragen	VVINF	VVINF
16	95	oder	KON	KON
16	96	kommen	VVFIN	VVINF
16	97	.	$.	$.
17	1	im	APPRART	APPRART
17	2	Hause	NN	NN
17	3	oder	KON	KON
17	4	Stuben	NN	NN
17	5	soll	VMFIN	VMFIN
17	6	täglich	ADJD	ADJD
17	7	früh	ADJD	ADJD
17	8	und	KON	KON
17	9	abends	NN	ADV
17	10	geräuchert	VVPP	VVPP
17	11	werden	VAINF	VAINF
17	12	/	$(	$(
17	13	mit	APPR	APPR
17	14	Schwefel	NN	NN
17	15	/	$(	$(
17	16	und	KON	KON
17	17	so	ADV	ADV
17	18	diesen	PDAT	PDAT
17	19	jemand	PIS	PIS
17	20	nicht	PTKNEG	PTKNEG
17	21	vertrüge	VVFIN	VVFIN
17	22	/	$(	$(
17	23	mit	APPR	APPR
17	24	Wermut	NN	NN
17	25	/	$(	$(
17	26	Wacholderbeeren	NN	NN
17	27	/	$(	$(
17	28	mit	APPR	APPR
17	29	Pech	NN	NN
17	30	/	$(	$(
17	31	mit	APPR	APPR
17	32	Harz	NE	NN
17	33	/	$(	$(
17	34	und	KON	KON
17	35	lasse	VVFIN	VVFIN
17	36	den	ART	ART
17	37	Wind	NN	NN
17	38	/	$(	$(
17	39	wenn	KOUS	KOUS
17	40	er	PPER	PPER
17	41	stark	ADJD	ADJD
17	42	weht	VVFIN	VVFIN
17	43	/	$(	$(
17	44	wohl	ADV	ADV
17	45	durchs	APPRART	APPRART
17	46	Haus	NN	NN
17	47	gehen	VVINF	VVINF
17	48	/	$(	$(
17	49	sonderlich	ADJD	ADJD
17	50	wenn	KOUS	KOUS
17	51	der	ART	ART
17	52	Nordwind	NN	NN
17	53	weht	VVFIN	VVFIN
17	54	.	$.	$.
18	1	die	ART	ART
18	2	Fenster	NN	NN
18	3	lasse	VVFIN	VVFIN
18	4	nach	APPR	APPR
18	5	dem	ART	ART
18	6	Räuchern	NN	NN
18	7	etwas	PIS	ADV
18	8	öffnen	VVINF	VVINF
18	9	/	$(	$(
18	10	damit	PAV	KOUS
18	11	der	ART	ART
18	12	übrige	ADJA	ADJA
18	13	Dunst	NN	NN
18	14	und	KON	KON
18	15	Dampf	NN	NN
18	16	sich	PRF	PRF
18	17	verlieren	VVINF	VVINF
18	18	möge	VMFIN	VMFIN
18	19	.	$.	$.
19	1	kann	VMFIN	VMFIN
19	2	es	PPER	PPER
19	3	der	ART	ART
19	4	Hausvater	NN	NN
19	5	haben	VAFIN	VAINF
19	6	/	$(	$(
19	7	so	ADV	ADV
19	8	lasse	VVFIN	VVFIN
19	9	er	PPER	PPER
19	10	fast	ADV	ADV
19	11	stets	ADV	ADV
19	12	ein	ART	ART
19	13	mäßiges	ADJA	ADJA
19	14	Feuer	NN	NN
19	15	in	APPR	APPR
19	16	der	ART	ART
19	17	Küche	NN	NN
19	18	unterhalten	VVPP	VVINF
19	19	/	$(	$(
19	20	wobei	PWAV	PWAV
19	21	die	ART	ART
19	22	Hausgenossen	NN	NN
19	23	sich	PRF	PRF
19	24	oft	ADV	ADV
19	25	befinden	VVFIN	VVINF
19	26	mögen	VMFIN	VMFIN
19	27	.	$.	$.
20	1	und	KON	KON
20	2	hüte	VVFIN	VVFIN
20	3	sich	PRF	PRF
20	4	ja	ADV	ADV
20	5	zu	PTKZU	APPR
20	6	solcher	PIAT	PIAT
20	7	betrübten	VVFIN	ADJA
20	8	und	KON	KON
20	9	gefährlichen	ADJA	ADJA
20	10	Zeit	NN	NN
20	11	jedermann	PIS	PIS
20	12	für	APPR	APPR
20	13	Baden	NN	NE
20	14	/	$(	$(
20	15	Purgieren	NE	NN
20	16	/	$(	$(
20	17	Aderlassen	NN	NN
20	18	/	$(	$(
20	19	Schröpfen	NN	NN
20	20	/	$(	$(
20	21	welches	PRELS	PWS
20	22	alles	PIS	PIS
20	23	zu	PTKZU	PTKZU
20	24	unterlassen	VVINF	VVINF
20	25	:	$.	$(
20	26	hingegen	ADV	ADV
20	27	aber	ADV	ADV
20	28	schwitze	VVFIN	VVFIN
20	29	jedweder	PIAT	PIS
20	30	/	$(	$(
20	31	der	ART	PRELS
20	32	noch	ADV	ADV
20	33	gesund	ADJD	ADJD
20	34	ist	VAFIN	VAFIN
20	35	/	$(	$(
20	36	wöchentlich	ADJD	ADJD
20	37	ein	ART	ART
20	38	Mal	NN	NN
20	39	/	$(	$(
