SID	TID	TOKEN	POS1	POS2
6	11	diesen	PDAT	PDAT
6	12	Worten	NN	NN
6	13	.	$.	$.
7	1	mein	PPOSAT	PPOSAT
7	2	Kind	NN	NN
7	3	/	$(	$(
7	4	wann	PWAV	PWAV
7	5	du	PTKZU	PPER
7	6	krank	ADJD	ADJD
7	7	bist	VAFIN	VAFIN
7	8	/	$(	$(
7	9	so	ADV	ADV
7	10	verachte	VVFIN	VVFIN
7	11	dies	PDS	PDS
7	12	nicht	PTKNEG	PTKNEG
7	13	/	$(	$(
7	14	sondern	KON	KON
7	15	bitte	ADV	VVFIN
7	16	den	ART	ART
7	17	Herrn	NN	NN
7	18	/	$(	$(
7	19	so	ADV	ADV
7	20	wird	VAFIN	VAFIN
7	21	er	PPER	PPER
7	22	dich	PPER	PPER
7	23	gesund	ADJD	ADJD
7	24	machen	VVINF	VVINF
7	25	/	$(	$(
7	26	lass	VVFIN	ADJD
7	27	von	APPR	APPR
7	28	der	ART	ART
7	29	Sünde	NN	NN
7	30	/	$(	$(
7	31	und	KON	KON
7	32	mache	VVFIN	VVFIN
7	33	deine	PPOSAT	PPOSAT
7	34	Hände	NN	NN
7	35	unsträflich	ADJD	ADJD
7	36	/	$(	$(
7	37	und	KON	KON
7	38	reinige	VVFIN	VVFIN
7	39	das	ART	ART
7	40	Herz	NN	NN
7	41	von	APPR	APPR
7	42	aller	PIAT	PIAT
7	43	Missetat	NN	NN
7	44	/	$(	$(
7	45	opfer	NN	VVFIN
7	46	süßen	ADJA	ADJA
7	47	Geruch	NN	NN
7	48	/	$(	$(
7	49	und	KON	KON
7	50	Semmel	NN	NN
7	51	/	$(	$(
7	52	und	KON	KON
7	53	gedenk	VVIMP	VVFIN
7	54	Opfer	NN	NN
7	55	/	$(	$(
7	56	und	KON	KON
7	57	gib	VVIMP	VVIMP
7	58	ein	ART	ART
7	59	fettes	ADJD	ADJA
7	60	Opfer	NN	NN
7	61	/	$(	$(
7	62	als	KOKOM	KOKOM
7	63	müssest	VVFIN	VMFIN
7	64	du	PPER	PPER
7	65	davon	PAV	PAV
7	66	/	$(	$(
7	67	Darnach	PAV	ADV
7	68	lass	VVFIN	ADJD
7	69	den	ART	ART
7	70	Arzt	NN	NN
7	71	zu	PTKZU	APPR
7	72	dir	PPER	PRF
7	73	/	$(	$(
7	74	denn	KON	KON
7	75	der	ART	ART
7	76	Herr	NN	NN
7	77	hat	VAFIN	VAFIN
7	78	ihn	PPER	PPER
7	79	geschaffen	VVPP	VVPP
7	80	/	$(	$(
7	81	und	KON	KON
7	82	lass	ART	ADJD
7	83	ihn	PPER	PPER
7	84	nicht	PTKNEG	PTKNEG
7	85	von	APPR	APPR
7	86	dir	PPER	PRF
7	87	/	$(	$(
7	88	weil	KOUS	KOUS
7	89	du	PTKZU	PPER
7	90	seiner	VAINF	PPOSAT
7	91	doch	ADV	ADV
7	92	bedarfst	ADJD	VVFIN
7	93	.	$.	$.
8	1	es	PPER	PPER
8	2	kann	VMFIN	VMFIN
8	3	die	ART	ART
8	4	Stunde	VVFIN	NN
8	5	kommen	VVFIN	VVINF
8	6	/	$(	$(
8	7	dass	ART	KOUS
8	8	dem	ART	ART
8	9	Kranken	NN	NN
8	10	allein	ADV	ADV
8	11	durch	APPR	APPR
8	12	ihn	PPER	PPER
8	13	geholfen	VVPP	VVPP
8	14	werde	VAFIN	VAFIN
8	15	/	$(	$(
8	16	wenn	KOUS	KOUS
8	17	sie	PPER	PPER
8	18	den	ART	ART
8	19	Herrn	NN	NN
8	20	bitten	VVINF	VVINF
8	21	/	$(	$(
8	22	dass	ART	KOUS
8	23	mit	APPR	APPR
8	24	ihm	PPER	PPER
8	25	besser	ADJD	ADJD
8	26	werde	VAFIN	VAFIN
8	27	/	$(	$(
8	28	und	KON	KON
8	29	Gesundheit	NN	NN
8	30	kriege	VVFIN	VVFIN
8	31	länger	ADJD	ADJD
8	32	zu	PTKZU	PTKZU
8	33	leben	VVFIN	VVINF
8	34	.	$.	$.
9	1	wer	PWS	PWS
9	2	für	APPR	APPR
9	3	seinem	PPOSAT	PPOSAT
9	4	Schöpfer	NN	NN
9	5	sündigt	VVFIN	VVFIN
9	6	/	$(	$(
9	7	der	ART	PRELS
9	8	muss	VMFIN	VMFIN
9	9	dem	ART	ART
9	10	Arzt	NN	NN
9	11	in	APPR	APPR
9	12	die	ART	ART
9	13	Hände	NN	NN
9	14	kommen	VVFIN	VVINF
9	15	.	$.	$.
10	1	aus	APPR	APPR
10	2	diesen	PDAT	PDAT
10	3	Worten	NN	NN
10	4	kann	VMFIN	VMFIN
10	5	man	PIS	PIS
10	6	klärlich	ADV	ADJD
10	7	merken	VVINF	VVINF
10	8	/	$(	$(
10	9	wie	KOKOM	KOUS
10	10	sich	PRF	PRF
10	11	ein	ART	ART
10	12	Kranker	ADJA	NN
10	13	halten	VVINF	VVINF
10	14	soll	VMFIN	VMFIN
10	15	.	$.	$.
11	1	zum	APPRART	APPRART
11	2	Ersten	ADJA	NN
11	3	soll	VMFIN	VMFIN
11	4	er	PPER	PPER
11	5	fromm	ADJD	ADJD
11	6	werden	VAINF	VAINF
11	7	/	$(	$(
11	8	so	ADV	ADV
11	9	er	PPER	PPER
11	10	im	APPRART	APPRART
11	11	rechtschaffenem	NE	ADJA
11	12	Glauben	VVFIN	NN
11	13	Gott	NN	NN
11	14	anruft	VVFIN	VVFIN
11	15	/	$(	$(
11	16	und	KON	KON
11	17	im	APPRART	APPRART
11	18	rechten	ADJA	ADJA
11	19	Wege	NN	NN
11	20	nach	APPR	APPR
11	21	Gottes	NN	NN
11	22	Willen	NN	NN
11	23	leben	VVFIN	VVINF
11	24	will	VMFIN	VMFIN
11	25	/	$(	$(
11	26	und	KON	KON
11	27	ihm	PPER	PPER
11	28	mit	APPR	APPR
11	29	reinem	ADJA	ADJA
11	30	Herzen	NN	NN
11	31	dienen	VVINF	VVINF
11	32	/	$(	$(
11	33	und	KON	KON
11	34	dankbar	ADJD	ADJD
11	35	sein	VAINF	VAINF
11	36	.	$.	$.
12	1	zum	APPRART	APPRART
12	2	Anderen	ADJA	PIS
12	3	lass	VVFIN	ADJD
12	4	für	APPR	APPR
12	5	dich	PPER	PRF
12	6	bitten	VVINF	VVFIN
12	7	in	APPR	APPR
12	8	der	ART	ART
12	9	Gemeinde	ADJA	NN
12	10	Gottes	NN	NN
12	11	.	$.	$.
13	1	dann	ADV	ADV
13	2	bei	APPR	APPR
13	3	den	ART	ART
13	4	Christen	NN	NN
13	5	ist	VAFIN	VAFIN
13	6	Opfern	NN	NN
13	7	nichts	PIS	PIAT
13	8	anderes	ADV	PIS
13	9	/	$(	$(
13	10	dann	ADV	ADV
13	11	Beten	VVINF	NN
13	12	/	$(	$(
13	13	und	KON	KON
13	14	Gott	NN	NN
13	15	für	APPR	APPR
13	16	seine	PPOSAT	PPOSAT
13	17	Wohltat	VVFIN	NN
13	18	danken	VVINF	VVINF
13	19	.	$.	$.
14	1	zum	APPRART	APPRART
14	2	Letzten	ADJA	NN
14	3	soll	VMFIN	VMFIN
14	4	er	PPER	PPER
14	5	zum	APPRART	APPRART
14	6	Arzt	NN	NN
14	7	Zuflucht	NN	NN
14	8	haben	VAFIN	VAFIN
14	9	/	$(	$(
14	10	und	KON	KON
14	11	ihn	PPER	PPER
14	12	nicht	PTKNEG	PTKNEG
14	13	vorachten	VVINF	VVINF
14	14	/	$(	$(
14	15	dieweil	KOUS	KOUS
14	16	ihn	APPR	PPER
14	17	Gott	NN	NN
14	18	geschaffen	VVPP	VVPP
14	19	hat	VAFIN	VAFIN
14	20	.	$.	$.
15	1	darum	PAV	PAV
15	2	sagt	VVFIN	VVFIN
15	3	der	ART	ART
15	4	Jesus	NE	NE
15	5	Syrach	NE	NE
15	6	kurz	ADJD	ADJD
15	7	zuvor	ADV	ADV
15	8	/	$(	$(
15	9	der	ART	ART
15	10	Herr	NN	NN
15	11	lässt	VVIMP	VVFIN
15	12	die	ART	ART
15	13	Arznei	NE	NN
15	14	aus	APPR	APPR
15	15	der	ART	ART
15	16	Erde	NN	NN
15	17	wachsen	VVINF	VVINF
15	18	/	$(	$(
15	19	und	KON	KON
15	20	ein	ART	ART
15	21	Vornünftiger	NE	NN
15	22	verachtet	NN	VVFIN
15	23	sie	PPER	PPER
15	24	nicht	PTKNEG	PTKNEG
15	25	.	$.	$.
16	1	ward	VAFIN	VAFIN
16	2	doch	ADV	ADV
16	3	das	ART	ART
16	4	bittere	ADJD	ADJA
16	5	Wasser	NN	NN
16	6	süß	ADJA	ADJD
16	7	/	$(	$(
16	8	durch	APPR	APPR
16	9	ein	ART	ART
16	10	Holz	NN	NN
16	11	/	$(	$(
16	12	auf	APPR	APPR
16	13	dass	ART	KOUS
16	14	man	PIS	PIS
16	15	seine	PPOSAT	PPOSAT
16	16	Kraft	NN	NN
16	17	erkennen	VVINF	VVINF
16	18	solle	VMFIN	VMFIN
16	19	.	$.	$.
17	1	und	KON	KON
17	2	er	PPER	PPER
17	3	hat	VAFIN	VAFIN
17	4	solche	PIAT	PIAT
17	5	Kunst	NN	NN
17	6	den	ART	ART
17	7	Menschen	NN	NN
17	8	gegeben	VVPP	VVPP
17	9	/	$(	$(
17	10	dass	ART	KOUS
17	11	er	PPER	PPER
17	12	gepriesen	VVPP	VVPP
17	13	werde	VAFIN	VAFIN
17	14	in	APPR	APPR
17	15	seinen	PPOSAT	PPOSAT
17	16	Wundertaten	NN	NN
17	17	/	$(	$(
17	18	et cetera	ADV	FM
18	1	und	KON	KON
18	2	also	ADV	ADV
18	3	tat	VVFIN	VVFIN
18	4	auch	ADV	ADV
18	5	der	ART	ART
18	6	König	NN	NE
18	7	Hiskia	NE	NE
18	8	/	$(	$(
18	9	welcher	VVIMP	PWS
18	10	sehr	NE	ADV
18	11	krank	ADJD	ADJD
18	12	war	VAFIN	VAFIN
18	13	/	$(	$(
18	14	und	KON	KON
18	15	der	ART	ART
18	16	Prophet	NN	NN
18	17	Jesaia	NE	NE
18	18	zu	PTKZU	APPR
18	19	ihm	APPRART	PPER
18	20	kam	VVFIN	VVFIN
18	21	/	$(	$(
18	22	und	KON	KON
18	23	sprach	VVFIN	VVFIN
18	24	zu	PTKZU	APPR
18	25	ihm	PPER	PPER
18	26	.	$.	$.
19	1	so	ADV	ADV
19	2	spricht	VVFIN	VVFIN
19	3	der	ART	ART
19	4	Herr	NN	NN
19	5	/	$(	$(
19	6	bestelle	VVFIN	VVFIN
19	7	dein	PPOSAT	PPOSAT
19	8	Haus	NN	NN
19	9	/	$(	$(
19	10	denn	KON	KON
19	11	du	PTKZU	PPER
19	12	wirst	VAFIN	VAFIN
19	13	sterben	VVINF	VVINF
19	14	/	$(	$(
19	15	und	KON	KON
19	16	nicht	PTKNEG	PTKNEG
19	17	lebendig	ADJD	ADJD
19	18	bleiben	VVINF	VVINF
19	19	.	$.	$.
20	1	da	ADV	ADV
20	2	wendet	PWS	VVFIN
20	3	Hiskia	NE	NE
20	4	sein	VAINF	PPOSAT
20	5	Angesicht	NN	NN
20	6	zur	APPRART	APPRART
20	7	Wand	VVFIN	NN
20	8	/	$(	$(
20	9	und	KON	KON
20	10	betet	VVFIN	VVFIN
20	11	zum	APPRART	APPRART
20	12	Herrn	NN	NN
20	13	/	$(	$(
20	14	und	KON	KON
20	15	sprach	VVFIN	VVFIN
20	16	.	$.	$.
21	1	gedenk	NE	VVIMP
21	2	doch	ADV	ADV
21	3	Herr	NN	NN
21	4	/	$(	$(
21	5	wie	KOKOM	KOUS
21	6	ich	PPER	PPER
21	7	vor	APPR	APPR
21	8	dir	ART	PRF
21	9	gewandelt	VVPP	VVPP
21	10	hab	VAFIN	VAIMP
21	11	in	APPR	APPR
21	12	der	ART	ART
21	13	Wahrheit	NN	NN
21	14	/	$(	$(
21	15	mit	APPR	APPR
21	16	vollkommenem	ADJA	ADJA
21	17	Herzen	NN	NN
21	18	/	$(	$(
21	19	und	KON	KON
21	20	habe	VAFIN	VAFIN
21	21	getan	VVPP	VVPP
21	22	was	PWS	PIS
21	23	dir	PPER	PPER
21	24	gefallen	VVPP	VVPP
21	25	hat	VAFIN	VAFIN
21	26	/	$(	$(
21	27	und	KON	KON
21	28	Hiskia	NE	NE
21	29	weint	VVFIN	VVFIN
21	30	sehr	NE	ADV
21	31	.	$.	$.
22	1	da	ADV	ADV
22	2	sprach	VVFIN	VVFIN
22	3	Gott	NN	NN
22	4	der	ART	ART
22	5	Herr	NN	NN
22	6	zu	PTKZU	APPR
22	7	Jesaia	NE	NE
22	8	/	$(	$(
22	9	gehe	NE	VVFIN
22	10	hin	PTKVZ	PTKVZ
22	11	und	KON	KON
22	12	sage	VVFIN	VVFIN
22	13	Hiskia	NE	NE
22	14	/	$(	$(
22	15	so	ADV	ADV
22	16	spricht	VVFIN	VVFIN
22	17	der	ART	ART
22	18	Herr	NN	NN
22	19	der	ART	ART
22	20	Gott	NN	NN
22	21	deines	PPOSAT	PPOSAT
22	22	Vaters	NN	NN
22	23	David	NE	NE
22	24	.	$.	$.
23	1	ich	PPER	PPER
23	2	habe	VAFIN	VAFIN
23	3	dein	PPOSAT	PPOSAT
23	4	Gebet	NN	NN
23	5	gehört	VVFIN	VVPP
23	6	/	$(	$(
23	7	und	KON	KON
23	8	deinen	PPOSAT	PPOSAT
23	9	Tränen	NN	NN
23	10	gesehen	VVPP	VVPP
23	11	.	$.	$.
24	1	sieh	PRF	VVIMP
24	2	ich	PPER	PPER
24	3	will	VMFIN	VMFIN
24	4	deinen	PPOSAT	PPOSAT
24	5	Tagen	NN	NN
24	6	noch	ADV	ADV
24	7	fünfzehn	CARD	CARD
24	8	Jahr	NN	NN
24	9	zulegen	VVINF	VVINF
24	10	/	$(	$(
24	11	und	KON	KON
24	12	will	VMFIN	VMFIN
24	13	dich	PPER	PPER
24	14	samt	APPR	APPR
24	15	dieser	PDAT	PDAT
24	16	stat	APPR	NN
24	17	erretten	VVINF	VVFIN
24	18	von	APPR	APPR
24	19	der	ART	ART
24	20	Hand	NN	NN
24	21	des	ART	ART
24	22	Königs	NN	NN
24	23	zu	PTKZU	APPR
24	24	Assyrien	NE	NE
24	25	/	$(	$(
24	26	denn	KON	KON
24	27	ich	PPER	PPER
24	28	will	VMFIN	VMFIN
24	29	diese	PDAT	PDAT
24	30	Stadt	APPR	NN
24	31	wohl	ADV	ADV
24	32	verteidigen	NE	VVINF
24	33	.	$.	$.
25	1	bald	ADV	ADV
25	2	darnach	PAV	ADV
25	3	hat	VAFIN	VAFIN
25	4	der	ART	ART
25	5	Prophet	NN	NN
25	6	befohlen	VVPP	VVPP
25	7	man	PIS	PIS
25	8	soll	VMFIN	VMFIN
25	9	ihm	PPER	PPER
25	10	ein	ART	ART
25	11	Pflaster	NN	NN
25	12	von	APPR	APPR
25	13	Feigen	ADJA	NN
25	14	gemacht	VVPP	VVPP
25	15	auf	APPR	APPR
25	16	das	ART	ART
25	17	Geschwer	NE	NN
25	18	legen	VVINF	VVINF
25	19	/	$(	$(
25	20	dardurch	PAV	PAV
25	21	er	PPER	PPER
25	22	auch	ADV	ADV
25	23	gesund	ADJD	ADJD
25	24	ist	VAFIN	VAFIN
25	25	worden	VAPP	VAPP
25	26	.	$.	$.
26	1	auf	APPR	APPR
26	2	diese	PDAT	PDAT
26	3	Art	NN	NN
26	4	werden	VAINF	VAFIN
26	5	in	APPR	APPR
26	6	dieser	PDAT	PDAT
26	7	fährlichen	ADJA	ADJA
26	8	Zeit	NN	NN
26	9	sich	PRF	PRF
26	10	alle	PIAT	PIAT
26	11	Christen	NN	NN
26	12	schicken	VVINF	VVINF
26	13	/	$(	$(
26	14	und	KON	KON
26	15	zubereiten	VVINF	VVINF
26	16	/	$(	$(
26	17	dann	ADV	ADV
26	18	es	PPER	PPER
26	19	auch	ADV	ADV
26	20	die	ART	ART
26	21	große	ADJA	ADJA
26	22	Not	NN	NN
26	23	erfordert	VVFIN	VVPP
26	24	/	$(	$(
26	25	und	KON	KON
26	26	Gott	NN	NN
26	27	will	VMFIN	VMFIN
26	28	barmherzig	ADJD	ADJD
26	29	sein	VAINF	VAINF
26	30	/	$(	$(
26	31	denen	PRELS	PDS
26	32	die	ART	PRELS
26	33	ihn	PPER	PPER
26	34	anrufen	VVINF	VVINF
26	35	/	$(	$(
26	36	mit	APPR	APPR
26	37	rechtschaffenem	ADJA	ADJA
26	38	Glauben	VVFIN	NN
26	39	dann	ADV	ADV
26	40	er	PPER	PPER
26	41	hat	VAFIN	VAFIN
26	42	es	PPER	PPER
26	43	zugesagt	VVPP	VVPP
26	44	/	$(	$(
26	45	dass	ART	KOUS
26	46	er	PPER	PPER
26	47	uns	PPER	PPER
26	48	von	APPR	APPR
26	49	dem	ART	ART
26	50	Übel	ADV	NN
26	51	erretten	VVINF	VVINF
26	52	will	VMFIN	VMFIN
26	53	.	$.	$.
27	1	was	PWS	PWS
27	2	aber	ADV	ADV
27	3	die	ART	ART
27	4	Arznei	NE	NN
27	5	betrifft	VVFIN	VVFIN
27	6	/	$(	$(
27	7	will	VMFIN	VMFIN
27	8	ich	PPER	PPER
27	9	kürzlich	ADV	ADJD
27	10	anzeigen	VVINF	VVFIN
27	11	so	ADV	ADV
27	12	weit	ADJD	ADJD
27	13	als	KOKOM	KOKOM
27	14	die	ART	ART
27	15	Not	NN	NN
27	16	erfordert	VVFIN	VVPP
27	17	.	$.	$.
28	1	zum	APPRART	APPRART
28	2	Ersten	ADJA	NN
28	3	soll	VMFIN	VMFIN
28	4	ein	ART	ART
28	5	jeder	PIAT	PIS
28	6	merken	VVINF	VVFIN
28	7	die	ART	ART
28	8	Zeichen	NN	NN
28	9	/	$(	$(
28	10	dabei	PAV	PAV
28	11	man	PIS	PIS
28	12	erkennen	VVINF	VVINF
28	13	möchte	VMFIN	VMFIN
28	14	/	$(	$(
28	15	ob	KOUS	KOUS
28	16	einen	ART	PIS
28	17	die	ART	ART
28	18	Gift	NN	NN
28	19	begriffen	VVPP	VVPP
28	20	habe	VAFIN	VAFIN
28	21	/	$(	$(
28	22	oder	KON	KON
28	23	nicht	PTKNEG	PTKNEG
28	24	.	$.	$.
29	1	wann	PWAV	PWAV
29	2	einer	ART	PIS
29	3	plötzlich	ADJD	ADJD
29	4	las	VVFIN	VVFIN
29	5	und	KON	KON
29	6	matt	PTKVZ	ADJD
29	7	würde	VAFIN	VAFIN
29	8	in	APPR	APPR
29	9	allen	PIAT	PIAT
29	10	seinen	PPOSAT	PPOSAT
29	11	Gliedern	NN	NN
29	12	/	$(	$(
29	13	und	KON	KON
29	14	sich	PRF	PRF
29	15	heftig	ADJD	ADJD
29	16	renkt	VVFIN	VVFIN
29	17	/	$(	$(
29	18	item	ADV	ADV
29	19	wo	PWAV	PWAV
29	20	ein	ART	ART
29	21	Schauer	VVIMP	NN
29	22	einen	ART	ART
29	23	bald	ADV	ADV
29	24	ankäme	VVFIN	VVFIN
29	25	/	$(	$(
29	26	oder	KON	KON
29	27	eine	ART	ART
29	28	plötzliche	ADJD	ADJA
29	29	Hitze	NN	NN
29	30	/	$(	$(
29	31	oder	KON	KON
29	32	so	ADV	ADV
29	33	er	PPER	PPER
29	34	sich	PRF	PRF
29	35	undäut	NE	VVFIN
29	36	über	APPR	APPR
29	37	die	ART	ART
29	38	Gewohnheit	NN	NN
29	39	/	$(	$(
29	40	oder	KON	KON
29	41	so	ADV	ADV
29	42	ihn	PPER	PPER
29	43	ein	ART	ART
29	44	gewaltiger	ADJA	ADJA
29	45	Schlaf	ADJD	NN
29	46	überfällt	VVFIN	VVFIN
29	47	/	$(	$(
29	48	oder	KON	KON
29	49	eine	ART	ART
29	50	große	ADJA	ADJA
29	51	Traurigkeit	NN	NN
29	52	ihn	APPR	PPER
29	53	ängstigt	VVFIN	VVFIN
29	54	/	$(	$(
29	55	und	KON	KON
29	56	der	ART	ART
29	57	Harn	NN	NN
29	58	welcher	PWAT	PIS
29	59	doch	ADV	ADV
29	60	zu	PTKZU	APPR
29	61	dieser	PDAT	PDAT
29	62	Zeit	NN	NN
29	63	wenig	PIS	PIAT
29	64	Gewisses	ADJA	NN
29	65	anzeigt	VVFIN	VVFIN
29	66	/	$(	$(
29	67	ist	VAFIN	VAFIN
29	68	gemeiniglich	ADV	ADJD
29	69	gelblich	ADJD	ADJD
29	70	und	KON	KON
29	71	trüb	ADJD	ADJD
29	72	.	$.	$.
30	1	item	NN	ADV
30	2	so	ADV	ADV
30	3	einem	ART	ART
30	4	braune	ADJA	ADJA
30	5	Flecken	NN	NN
30	6	ausführen	VVINF	VVINF
30	7	/	$(	$(
30	8	und	KON	KON
30	9	sonderlich	ADJD	ADJD
30	10	/	$(	$(
30	11	wann	PWAV	PWAV
30	12	Beulen	VVINF	NN
30	13	und	KON	KON
30	14	Blattern	NN	NN
30	15	aufgefaren	VVPP	VVPP
30	16	wären	VAFIN	VAFIN
30	17	/	$(	$(
30	18	oder	KON	KON
30	19	zum	APPRART	APPRART
30	20	Wenigsten	PIAT	NN
30	21	ein	ART	ART
30	22	Gliedmaß	NE	NN
30	23	mehr	ADV	ADV
30	24	beschwert	VVFIN	VVPP
30	25	würde	VAFIN	VAFIN
30	26	/	$(	$(
30	27	dann	ADV	ADV
30	28	die	ART	ART
30	29	anderen	ADJA	PIS
30	30	.	$.	$.
31	1	item	NN	ADV
31	2	wann	PWAV	PWAV
31	3	der	ART	ART
31	4	Leib	NN	NN
31	5	inwendig	ADJD	ADJD
31	6	heiß	ADJD	ADJD
31	7	ist	VAFIN	VAFIN
31	8	/	$(	$(
31	9	und	KON	KON
31	10	auswendig	ADJD	ADV
31	11	kalt	ADJD	ADJD
31	12	.	$.	$.
32	1	item	NN	ADV
32	2	so	ADV	ADV
32	3	ihm	PPER	PPER
32	4	der	ART	ART
32	5	Kopf	NN	NN
32	6	schwer	ADJD	ADJD
32	7	würde	VAFIN	VAFIN
32	8	plötzlich	ADJD	ADJD
32	9	/	$(	$(
32	10	so	ADV	ADV
32	11	ihm	PPER	PPER
32	12	die	ART	ART
32	13	Lust	NN	NN
32	14	zum	APPRART	APPRART
32	15	Essen	VVINF	NN
32	16	vergangen	VVPP	VVPP
32	17	wäre	PWS	VAFIN
32	18	/	$(	$(
32	19	so	ADV	ADV
32	20	ihn	PPER	PPER
32	21	heftiger	ADJA	ADJA
32	22	Durst	NN	NN
32	23	bald	ADV	ADV
32	24	plagt	VVFIN	VVFIN
32	25	/	$(	$(
32	26	so	ADV	ADV
32	27	ihm	PPER	PPER
32	28	der	ART	ART
32	29	Puls	NE	NN
32	30	klein	ADJD	ADJD
32	31	/	$(	$(
32	32	öfter	ADV	ADV
32	33	und	KON	KON
32	34	tief	ADJD	ADJD
32	35	ist	VAFIN	VAFIN
32	36	/	$(	$(
32	37	vor	APPR	APPR
32	38	allem	PIS	PIS
32	39	soll	VMFIN	VMFIN
32	40	man	PIS	PIS
32	41	Achtung	NE	NN
32	42	haben	VAFIN	VAFIN
32	43	/	$(	$(
32	44	so	ADV	ADV
32	45	ein	ART	ART
32	46	Wehtag	NE	NN
32	47	wäre	VAFIN	VAFIN
32	48	an	APPR	APPR
32	49	dem	ART	ART
32	50	Hals	NN	NN
32	51	/	$(	$(
32	52	oder	KON	KON
32	53	bei	APPR	APPR
32	54	den	ART	ART
32	55	Armen	ADJA	NN
32	56	/	$(	$(
32	57	oder	KON	KON
32	58	bei	APPR	APPR
32	59	dem	ART	ART
32	60	Schoß	NN	NN
32	61	und	KON	KON
32	62	Beinen	VVINF	NN
32	63	.	$.	$.
33	1	so	ADV	ADV
33	2	nun	ADV	ADV
33	3	solche	PIAT	PIAT
33	4	Zeichen	NN	NN
33	5	zum	APPRART	APPRART
33	6	Teil	NN	NN
33	7	erscheinen	VVINF	VVINF
33	8	/	$(	$(
33	9	soll	VMFIN	VMFIN
33	10	man	PIS	PIS
33	11	nicht	PTKNEG	PTKNEG
33	12	zweifeln	VVFIN	VVINF
33	13	/	$(	$(
33	14	das	ART	PRELS
33	15	ihn	PPER	PPER
33	16	die	ART	ART
33	17	Gift	NN	NN
33	18	schon	ADV	ADV
33	19	begriffen	VVPP	VVPP
33	20	hat	VAFIN	VAFIN
33	21	.	$.	$.
34	1	darzu	PAV	ADV
34	2	muss	VMFIN	VMFIN
34	3	man	PIS	PIS
34	4	bald	ADV	ADV
34	5	zur	APPRART	APPRART
34	6	Ader	VVIMP	NN
34	7	lassen	VVINF	VVINF
34	8	/	$(	$(
34	9	und	KON	KON
34	10	in	APPR	APPR
34	11	Demselbigen	PDAT	NN
34	12	nicht	PTKNEG	PTKNEG
34	13	irren	ADJA	VVINF
34	14	/	$(	$(
34	15	welches	PRELS	PWS
34	16	nicht	PTKNEG	PTKNEG
34	17	ohne	APPR	APPR
34	18	merklichen	ADJA	ADJA
